name,percentage,id,patch
Olaf,91,66,11.1
Kaisa,91,140,11.1
Pantheon,82,68,11.1
Renekton,76,72,11.1
Taliyah,71,131,11.1
Camille,67,134,11.1
Akali,65,3,11.1
Alistar,61,4,11.1
Galio,57,25,11.1
Syndra,54,88,11.1
Graves,52,29,11.1
Leona,52,48,11.1
Nidalee,52,63,11.1
Orianna,52,67,11.1
Thresh,52,92,11.1
Lillia,51,149,11.1
Aphelios,50,147,11.1
Gnar,49,119,11.1
Samira,49,151,11.1
Gragas,44,28,11.1
Twisted Fate,44,96,11.1
Lucian,43,50,11.1
Zoe,43,139,11.1
Aatrox,33,1,11.1
Yone,33,150,11.1
Jhin,32,129,11.1
Ornn,31,138,11.1
Seraphine,30,152,11.1
Sett,28,148,11.1
Rell,27,153,11.1
Hecarim,26,30,11.1
Miss Fortune,25,57,11.1
Viktor,23,104,11.1
Xayah,20,135,11.1
Jayce,19,36,11.1
Irelia,17,32,11.1
Gangplank,16,26,11.1
Nautilus,16,62,11.1
Maokai,14,55,11.1
Malphite,13,53,11.1
Shen,13,79,11.1
Rakan,10,136,11.1
Tristana,9,93,11.1
Udyr,9,98,11.1
Kennen,8,43,11.1
Volibear,8,106,11.1
Azir,8,120,11.1
Sylas,8,143,11.1
Karma,7,38,11.1
Jax,6,35,11.1
Vayne,6,101,11.1
Braum,6,118,11.1
Ekko,6,125,11.1
Kindred,6,127,11.1
Ivern,6,133,11.1
Anivia,5,6,11.1
Ashe,5,8,11.1
Karthus,5,39,11.1
Ryze,5,76,11.1
Kalista,5,121,11.1
KhaZix,4,44,11.1
LeBlanc,4,46,11.1
Lulu,4,51,11.1
Wukong,4,108,11.1
Darius,3,15,11.1
Elise,3,19,11.1
Ezreal,3,21,11.1
Fiora,3,23,11.1
Jarvan IV,3,34,11.1
Lee Sin,3,47,11.1
Mordekaiser,3,58,11.1
Sejuani,3,77,11.1
Sion,3,82,11.1
Urgot,3,99,11.1
Bard,3,124,11.1
Draven,2,18,11.1
Kassadin,2,40,11.1
Morgana,2,59,11.1
Nunu,2,65,11.1
Poppy,2,69,11.1
Quinn,2,70,11.1
Riven,2,74,11.1
Rumble,2,75,11.1
Vladimir,2,105,11.1
Yasuo,2,111,11.1
Annie,1,7,11.1
Blitzcrank,1,9,11.1
Caitlyn,1,11,11.1
Cassiopeia,1,12,11.1
Chogath,1,13,11.1
Corki,1,14,11.1
Evelynn,1,20,11.1
Fizz,1,24,11.1
Heimerdinger,1,31,11.1
Janna,1,33,11.1
Kayle,1,42,11.1
KogMaw,1,45,11.1
Malzahar,1,54,11.1
Nocturne,1,64,11.1
Rengar,1,73,11.1
Sivir,1,83,11.1
Skarner,1,84,11.1
Taric,1,90,11.1
Xin Zhao,1,110,11.1
Zed,1,114,11.1
Ziggs,1,115,11.1
Zilean,1,116,11.1
RekSai,1,122,11.1
VelKoz,1,123,11.1
Aurelion Sol,1,130,11.1
Kled,1,132,11.1
Kayn,1,137,11.1
Pyke,1,141,11.1
Qiyana,1,145,11.1
Senna,1,146,11.1
Ahri,0,2,11.1
Diana,0,16,11.1
Dr. Mundo,0,17,11.1
Fiddlesticks,0,22,11.1
Jinx,0,37,11.1
Katarina,0,41,11.1
Lux,0,52,11.1
Swain,0,87,11.1
Talon,0,89,11.1
Trundle,0,94,11.1
Tryndamere,0,95,11.1
Varus,0,100,11.1
Veigar,0,102,11.1
Yorick,0,112,11.1
Zac,0,113,11.1
Illaoi,0,128,11.1
Neeko,0,142,11.1
Yuumi,0,144,11.1
Olaf,94,66,11.2
Kaisa,90,140,11.2
Renekton,80,72,11.2
Udyr,75,98,11.2
Seraphine,73,152,11.2
Pantheon,71,68,11.2
Taliyah,67,131,11.2
Camille,67,134,11.2
Rell,62,153,11.2
Thresh,60,92,11.2
Orianna,57,67,11.2
Gnar,56,119,11.2
Gragas,55,28,11.2
Alistar,50,4,11.2
Twisted Fate,47,96,11.2
Azir,47,120,11.2
Lillia,47,149,11.2
Syndra,43,88,11.2
Xayah,41,135,11.2
Galio,39,25,11.2
Aphelios,39,147,11.2
Leona,37,48,11.2
Zoe,34,139,11.2
Senna,32,146,11.2
Samira,31,151,11.2
Nidalee,30,63,11.2
Aatrox,29,1,11.2
Graves,29,29,11.2
Hecarim,28,30,11.2
Lucian,26,50,11.2
Yone,24,150,11.2
Viktor,23,104,11.2
Ornn,23,138,11.2
Irelia,22,32,11.2
Sett,21,148,11.2
Rakan,19,136,11.2
Gangplank,18,26,11.2
Jayce,18,36,11.2
Nautilus,17,62,11.2
Miss Fortune,16,57,11.2
Jhin,14,129,11.2
Vayne,10,101,11.2
Volibear,10,106,11.2
Malphite,9,53,11.2
Ryze,9,76,11.2
Tristana,9,93,11.2
Kalista,9,121,11.2
Wukong,8,108,11.2
Sylas,8,143,11.2
Akali,7,3,11.2
Jarvan IV,7,34,11.2
Shen,7,79,11.2
Sion,7,82,11.2
Ekko,7,125,11.2
Ashe,6,8,11.2
Braum,6,118,11.2
Kindred,6,127,11.2
Karma,5,38,11.2
LeBlanc,5,46,11.2
Lulu,5,51,11.2
