name,percentage,id,patch
Wukong,97,108,12.10
Gwen,96,155,12.10
Taliyah,85,131,12.10
Viego,77,154,12.10
Lucian,74,50,12.10
Senna,70,146,12.10
Gangplank,62,26,12.10
Ahri,61,2,12.10
Karma,55,38,12.10
Renata Glasc,52,159,12.10
Ezreal,50,21,12.10
Nautilus,47,62,12.10
Lillia,47,149,12.10
Kalista,39,121,12.10
Lulu,35,51,12.10
Azir,35,120,12.10
Gnar,34,119,12.10
Ornn,32,138,12.10
Viktor,31,104,12.10
Olaf,29,66,12.10
Lissandra,25,49,12.10
Camille,25,134,12.10
Kayle,24,42,12.10
Swain,24,87,12.10
Jinx,22,37,12.10
LeBlanc,22,46,12.10
Fiora,21,23,12.10
Veigar,21,102,12.10
Tahm Kench,21,126,12.10
Lee Sin,20,47,12.10
Nami,20,60,12.10
KogMaw,19,45,12.10
Rakan,19,136,12.10
Xayah,18,135,12.10
Kaisa,18,140,12.10
Aatrox,17,1,12.10
Yuumi,17,144,12.10
Twitch,16,97,12.10
Seraphine,16,152,12.10
Akali,15,3,12.10
Galio,15,25,12.10
Graves,15,29,12.10
Twisted Fate,15,96,12.10
Aphelios,15,147,12.10
Jax,14,35,12.10
Braum,14,118,12.10
Zoe,14,139,12.10
Sylas,14,143,12.10
Corki,13,14,12.10
Leona,13,48,12.10
Sion,13,82,12.10
Trundle,13,94,12.10
Volibear,13,106,12.10
Tristana,12,93,12.10
Yone,12,150,12.10
Diana,11,16,12.10
Jayce,11,36,12.10
Vladimir,11,105,12.10
Orianna,10,67,12.10
Sejuani,10,77,12.10
Kindred,10,127,12.10
Nocturne,9,64,12.10
Ashe,8,8,12.10
Pyke,8,141,12.10
Irelia,7,32,12.10
Jarvan IV,7,34,12.10
Karthus,7,39,12.10
Yasuo,7,111,12.10
Jhin,7,129,12.10
Sett,7,148,12.10
Draven,6,18,12.10
Rell,6,153,12.10
Alistar,5,4,12.10
Darius,5,15,12.10
Kennen,5,43,12.10
Syndra,5,88,12.10
Nidalee,4,63,12.10
Renekton,4,72,12.10
Riven,4,74,12.10
Varus,4,100,12.10
Vi,4,103,12.10
Xin Zhao,4,110,12.10
Zilean,4,116,12.10
Bard,4,124,12.10
Samira,4,151,12.10
Anivia,3,6,12.10
Gragas,3,28,12.10
Mordekaiser,3,58,12.10
Thresh,3,92,12.10
Tryndamere,3,95,12.10
Urgot,3,99,12.10
Xerath,3,109,12.10
VelKoz,3,123,12.10
Akshan,3,156,12.10
Vex,3,157,12.10
Zeri,3,158,12.10
Blitzcrank,2,9,12.10
Cassiopeia,2,12,12.10
Hecarim,2,30,12.10
Janna,2,33,12.10
Kassadin,2,40,12.10
KhaZix,2,44,12.10
Malphite,2,53,12.10
Miss Fortune,2,57,12.10
Poppy,2,69,12.10
Rengar,2,73,12.10
Rumble,2,75,12.10
Soraka,2,86,12.10
Zac,2,113,12.10
Ziggs,2,115,12.10
RekSai,2,122,12.10
Ekko,2,125,12.10
Ivern,2,133,12.10
Kayn,2,137,12.10
Annie,1,7,12.10
Caitlyn,1,11,12.10
Chogath,1,13,12.10
Dr. Mundo,1,17,12.10
Fiddlesticks,1,22,12.10
Maokai,1,55,12.10
Morgana,1,59,12.10
Nasus,1,61,12.10
Shen,1,79,12.10
Shyvana,1,80,12.10
Sivir,1,83,12.10
Taric,1,90,12.10
Udyr,1,98,12.10
Vayne,1,101,12.10
Zed,1,114,12.10
Aurelion Sol,1,130,12.10
Kled,1,132,12.10
Qiyana,1,145,12.10
Amumu,0,5,12.10
Brand,0,10,12.10
Elise,0,19,12.10
Evelynn,0,20,12.10
Heimerdinger,0,31,12.10
Lux,0,52,12.10
Pantheon,0,68,12.10
Ryze,0,76,12.10
Shaco,0,78,12.10
Singed,0,81,12.10
Skarner,0,84,12.10
Sona,0,85,12.10
Talon,0,89,12.10
Teemo,0,91,12.10
Neeko,0,142,12.10
Wukong,94,108,12.11
Zeri,91,158,12.11
Lucian,77,50,12.11
Viego,72,154,12.11
Gangplank,62,26,12.11
Senna,62,146,12.11
Corki,61,14,12.11
Ahri,60,2,12.11
Kalista,59,121,12.11
Gwen,59,155,12.11
Renata Glasc,55,159,12.11
Ezreal,51,21,12.11
Azir,50,120,12.11
Nautilus,49,62,12.11
Gnar,49,119,12.11
Yuumi,47,144,12.11
Ornn,38,138,12.11
Volibear,35,106,12.11
Lee Sin,31,47,12.11
Rakan,31,136,12.11
Fiora,30,23,12.11
Taliyah,30,131,12.11
Karma,29,38,12.11
Tahm Kench,29,126,12.11
Sylas,29,143,12.11
Kayle,28,42,12.11
Sejuani,28,77,12.11
Trundle,23,94,12.11
Viktor,23,104,12.11
LeBlanc,21,46,12.11
Lissandra,21,49,12.11
Swain,21,87,12.11
Camille,21,134,12.11
Aphelios,21,147,12.11
Seraphine,19,152,12.11
Twitch,18,97,12.11
Jinx,17,37,12.11
Xin Zhao,17,110,12.11
Yone,17,150,12.11
Akali,16,3,12.11
Braum,16,118,12.11
Lulu,15,51,12.11
Twisted Fate,15,96,12.11
Kaisa,14,140,12.11
Nami,13,60,12.11
Olaf,13,66,12.11
Zoe,13,139,12.11
Lillia,13,149,12.11
Draven,11,18,12.11
Leona,11,48,12.11
Veigar,11,102,12.11
Galio,10,25,12.11
Gragas,10,28,12.11
Jax,10,35,12.11
Xayah,10,135,12.11
Orianna,9,67,12.11
Aatrox,8,1,12.11
Jayce,8,36,12.11
Udyr,8,98,12.11
Diana,7,16,12.11
Graves,7,29,12.11
Irelia,7,32,12.11
Sion,7,82,12.11
Tristana,7,93,12.11
Pyke,7,141,12.11
Poppy,6,69,12.11
Yasuo,6,111,12.11
Alistar,5,4,12.11
Darius,5,15,12.11
Kindred,5,127,12.11
Ashe,4,8,12.11
Jarvan IV,4,34,12.11
Kennen,4,43,12.11
Tryndamere,4,95,12.11
Vladimir,4,105,12.11
Samira,4,151,12.11
Rell,4,153,12.11
Amumu,3,5,12.11
Cassiopeia,3,12,12.11
Karthus,3,39,12.11
KogMaw,3,45,12.11
Miss Fortune,3,57,12.11
Nidalee,3,63,12.11
Nocturne,3,64,12.11
Renekton,3,72,12.11
Ryze,3,76,12.11
Vi,3,103,12.11
Zilean,3,116,12.11
Bard,3,124,12.11
Sett,3,148,12.11
Dr. Mundo,2,17,12.11
Hecarim,2,30,12.11
Kassadin,2,40,12.11
Mordekaiser,2,58,12.11
Rengar,2,73,12.11
Riven,2,74,12.11
Rumble,2,75,12.11
Shyvana,2,80,12.11
Sona,2,85,12.11
Syndra,2,88,12.11
Thresh,2,92,12.11
Urgot,2,99,12.11
Xerath,2,109,12.11
Zac,2,113,12.11
Jhin,2,129,12.11
Akshan,2,156,12.11
Vex,2,157,12.11
Anivia,1,6,12.11
Chogath,1,13,12.11
Janna,1,33,12.11
KhaZix,1,44,12.11
Malphite,1,53,12.11
Maokai,1,55,12.11
Nasus,1,61,12.11
Shen,1,79,12.11
Singed,1,81,12.11
Sivir,1,83,12.11
Soraka,1,86,12.11
Taric,1,90,12.11
Varus,1,100,12.11
Vayne,1,101,12.11
Ziggs,1,115,12.11
RekSai,1,122,12.11
VelKoz,1,123,12.11
Ekko,1,125,12.11
Aurelion Sol,1,130,12.11
Kayn,1,137,12.11
Annie,0,7,12.11
Blitzcrank,0,9,12.11
Brand,0,10,12.11
Evelynn,0,20,12.11
Fiddlesticks,0,22,12.11
Lux,0,52,12.11
Morgana,0,59,12.11
Rammus,0,71,12.11
Shaco,0,78,12.11
Skarner,0,84,12.11
Talon,0,89,12.11
Yorick,0,112,12.11
Zed,0,114,12.11
Kled,0,132,12.11
Ivern,0,133,12.11
Neeko,0,142,12.11
Qiyana,0,145,12.11
Wukong,79,108,12.12
Zeri,77,158,12.12
Gnar,74,119,12.12
Kalista,73,121,12.12
Seraphine,73,152,12.12
Corki,66,14,12.12
Renata Glasc,65,159,12.12
Azir,60,120,12.12
Sylas,56,143,12.12
Gangplank,55,26,12.12
Ahri,49,2,12.12
Nautilus,46,62,12.12
Viego,46,154,12.12
Senna,45,146,12.12
Yuumi,44,144,12.12
Lucian,43,50,12.12
Volibear,40,106,12.12
Aphelios,40,147,12.12
Gwen,40,155,12.12
Trundle,36,94,12.12
Taliyah,34,131,12.12
Ornn,34,138,12.12
Poppy,32,69,12.12
Tahm Kench,31,126,12.12
Lee Sin,28,47,12.12
Sejuani,27,77,12.12
Ezreal,26,21,12.12
Swain,26,87,12.12
Lissandra,25,49,12.12
Rakan,24,136,12.12
Jinx,23,37,12.12
Camille,23,134,12.12
Belveth,21,160,12.12
Amumu,20,5,12.12
Lulu,19,51,12.12
Xin Zhao,19,110,12.12
Fiora,17,23,12.12
Twitch,17,97,12.12
Viktor,17,104,12.12
Akali,15,3,12.12
Draven,15,18,12.12
Yone,15,150,12.12
Karma,14,38,12.12
Kayle,14,42,12.12
Braum,14,118,12.12
Gragas,12,28,12.12
Nami,12,60,12.12
Aatrox,10,1,12.12
Jax,10,35,12.12
LeBlanc,10,46,12.12
Diana,9,16,12.12
Irelia,9,32,12.12
Leona,9,48,12.12
Olaf,9,66,12.12
Yasuo,9,111,12.12
Lillia,9,149,12.12
Ashe,8,8,12.12
Shyvana,8,80,12.12
Udyr,8,98,12.12
Veigar,8,102,12.12
Xayah,8,135,12.12
Zoe,8,139,12.12
Pyke,8,141,12.12
Kaisa,7,140,12.12
Miss Fortune,6,57,12.12
Orianna,6,67,12.12
Tristana,6,93,12.12
Vi,6,103,12.12
Alistar,5,4,12.12
Darius,5,15,12.12
Galio,5,25,12.12
Jarvan IV,5,34,12.12
Jayce,5,36,12.12
Sion,5,82,12.12
Samira,5,151,12.12
Rell,5,153,12.12
Graves,4,29,12.12
Nocturne,4,64,12.12
Twisted Fate,4,96,12.12
Zilean,4,116,12.12
Blitzcrank,3,9,12.12
Karthus,3,39,12.12
KogMaw,3,45,12.12
Renekton,3,72,12.12
Ryze,3,76,12.12
Syndra,3,88,12.12
Tryndamere,3,95,12.12
Zac,3,113,12.12
Kindred,3,127,12.12
Sett,3,148,12.12
Cassiopeia,2,12,12.12
Kennen,2,43,12.12
KhaZix,2,44,12.12
Mordekaiser,2,58,12.12
Nidalee,2,63,12.12
Rengar,2,73,12.12
Riven,2,74,12.12
Rumble,2,75,12.12
Soraka,2,86,12.12
Taric,2,90,12.12
Thresh,2,92,12.12
Vladimir,2,105,12.12
Bard,2,124,12.12
Kayn,2,137,12.12
Anivia,1,6,12.12
Annie,1,7,12.12
Caitlyn,1,11,12.12
Chogath,1,13,12.12
Dr. Mundo,1,17,12.12
Hecarim,1,30,12.12
Heimerdinger,1,31,12.12
Kassadin,1,40,12.12
Malphite,1,53,12.12
Morgana,1,59,12.12
Nasus,1,61,12.12
Shaco,1,78,12.12
Shen,1,79,12.12
Skarner,1,84,12.12
Sona,1,85,12.12
Urgot,1,99,12.12
Vayne,1,101,12.12
Xerath,1,109,12.12
Zed,1,114,12.12
Ziggs,1,115,12.12
RekSai,1,122,12.12
VelKoz,1,123,12.12
Jhin,1,129,12.12
Aurelion Sol,1,130,12.12
Kled,1,132,12.12
Ivern,1,133,12.12
Qiyana,1,145,12.12
Akshan,1,156,12.12
Brand,0,10,12.12
Elise,0,19,12.12
Fiddlesticks,0,22,12.12
Garen,0,27,12.12
Janna,0,33,12.12
Katarina,0,41,12.12
Lux,0,52,12.12
Maokai,0,55,12.12
Master Yi,0,56,12.12
Nunu,0,65,12.12
Pantheon,0,68,12.12
Rammus,0,71,12.12
Singed,0,81,12.12
Sivir,0,83,12.12
Talon,0,89,12.12
Teemo,0,91,12.12
Varus,0,100,12.12
Warwick,0,107,12.12
Yorick,0,112,12.12
Ekko,0,125,12.12
Neeko,0,142,12.12
Vex,0,157,12.12
Taliyah,82,131,12.13
Gnar,80,119,12.13
Poppy,77,69,12.13
Wukong,77,108,12.13
Kalista,74,121,12.13
Zeri,72,158,12.13
Sylas,68,143,12.13
Renata Glasc,68,159,12.13
Gwen,67,155,12.13
Azir,62,120,12.13
Yuumi,57,144,12.13
Sivir,51,83,12.13
Aphelios,51,147,12.13
Ahri,50,2,12.13
Nautilus,49,62,12.13
Trundle,49,94,12.13
Viego,45,154,12.13
Gangplank,42,26,12.13
Seraphine,42,152,12.13
Lucian,37,50,12.13
Draven,33,18,12.13
Lulu,30,51,12.13
Rakan,27,136,12.13
Tahm Kench,26,126,12.13
Sejuani,24,77,12.13
Ornn,24,138,12.13
Akali,23,3,12.13
Jinx,23,37,12.13
Lee Sin,22,47,12.13
Senna,22,146,12.13
Lissandra,19,49,12.13
Xin Zhao,19,110,12.13
Leona,18,48,12.13
Vi,18,103,12.13
Fiora,17,23,12.13
Alistar,15,4,12.13
Swain,15,87,12.13
Braum,15,118,12.13
Yone,15,150,12.13
Amumu,14,5,12.13
Jax,14,35,12.13
Twitch,14,97,12.13
Camille,14,134,12.13
Ezreal,13,21,12.13
Ryze,13,76,12.13
Viktor,12,104,12.13
Gragas,10,28,12.13
Karma,10,38,12.13
Diana,9,16,12.13
Galio,9,25,12.13
Irelia,9,32,12.13
Jarvan IV,9,34,12.13
Nami,9,60,12.13
Orianna,9,67,12.13
Corki,8,14,12.13
Olaf,8,66,12.13
Shyvana,8,80,12.13
Aatrox,7,1,12.13
LeBlanc,7,46,12.13
Yasuo,7,111,12.13
Zoe,7,139,12.13
Pyke,7,141,12.13
Samira,7,151,12.13
Nocturne,6,64,12.13
Belveth,6,160,12.13
Darius,5,15,12.13
Kayle,5,42,12.13
Miss Fortune,5,57,12.13
Skarner,5,84,12.13
Lillia,5,149,12.13
Ashe,4,8,12.13
Hecarim,4,30,12.13
Kennen,4,43,12.13
Renekton,4,72,12.13
Tristana,4,93,12.13
Zilean,4,116,12.13
Xayah,4,135,12.13
Vex,4,157,12.13
Cassiopeia,3,12,12.13
Graves,3,29,12.13
Jayce,3,36,12.13
Karthus,3,39,12.13
Thresh,3,92,12.13
Tryndamere,3,95,12.13
Udyr,3,98,12.13
Volibear,3,106,12.13
Kindred,3,127,12.13
Sett,3,148,12.13
Rell,3,153,12.13
Blitzcrank,2,9,12.13
KogMaw,2,45,12.13
Nidalee,2,63,12.13
Rengar,2,73,12.13
Rumble,2,75,12.13
Twisted Fate,2,96,12.13
Veigar,2,102,12.13
Vladimir,2,105,12.13
Ziggs,2,115,12.13
Bard,2,124,12.13
Kaisa,2,140,12.13
Annie,1,7,12.13
Caitlyn,1,11,12.13
Dr. Mundo,1,17,12.13
Elise,1,19,12.13
Fiddlesticks,1,22,12.13
Janna,1,33,12.13
Kassadin,1,40,12.13
Katarina,1,41,12.13
KhaZix,1,44,12.13
Lux,1,52,12.13
Malphite,1,53,12.13
Mordekaiser,1,58,12.13
Nasus,1,61,12.13
Riven,1,74,12.13
Shaco,1,78,12.13
Shen,1,79,12.13
Sion,1,82,12.13
Soraka,1,86,12.13
Syndra,1,88,12.13
Taric,1,90,12.13
Urgot,1,99,12.13
Vayne,1,101,12.13
Xerath,1,109,12.13
Zac,1,113,12.13
Zed,1,114,12.13
RekSai,1,122,12.13
VelKoz,1,123,12.13
Ekko,1,125,12.13
Jhin,1,129,12.13
Ivern,1,133,12.13
Kayn,1,137,12.13
Neeko,1,142,12.13
Qiyana,1,145,12.13
Anivia,0,6,12.13
Chogath,0,13,12.13
Heimerdinger,0,31,12.13
Maokai,0,55,12.13
Morgana,0,59,12.13
Pantheon,0,68,12.13
Quinn,0,70,12.13
Rammus,0,71,12.13
Singed,0,81,12.13
Sona,0,85,12.13
Talon,0,89,12.13
Varus,0,100,12.13
Kled,0,132,12.13
Akshan,0,156,12.13
Kalista,90,121,12.14
Wukong,86,108,12.14
Poppy,81,69,12.14
Sivir,77,83,12.14
Azir,73,120,12.14
Gwen,73,155,12.14
Ahri,64,2,12.14
Sylas,64,143,12.14
Zeri,64,158,12.14
Taliyah,62,131,12.14
Yuumi,60,144,12.14
Trundle,53,94,12.14
Nautilus,52,62,12.14
Lucian,49,50,12.14
Aphelios,45,147,12.14
Vi,43,103,12.14
Ornn,43,138,12.14
Renata Glasc,43,159,12.14
Sejuani,42,77,12.14
Draven,41,18,12.14
LeBlanc,41,46,12.14
Renekton,39,72,12.14
Lulu,33,51,12.14
Gnar,33,119,12.14
Viego,33,154,12.14
Rakan,24,136,12.14
Jax,23,35,12.14
Lissandra,23,49,12.14
Fiora,22,23,12.14
Aatrox,21,1,12.14
Akali,20,3,12.14
Tahm Kench,20,126,12.14
Lee Sin,19,47,12.14
Leona,18,48,12.14
Alistar,17,4,12.14
Xin Zhao,17,110,12.14
Braum,17,118,12.14
Jarvan IV,15,34,12.14
Nami,15,60,12.14
Pantheon,14,68,12.14
Amumu,13,5,12.14
Gragas,13,28,12.14
Viktor,13,104,12.14
Vex,13,157,12.14
Camille,12,134,12.14
Jinx,11,37,12.14
Swain,11,87,12.14
Senna,11,146,12.14
Yone,11,150,12.14
Ryze,10,76,12.14
Kennen,9,43,12.14
Olaf,9,66,12.14
Seraphine,9,152,12.14
Nilah,9,161,12.14
Galio,8,25,12.14
Gangplank,8,26,12.14
Pyke,7,141,12.14
Karma,6,38,12.14
Samira,6,151,12.14
Ashe,5,8,12.14
Karthus,5,39,12.14
Nocturne,5,64,12.14
Orianna,5,67,12.14
Twitch,5,97,12.14
Zoe,5,139,12.14
Lillia,5,149,12.14
Ezreal,4,21,12.14
Miss Fortune,4,57,12.14
Mordekaiser,4,58,12.14
Nidalee,4,63,12.14
Skarner,4,84,12.14
Varus,4,100,12.14
Yasuo,4,111,12.14
RekSai,4,122,12.14
Darius,3,15,12.14
Diana,3,16,12.14
Irelia,3,32,12.14
Kayle,3,42,12.14
Rumble,3,75,12.14
Sion,3,82,12.14
Syndra,3,88,12.14
Sett,3,148,12.14
Cassiopeia,2,12,12.14
Graves,2,29,12.14
KogMaw,2,45,12.14
Morgana,2,59,12.14
Shyvana,2,80,12.14
Taric,2,90,12.14
Tristana,2,93,12.14
Tryndamere,2,95,12.14
Bard,2,124,12.14
Xayah,2,135,12.14
Kaisa,2,140,12.14
Rell,2,153,12.14
Akshan,2,156,12.14
Blitzcrank,1,9,12.14
Corki,1,14,12.14
Fiddlesticks,1,22,12.14
Jayce,1,36,12.14
Malphite,1,53,12.14
Rengar,1,73,12.14
Riven,1,74,12.14
Sona,1,85,12.14
Soraka,1,86,12.14
Thresh,1,92,12.14
Twisted Fate,1,96,12.14
Udyr,1,98,12.14
Vayne,1,101,12.14
Veigar,1,102,12.14
Volibear,1,106,12.14
Xerath,1,109,12.14
Ziggs,1,115,12.14
Zilean,1,116,12.14
VelKoz,1,123,12.14
Kindred,1,127,12.14
Belveth,1,160,12.14
Anivia,0,6,12.14
Caitlyn,0,11,12.14
Chogath,0,13,12.14
Elise,0,19,12.14
Garen,0,27,12.14
Hecarim,0,30,12.14
Heimerdinger,0,31,12.14
Janna,0,33,12.14
Kassadin,0,40,12.14
Nunu,0,65,12.14
Quinn,0,70,12.14
Shaco,0,78,12.14
