champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,3,3,21,6,36,100.0,9.5,7.0,2.0,12.0
Vi,6,6,18,66,78,100.0,1.45,3.0,11.0,13.0
Syndra,1287,654,7137,6840,8925,50.82,2.35,5.55,5.31,6.93
Kaisa,44104,21487,323580,233469,275856,48.72,2.57,7.34,5.29,6.25
Pantheon,12,0,60,84,27,0.0,1.04,5.0,7.0,2.25
Ornn,15,0,75,156,192,0.0,1.71,5.0,10.4,12.8
Wukong,9,3,84,57,45,33.33,2.26,9.33,6.33,5.0
Annie,51,6,261,375,519,11.76,2.08,5.12,7.35,10.18
Vayne,9759,5022,67074,53676,52773,51.46,2.23,6.87,5.5,5.41
Milio,9,0,9,36,72,0.0,2.25,1.0,4.0,8.0
Riven,171,72,1320,723,1002,42.11,3.21,7.72,4.23,5.86
Viego,33,18,294,258,135,54.55,1.66,8.91,7.82,4.09
Orianna,69,45,375,249,513,65.22,3.57,5.43,3.61,7.43
Corki,21608,11066,134056,107490,150243,51.21,2.64,6.2,4.97,6.95
Neeko,192,54,879,1122,1083,28.12,1.75,4.58,5.84,5.64
Aurora,276,132,1941,1434,1761,47.83,2.58,7.03,5.2,6.38
Galio,24,18,87,45,210,75.0,6.6,3.62,1.88,8.75
Sivir,23801,12074,126129,118053,183552,50.73,2.62,5.3,4.96,7.71
Thresh,3,0,12,21,18,0.0,1.43,4.0,7.0,6.0
Gwen,96,69,423,393,342,71.88,1.95,4.41,4.09,3.56
Ambessa,6,6,0,0,0,100.0,0.0,0.0,0.0,0.0
Taliyah,546,318,2769,2931,4572,58.24,2.5,5.07,5.37,8.37
Yunara,32942,16643,209648,181655,210855,50.52,2.31,6.36,5.51,6.4
Shen,9,9,57,27,93,100.0,5.56,6.33,3.0,10.33
Kayle,363,198,2043,1551,2208,54.55,2.74,5.63,4.27,6.08
Jax,141,90,882,573,711,63.83,2.78,6.26,4.06,5.04
Azir,285,144,1419,1902,1671,50.53,1.62,4.98,6.67,5.86
Malphite,15,3,15,78,117,20.0,1.69,1.0,5.2,7.8
Aatrox,12,0,27,81,48,0.0,0.93,2.25,6.75,4.0
Tryndamere,87,42,291,405,447,48.28,1.82,3.34,4.66,5.14
Poppy,15,0,45,90,45,0.0,1.0,3.0,6.0,3.0
Renekton,3,3,6,42,63,100.0,1.64,2.0,14.0,21.0
Nautilus,63,54,114,210,651,85.71,3.64,1.81,3.33,10.33
Yasuo,4869,2535,28479,30330,31401,52.06,1.97,5.85,6.23,6.45
Viktor,1503,759,7236,8400,11802,50.5,2.27,4.81,5.59,7.85
Lucian,45690,22905,311706,242499,290712,50.13,2.48,6.82,5.31,6.36
Braum,3,0,6,21,15,0.0,1.0,2.0,7.0,5.0
Lux,5397,3045,31800,22989,46131,56.42,3.39,5.89,4.26,8.55
Jhin,40445,20141,252177,185826,314656,49.8,3.05,6.24,4.59,7.78
Bard,12,6,51,57,93,50.0,2.53,4.25,4.75,7.75
Ryze,60,21,222,354,396,35.0,1.75,3.7,5.9,6.6
Varus,26696,13133,162759,144778,184474,49.19,2.4,6.1,5.42,6.91
Alistar,3,0,9,24,27,0.0,1.5,3.0,8.0,9.0
Fiora,486,252,2814,2961,2487,51.85,1.79,5.79,6.09,5.12
Zyra,2220,1218,8124,10818,17883,54.86,2.4,3.66,4.87,8.06
Tristana,22482,11337,162516,114900,121752,50.43,2.47,7.23,5.11,5.42
Nunu & Willump,60,21,150,390,603,35.0,1.93,2.5,6.5,10.05
Chogath,517,238,3180,2478,2958,46.03,2.48,6.15,4.79,5.72
Lee Sin,30,18,120,150,114,60.0,1.56,4.0,5.0,3.8
Nami,30,12,42,192,504,40.0,2.84,1.4,6.4,16.8
Caitlyn,17398,8419,101991,95748,97431,48.39,2.08,5.86,5.5,5.6
Ezreal,42797,21188,253074,209172,285141,49.51,2.57,5.91,4.89,6.66
Jayce,120,33,621,831,840,27.5,1.76,5.17,6.92,7.0
Brand,1314,711,5925,7317,10380,54.11,2.23,4.51,5.57,7.9
Rakan,9,0,0,21,39,0.0,1.86,0.0,2.33,4.33
Volibear,9,6,72,60,114,66.67,3.1,8.0,6.67,12.67
Twitch,13338,7071,112194,78948,83457,53.01,2.48,8.41,5.92,6.26
Twisted Fate,57,18,276,435,333,31.58,1.4,4.84,7.63,5.84
Gragas,21,6,108,102,87,28.57,1.91,5.14,4.86,4.14
Cassiopeia,1113,642,7326,7200,6858,57.68,1.97,6.58,6.47,6.16
Udyr,3,0,0,24,6,0.0,0.25,0.0,8.0,2.0
Samira,5952,2730,50646,37419,30588,45.87,2.17,8.51,6.29,5.14
Seraphine,4776,2331,21393,22698,46923,48.81,3.01,4.48,4.75,9.82
Zilean,315,156,924,1266,3285,49.52,3.32,2.93,4.02,10.43
Smolder,19303,9694,115140,101940,126924,50.22,2.37,5.96,5.28,6.58
Janna,9,3,12,30,39,33.33,1.7,1.33,3.33,4.33
Zed,12,0,93,123,78,0.0,1.39,7.75,10.25,6.5
Nidalee,3,3,18,9,18,100.0,4.0,6.0,3.0,6.0
Ekko,117,63,609,501,453,53.85,2.12,5.21,4.28,3.87
Yone,204,84,1293,1401,1440,41.18,1.95,6.34,6.87,7.06
Sona,90,18,357,609,918,20.0,2.09,3.97,6.77,10.2
Ziggs,9030,4290,42420,41328,66219,47.51,2.63,4.7,4.58,7.33
Draven,12082,6010,83844,70554,67266,49.74,2.14,6.94,5.84,5.57
Sylas,42,30,270,330,345,71.43,1.86,6.43,7.86,8.21
Mel,10561,5092,81858,52007,59544,48.22,2.72,7.75,4.92,5.64
Reksai,3,0,6,24,0,0.0,0.25,2.0,8.0,0.0
Senna,25397,12773,116892,122058,272418,50.29,3.19,4.6,4.81,10.73
Morgana,372,216,1698,1395,4266,58.06,4.28,4.56,3.75,11.47
Camille,6,0,30,72,30,0.0,0.83,5.0,12.0,5.0
Karma,162,63,588,768,1320,38.89,2.48,3.63,4.74,8.15
Mordekaiser,24,3,132,180,81,12.5,1.18,5.5,7.5,3.38
Xayah,12708,6270,77307,66333,81120,49.34,2.39,6.08,5.22,6.38
Sion,60,12,159,378,369,20.0,1.4,2.65,6.3,6.15
Aphelios,25480,12733,169197,148038,132102,49.97,2.04,6.64,5.81,5.18
Akali,51,27,258,159,147,52.94,2.55,5.06,3.12,2.88
Heimerdinger,786,309,3609,4140,4284,39.31,1.91,4.59,5.27,5.45
Teemo,159,69,741,864,792,43.4,1.77,4.66,5.43,4.98
Ashe,13945,7084,72708,80178,116766,50.8,2.36,5.21,5.75,8.37
Karthus,5842,3175,45153,45792,53652,54.35,2.16,7.73,7.84,9.18
Lulu,6,6,12,30,120,100.0,4.4,2.0,5.0,20.0
Zeri,19036,9229,122820,101514,117201,48.48,2.36,6.45,5.33,6.16
Elise,6,0,0,18,18,0.0,1.0,0.0,3.0,3.0
Miss Fortune,16225,8155,96306,83118,111465,50.26,2.5,5.94,5.12,6.87
Kindred,69,24,366,534,426,34.78,1.48,5.3,7.74,6.17
Shaco,9,0,30,33,21,0.0,1.55,3.33,3.67,2.33
Diana,21,15,111,198,198,71.43,1.56,5.29,9.43,9.43
Zoe,222,126,1701,1209,2271,56.76,3.29,7.66,5.45,10.23
Kassadin,15,3,57,57,48,20.0,1.84,3.8,3.8,3.2
Sejuani,3,3,6,9,27,100.0,3.67,2.0,3.0,9.0
Kennen,15,0,72,66,72,0.0,2.18,4.8,4.4,4.8
Pyke,36,9,303,252,243,25.0,2.17,8.42,7.0,6.75
Naafiri,36,21,150,84,96,58.33,2.93,4.17,2.33,2.67
Fizz,9,9,90,63,63,100.0,2.43,10.0,7.0,7.0
Yorick,30,18,123,159,258,60.0,2.4,4.1,5.3,8.6
Vladimir,438,273,2751,1719,2844,62.33,3.25,6.28,3.92,6.49
Ivern,30,0,99,162,309,0.0,2.52,3.3,5.4,10.3
Soraka,105,33,216,315,1452,31.43,5.3,2.06,3.0,13.83
Xerath,462,264,2673,1773,4428,57.14,4.01,5.79,3.84,9.58
Graves,12,0,12,36,0,0.0,0.33,1.0,3.0,0.0
Lissandra,60,15,237,504,558,25.0,1.58,3.95,8.4,9.3
Illaoi,15,15,57,105,69,100.0,1.2,3.8,7.0,4.6
Qiyana,120,60,1119,846,795,50.0,2.26,9.32,7.05,6.62
Zac,6,0,18,36,0,0.0,0.5,3.0,6.0,0.0
Swain,3090,1641,18087,16515,28179,53.11,2.8,5.85,5.34,9.12
Irelia,378,195,2703,2634,2208,51.59,1.86,7.15,6.97,5.84
Fiddlesticks,15,12,84,78,93,80.0,2.27,5.6,5.2,6.2
Ahri,129,57,612,627,777,44.19,2.22,4.74,4.86,6.02
Veigar,2073,1032,10647,10872,13296,49.78,2.2,5.14,5.24,6.41
Dr. Mundo,30,21,84,96,186,70.0,2.81,2.8,3.2,6.2
Kled,165,81,1260,1113,1389,49.09,2.38,7.64,6.75,8.42
Jinx,22563,11274,141771,118602,151881,49.97,2.48,6.28,5.26,6.73
Quinn,33,12,339,222,168,36.36,2.28,10.27,6.73,5.09
Nilah,5811,3018,40161,32403,33810,51.94,2.28,6.91,5.58,5.82
Sett,12,12,75,90,105,100.0,2.0,6.25,7.5,8.75
Rammus,3,3,21,12,75,100.0,8.0,7.0,4.0,25.0
LeBlanc,12,6,36,24,36,50.0,3.0,3.0,2.0,3.0
Hwei,5925,2904,28488,29397,46242,49.01,2.54,4.81,4.96,7.8
Nasus,30,6,69,198,177,20.0,1.24,2.3,6.6,5.9
Katarina,201,78,1089,1230,1077,38.81,1.76,5.42,6.12,5.36
Kalista,4365,2094,29265,28200,26229,47.97,1.97,6.7,6.46,6.01
KSante,9,9,27,72,90,100.0,1.62,3.0,8.0,10.0
Tahm Kench,57,18,117,321,411,31.58,1.64,2.05,5.63,7.21
VelKoz,945,501,5481,4701,7371,53.02,2.73,5.8,4.97,7.8
Urgot,243,123,2004,1326,1338,50.62,2.52,8.25,5.46,5.51
Darius,15,9,54,57,42,60.0,1.68,3.6,3.8,2.8
Olaf,162,111,1326,1044,990,68.52,2.22,8.19,6.44,6.11
Rengar,126,78,1029,948,900,61.9,2.03,8.17,7.52,7.14
Anivia,141,63,612,597,1206,44.68,3.05,4.34,4.23,8.55
Vex,30,27,198,192,387,90.0,3.05,6.6,6.4,12.9
Aurelion Sol,2406,1218,15414,12495,20139,50.62,2.85,6.41,5.19,8.37
KogMaw,7788,3882,57567,49305,50139,49.85,2.18,7.39,6.33,6.44
Briar,9,3,39,87,69,33.33,1.24,4.33,9.67,7.67
Akshan,432,234,3624,2280,2343,54.17,2.62,8.39,5.28,5.42
Amumu,3,0,3,27,24,0.0,1.0,1.0,9.0,8.0
Singed,120,45,570,657,894,37.5,2.23,4.75,5.47,7.45
Maokai,3,0,3,30,21,0.0,0.8,1.0,10.0,7.0
Malzahar,144,93,573,723,1290,64.58,2.58,3.98,5.02,8.96
Warwick,24,15,222,51,123,62.5,6.76,9.25,2.12,5.12
