champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,10979,5363,54795,56784,70380,48.85,2.2,4.99,5.17,6.41
Vi,102,60,612,780,531,58.82,1.47,6.0,7.65,5.21
Syndra,279,150,1494,1809,1332,53.76,1.56,5.35,6.48,4.77
Kaisa,291,87,1410,2130,1299,29.9,1.27,4.85,7.32,4.46
Pantheon,4308,2253,26805,22158,24354,52.3,2.31,6.22,5.14,5.65
Ornn,11607,5682,33621,49668,91014,48.95,2.51,2.9,4.28,7.84
Wukong,2124,888,10782,12102,9591,41.81,1.68,5.08,5.7,4.52
Annie,234,120,1005,1371,2211,51.28,2.35,4.29,5.86,9.45
Vayne,3687,1848,23487,21876,15681,50.12,1.79,6.37,5.93,4.25
Riven,20740,11095,123039,108089,93493,53.5,2.0,5.93,5.21,4.51
Viego,510,216,2940,2595,2349,42.35,2.04,5.76,5.09,4.61
Orianna,354,213,1872,1548,3288,60.17,3.33,5.29,4.37,9.29
Corki,645,294,3309,4359,3624,45.58,1.59,5.13,6.76,5.62
Neeko,1332,702,5178,6264,6609,52.7,1.88,3.89,4.7,4.96
Aurora,9894,5085,55464,46026,59073,51.39,2.49,5.61,4.65,5.97
Jarvan IV,180,90,711,1050,1227,50.0,1.85,3.95,5.83,6.82
Galio,1608,942,4674,7497,13464,58.58,2.42,2.91,4.66,8.37
Sivir,69,33,273,423,384,47.83,1.55,3.96,6.13,5.57
Thresh,18,6,90,72,156,33.33,3.42,5.0,4.0,8.67
Gwen,22124,11237,117798,121665,93528,50.79,1.74,5.32,5.5,4.23
Ambessa,37527,19269,189825,185976,189462,51.35,2.04,5.06,4.96,5.05
Taliyah,252,144,879,1173,1734,57.14,2.23,3.49,4.65,6.88
Yunara,867,297,3681,5781,3195,34.26,1.19,4.25,6.67,3.69
Shen,15873,8289,62052,66189,139959,52.22,3.05,3.91,4.17,8.82
Kayle,6282,3162,28671,34002,30180,50.33,1.73,4.56,5.41,4.8
Jax,27319,14425,133086,130344,118068,52.8,1.93,4.87,4.77,4.32
Azir,3288,1836,17133,17922,17145,55.84,1.91,5.21,5.45,5.21
Malphite,7032,3375,23427,30288,48690,47.99,2.38,3.33,4.31,6.92
Rell,21,12,66,69,186,57.14,3.65,3.14,3.29,8.86
Aatrox,25108,11800,113886,127131,125877,47.0,1.89,4.54,5.06,5.01
Tryndamere,5886,3018,26967,29886,25716,51.27,1.76,4.58,5.08,4.37
Poppy,4443,2202,15156,21483,28635,49.56,2.04,3.41,4.84,6.44
Renekton,23073,11478,102822,115977,117585,49.75,1.9,4.46,5.03,5.1
Nautilus,69,30,90,393,705,43.48,2.02,1.3,5.7,10.22
Yasuo,8135,3986,40230,49173,36405,49.0,1.56,4.95,6.04,4.48
Skarner,63,42,213,219,411,66.67,2.85,3.38,3.48,6.52
Viktor,498,261,1626,2793,2790,52.41,1.58,3.27,5.61,5.6
Lucian,387,189,1956,2343,2115,48.84,1.74,5.05,6.05,5.47
Lux,105,51,606,519,894,48.57,2.89,5.77,4.94,8.51
Jhin,99,60,654,675,1089,60.61,2.58,6.61,6.82,11.0
Bard,42,24,135,243,489,57.14,2.57,3.21,5.79,11.64
Trundle,2166,1080,8694,14004,9111,49.86,1.27,4.01,6.47,4.21
Ryze,5541,2868,28134,26490,30519,51.76,2.21,5.08,4.78,5.51
Varus,1431,669,8238,9567,6225,46.75,1.51,5.76,6.69,4.35
Alistar,24,15,51,129,156,62.5,1.6,2.12,5.38,6.5
Fiora,16133,8102,85362,89871,61290,50.22,1.63,5.29,5.57,3.8
Zyra,69,15,144,423,348,21.74,1.16,2.09,6.13,5.04
Tristana,345,132,1980,2034,1347,38.26,1.64,5.74,5.9,3.9
Nunu & Willump,3,0,3,24,12,0.0,0.62,1.0,8.0,4.0
Chogath,8072,4061,38190,39768,41172,50.31,2.0,4.73,4.93,5.1
Lee Sin,1155,555,6507,6447,6585,48.05,2.03,5.63,5.58,5.7
Caitlyn,336,126,1293,1887,1263,37.5,1.35,3.85,5.62,3.76
Ezreal,111,84,693,480,609,75.68,2.71,6.24,4.32,5.49
Jayce,22741,11320,123609,126828,126168,49.78,1.97,5.44,5.58,5.55
Brand,66,48,330,420,501,72.73,1.98,5.0,6.36,7.59
Gangplank,13998,7230,71787,71346,89493,51.65,2.26,5.13,5.1,6.39
Volibear,5853,2679,23874,33297,27588,45.77,1.55,4.08,5.69,4.71
Twitch,39,24,324,246,231,61.54,2.26,8.31,6.31,5.92
Twisted Fate,796,460,3987,3951,5667,57.79,2.44,5.01,4.96,7.12
Gragas,16718,8267,65406,78279,100191,49.45,2.12,3.91,4.68,5.99
Cassiopeia,1719,948,9579,10365,9501,55.15,1.84,5.57,6.03,5.53
Udyr,3399,1605,12477,15900,19620,47.22,2.02,3.67,4.68,5.77
Samira,9,3,84,72,24,33.33,1.5,9.33,8.0,2.67
Seraphine,12,12,30,60,162,100.0,3.2,2.5,5.0,13.5
Zilean,687,387,1092,2544,7095,56.33,3.22,1.59,3.7,10.33
Smolder,1704,690,7938,10527,8856,40.49,1.6,4.66,6.18,5.2
Janna,273,159,777,1332,2295,58.24,2.31,2.85,4.88,8.41
Zed,1555,808,9141,7242,7635,51.96,2.32,5.88,4.66,4.91
Nidalee,2041,952,10395,9669,11115,46.64,2.22,5.09,4.74,5.45
Ekko,240,99,1572,1320,1350,41.25,2.21,6.55,5.5,5.62
Yone,9176,4295,42099,54777,39447,46.81,1.49,4.59,5.97,4.3
Xin Zhao,429,228,2079,2847,2145,53.15,1.48,4.85,6.64,5.0
Sona,6,0,12,21,15,0.0,1.29,2.0,3.5,2.5
Ziggs,24,12,123,183,183,50.0,1.67,5.12,7.62,7.62
Draven,213,138,1251,1425,1467,64.79,1.91,5.87,6.69,6.89
Sylas,2496,1338,13713,14025,15075,53.61,2.05,5.49,5.62,6.04
Hecarim,60,9,177,375,222,15.0,1.06,2.95,6.25,3.7
Mel,99,39,645,492,390,39.39,2.1,6.52,4.97,3.94
Reksai,405,219,1587,1857,1746,54.07,1.79,3.92,4.59,4.31
Senna,36,21,180,303,375,58.33,1.83,5.0,8.42,10.42
Belveth,3,3,27,9,18,100.0,5.0,9.0,3.0,6.0
Master Yi,39,21,231,234,90,53.85,1.37,5.92,6.0,2.31
Morgana,84,21,291,366,645,25.0,2.56,3.46,4.36,7.68
Camille,11161,5551,59118,56859,55164,49.74,2.01,5.3,5.09,4.94
Karma,1110,576,3156,4956,8922,51.89,2.44,2.84,4.46,8.04
Mordekaiser,6084,2949,29283,32916,26514,48.47,1.7,4.81,5.41,4.36
Xayah,36,30,114,195,318,83.33,2.22,3.17,5.42,8.83
Sion,16092,7995,52434,76542,108600,49.68,2.1,3.26,4.76,6.75
Aphelios,42,12,333,282,216,28.57,1.95,7.93,6.71,5.14
Akali,5733,2802,34575,27267,23733,48.87,2.14,6.03,4.76,4.14
Talon,93,66,645,645,549,70.97,1.85,6.94,6.94,5.9
Nocturne,925,430,4084,4956,5097,46.49,1.85,4.42,5.36,5.51
Yuumi,36,0,0,78,57,0.0,0.73,0.0,2.17,1.58
Heimerdinger,2505,1224,12123,13428,11025,48.86,1.72,4.84,5.36,4.4
Teemo,8759,4331,41901,40653,44568,49.45,2.13,4.78,4.64,5.09
Shyvana,69,24,306,441,234,34.78,1.22,4.43,6.39,3.39
Ashe,30,12,96,219,126,40.0,1.01,3.2,7.3,4.2
Karthus,96,57,705,777,912,59.38,2.08,7.34,8.09,9.5
Lulu,786,444,2133,3705,7722,56.49,2.66,2.71,4.71,9.82
Zeri,537,237,3459,3606,2250,44.13,1.58,6.44,6.72,4.19
Elise,507,240,3459,4032,1692,47.34,1.28,6.82,7.95,3.34
Miss Fortune,3,0,21,27,12,0.0,1.22,7.0,9.0,4.0
Kindred,189,69,1293,1188,1161,36.51,2.07,6.84,6.29,6.14
Shaco,486,246,1812,3006,2736,50.62,1.51,3.73,6.19,5.63
Diana,135,78,1092,933,786,57.78,2.01,8.09,6.91,5.82
Zoe,366,168,1998,1815,2109,45.9,2.26,5.46,4.96,5.76
Kassadin,204,105,1023,1095,903,51.47,1.76,5.01,5.37,4.43
Sejuani,705,342,2469,3144,4917,48.51,2.35,3.5,4.46,6.97
Kennen,8650,4588,43869,44553,48807,53.04,2.08,5.07,5.15,5.64
Naafiri,324,183,1740,1524,1689,56.48,2.25,5.37,4.7,5.21
Gnar,9694,4672,39738,50052,52317,48.19,1.84,4.1,5.16,5.4
Fizz,111,45,585,648,555,40.54,1.76,5.27,5.84,5.0
Taric,24,3,15,132,165,12.5,1.36,0.62,5.5,6.88
Yorick,13062,6408,48090,60105,57312,49.06,1.75,3.68,4.6,4.39
Vladimir,10383,4944,48063,47559,46389,47.62,1.99,4.63,4.58,4.47
Ivern,405,243,1428,1953,3633,60.0,2.59,3.53,4.82,8.97
Soraka,219,138,402,699,2709,63.01,4.45,1.84,3.19,12.37
Xerath,42,9,126,246,261,21.43,1.57,3.0,5.86,6.21
Graves,369,210,2493,1734,1680,56.91,2.41,6.76,4.7,4.55
Lissandra,465,282,1758,2481,4023,60.65,2.33,3.78,5.34,8.65
Illaoi,1554,678,5676,9354,6630,43.63,1.32,3.65,6.02,4.27
Qiyana,688,415,4965,3708,3384,60.32,2.25,7.22,5.39,4.92
Zac,3078,1587,13131,12720,21636,51.56,2.73,4.27,4.13,7.03
Swain,1836,1032,8652,10548,13812,56.21,2.13,4.71,5.75,7.52
Irelia,12266,6038,67857,80628,51327,49.23,1.48,5.53,6.57,4.18
Fiddlesticks,456,261,1776,2199,3204,57.24,2.26,3.89,4.82,7.03
Ahri,492,228,2208,2691,3075,46.34,1.96,4.49,5.47,6.25
Kayn,402,171,2016,3099,1956,42.54,1.28,5.01,7.71,4.87
Veigar,270,141,1242,1176,1314,52.22,2.17,4.6,4.36,4.87
Dr. Mundo,11640,5562,41349,54315,53136,47.78,1.74,3.55,4.67,4.56
Kled,7169,3743,37229,38700,42399,52.21,2.06,5.19,5.4,5.91
Jinx,3,0,30,33,42,0.0,2.18,10.0,11.0,14.0
Quinn,4806,2505,33669,30801,30660,52.12,2.09,7.01,6.41,6.38
Nilah,3,0,6,33,15,0.0,0.64,2.0,11.0,5.0
Sett,9294,4551,45027,55944,44268,48.97,1.6,4.84,6.02,4.76
Rammus,267,105,600,1488,1860,39.33,1.65,2.25,5.57,6.97
