opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Malphite,180,72,558,870,894,40.0,1.67,3.1,4.83,4.97
Riven,462,146,1704,2768,2308,31.6,1.45,3.69,5.99,5.0
Sejuani,32,28,56,158,286,87.5,2.16,1.75,4.94,8.94
Gwen,652,278,2544,3632,2818,42.64,1.48,3.9,5.57,4.32
Sion,658,266,3086,3008,3392,40.43,2.15,4.69,4.57,5.16
Rumble,268,146,1260,1616,1798,54.48,1.89,4.7,6.03,6.71
Lee Sin,50,16,132,260,186,32.0,1.22,2.64,5.2,3.72
Ambessa,1326,576,5928,6564,6748,43.44,1.93,4.47,4.95,5.09
Camille,302,120,1260,1586,1200,39.74,1.55,4.17,5.25,3.97
Viego,40,16,234,232,228,40.0,1.99,5.85,5.8,5.7
Shen,552,212,2190,2844,2758,38.41,1.74,3.97,5.15,5.0
Jayce,686,336,3244,3704,3422,48.98,1.8,4.73,5.4,4.99
KSante,416,226,1684,2124,2542,54.33,1.99,4.05,5.11,6.11
Jax,678,290,2774,3318,2778,42.77,1.67,4.09,4.89,4.1
Renekton,938,428,4106,4628,4578,45.63,1.88,4.38,4.93,4.88
Yone,428,190,2208,2210,2076,44.39,1.94,5.16,5.16,4.85
Kled,216,88,934,972,1044,40.74,2.03,4.32,4.5,4.83
Gragas,582,288,2338,2650,2722,49.48,1.91,4.02,4.55,4.68
Fiora,638,360,3068,2832,3048,56.43,2.16,4.81,4.44,4.78
Yorick,262,174,1346,1098,1542,66.41,2.63,5.14,4.19,5.89
Teemo,214,58,1058,1316,1184,27.1,1.7,4.94,6.15,5.53
Irelia,396,178,1818,2396,2356,44.95,1.74,4.59,6.05,5.95
Olaf,78,44,306,430,374,56.41,1.58,3.92,5.51,4.79
Gangplank,594,276,2978,3082,2924,46.46,1.91,5.01,5.19,4.92
Akali,160,92,954,722,1004,57.5,2.71,5.96,4.51,6.28
Vladimir,322,164,1550,1536,1454,50.93,1.96,4.81,4.77,4.52
Urgot,318,116,1258,1708,1500,36.48,1.61,3.96,5.37,4.72
Nocturne,18,4,76,74,96,22.22,2.32,4.22,4.11,5.33
Ahri,16,2,156,90,80,12.5,2.62,9.75,5.62,5.0
Zac,138,96,668,602,684,69.57,2.25,4.84,4.36,4.96
Singed,162,70,728,822,796,43.21,1.85,4.49,5.07,4.91
Nidalee,34,8,188,236,226,23.53,1.75,5.53,6.94,6.65
Garen,170,80,756,824,910,47.06,2.02,4.45,4.85,5.35
Ivern,22,4,52,108,88,18.18,1.3,2.36,4.91,4.0
Volibear,214,98,964,956,992,45.79,2.05,4.5,4.47,4.64
Ryze,76,30,280,362,284,39.47,1.56,3.68,4.76,3.74
Jarvan Iv,16,16,120,48,76,100.0,4.08,7.5,3.0,4.75
Chogath,174,98,844,826,1106,56.32,2.36,4.85,4.75,6.36
Ornn,400,208,1646,1990,2000,52.0,1.83,4.12,4.97,5.0
Dr. Mundo,294,174,1852,1312,1790,59.18,2.78,6.3,4.46,6.09
Aurora,232,124,1056,1032,966,53.45,1.96,4.55,4.45,4.16
Warwick,196,104,782,1256,1076,53.06,1.48,3.99,6.41,5.49
Kennen,148,48,422,738,546,32.43,1.31,2.85,4.99,3.69
Taliyah,12,12,36,0,60,100.0,96.0,3.0,0.0,5.0
