opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Riven,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sylas,162,54,896,954,748,33.33,1.72,5.53,5.89,4.62
Orianna,92,58,366,430,326,63.04,1.61,3.98,4.67,3.54
Galio,94,68,630,380,754,72.34,3.64,6.7,4.04,8.02
Akali,68,22,170,492,208,32.35,0.77,2.5,7.24,3.06
Zoe,54,24,462,300,232,44.44,2.31,8.56,5.56,4.3
Ekko,82,50,338,306,484,60.98,2.69,4.12,3.73,5.9
Briar,6,0,48,36,0,0.0,1.33,8.0,6.0,0.0
Azir,50,16,188,324,216,32.0,1.25,3.76,6.48,4.32
Syndra,72,48,574,308,424,66.67,3.24,7.97,4.28,5.89
Yasuo,58,34,504,262,330,58.62,3.18,8.69,4.52,5.69
Diana,22,10,146,94,150,45.45,3.15,6.64,4.27,6.82
Yone,90,72,534,322,568,80.0,3.42,5.93,3.58,6.31
Qiyana,44,30,186,324,258,68.18,1.37,4.23,7.36,5.86
Fizz,14,8,38,34,32,57.14,2.06,2.71,2.43,2.29
Swain,4,2,6,26,28,50.0,1.31,1.5,6.5,7.0
Ziggs,20,2,74,136,98,10.0,1.26,3.7,6.8,4.9
Taliyah,80,48,448,406,502,60.0,2.34,5.6,5.08,6.28
Aatrox,28,26,78,102,218,92.86,2.9,2.79,3.64,7.79
Viktor,34,10,194,200,240,29.41,2.17,5.71,5.88,7.06
Hwei,36,16,234,166,244,44.44,2.88,6.5,4.61,6.78
Naafiri,12,8,124,74,82,66.67,2.78,10.33,6.17,6.83
Wukong,10,0,30,70,50,0.0,1.14,3.0,7.0,5.0
Volibear,6,6,18,28,36,100.0,1.93,3.0,4.67,6.0
Zed,68,32,338,314,406,47.06,2.37,4.97,4.62,5.97
Ahri,40,8,244,270,224,20.0,1.73,6.1,6.75,5.6
Twisted Fate,30,2,208,234,112,6.67,1.37,6.93,7.8,3.73
Gangplank,6,2,38,18,30,33.33,3.78,6.33,3.0,5.0
Mel,44,30,238,148,238,68.18,3.22,5.41,3.36,5.41
Veigar,14,6,94,72,90,42.86,2.56,6.71,5.14,6.43
Zac,6,6,32,26,26,100.0,2.23,5.33,4.33,4.33
