opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sona,14,14,40,120,306,100.0,2.88,2.86,8.57,21.86
Nami,24,6,22,130,194,25.0,1.66,0.92,5.42,8.08
Lulu,8,6,18,38,72,75.0,2.37,2.25,4.75,9.0
Alistar,34,18,46,316,520,52.94,1.79,1.35,9.29,15.29
Pyke,30,2,28,268,440,6.67,1.75,0.93,8.93,14.67
Rell,26,24,72,218,436,92.31,2.33,2.77,8.38,16.77
Thresh,6,4,10,56,122,66.67,2.36,1.67,9.33,20.33
Yuumi,8,4,8,44,108,50.0,2.64,1.0,5.5,13.5
Lux,8,8,20,64,160,100.0,2.81,2.5,8.0,20.0
Leona,10,8,16,56,190,80.0,3.68,1.6,5.6,19.0
Soraka,4,2,12,28,20,50.0,1.14,3.0,7.0,5.0
Zilean,2,0,6,10,10,0.0,1.6,3.0,5.0,5.0
Taric,2,0,0,26,30,0.0,1.15,0.0,13.0,15.0
Poppy,4,0,12,40,52,0.0,1.6,3.0,10.0,13.0
Seraphine,12,8,26,54,144,66.67,3.15,2.17,4.5,12.0
Karma,12,10,14,80,204,83.33,2.73,1.17,6.67,17.0
Bard,18,10,24,108,244,55.56,2.48,1.33,6.0,13.56
Blitzcrank,10,4,28,72,144,40.0,2.39,2.8,7.2,14.4
Janna,16,14,40,106,218,87.5,2.43,2.5,6.62,13.62
Elise,4,2,18,36,68,50.0,2.39,4.5,9.0,17.0
Mel,2,0,2,28,38,0.0,1.43,1.0,14.0,19.0
Senna,4,4,12,14,62,100.0,5.29,3.0,3.5,15.5
Milio,8,8,22,10,98,100.0,12.0,2.75,1.25,12.25
Brand,2,2,0,10,34,100.0,3.4,0.0,5.0,17.0
LeBlanc,4,2,16,20,42,50.0,2.9,4.0,5.0,10.5
Galio,8,0,6,56,50,0.0,1.0,0.75,7.0,6.25
Braum,16,2,48,158,186,12.5,1.48,3.0,9.88,11.62
Camille,10,0,30,120,170,0.0,1.67,3.0,12.0,17.0
Renata,4,4,12,36,84,100.0,2.67,3.0,9.0,21.0
Nautilus,6,6,6,24,102,100.0,4.5,1.0,4.0,17.0
Rakan,2,0,2,4,12,0.0,3.5,1.0,2.0,6.0
