opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Taliyah,4,0,8,16,24,0.0,2.0,2.0,4.0,6.0
Lucian,10,10,26,20,122,100.0,7.4,2.6,2.0,12.2
Draven,6,6,58,46,82,100.0,3.04,9.67,7.67,13.67
Jhin,6,6,24,18,50,100.0,4.11,4.0,3.0,8.33
Corki,10,0,20,50,10,0.0,0.6,2.0,5.0,1.0
Yunara,10,10,50,40,180,100.0,5.75,5.0,4.0,18.0
Xayah,10,0,70,40,110,0.0,4.5,7.0,4.0,11.0
Smolder,6,0,6,24,18,0.0,1.0,1.0,4.0,3.0
Jinx,2,2,6,2,14,100.0,10.0,3.0,1.0,7.0
Mel,2,0,6,6,6,0.0,2.0,3.0,3.0,3.0
Sivir,6,6,42,6,54,100.0,16.0,7.0,1.0,9.0
Caitlyn,2,0,8,12,8,0.0,1.33,4.0,6.0,4.0
Kaisa,8,0,40,36,44,0.0,2.33,5.0,4.5,5.5
Ezreal,4,2,18,26,34,50.0,2.0,4.5,6.5,8.5
Swain,2,0,12,14,18,0.0,2.14,6.0,7.0,9.0
Lux,2,0,4,16,20,0.0,1.5,2.0,8.0,10.0
Fiora,4,0,10,26,10,0.0,0.77,2.5,6.5,2.5
