opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rakan,14,2,50,122,156,14.29,1.69,3.57,8.71,11.14
Yuumi,12,2,22,82,76,16.67,1.2,1.83,6.83,6.33
Nautilus,12,12,46,84,128,100.0,2.07,3.83,7.0,10.67
Teemo,2,2,2,16,38,100.0,2.5,1.0,8.0,19.0
Thresh,14,0,6,122,114,0.0,0.98,0.43,8.71,8.14
Nami,22,10,50,128,238,45.45,2.25,2.27,5.82,10.82
Janna,18,4,26,122,130,22.22,1.28,1.44,6.78,7.22
Leona,8,8,2,28,134,100.0,4.86,0.25,3.5,16.75
Maokai,4,4,40,32,40,100.0,2.5,10.0,8.0,10.0
Tahm Kench,4,4,20,16,76,100.0,6.0,5.0,4.0,19.0
Karma,10,0,58,48,64,0.0,2.54,5.8,4.8,6.4
Pantheon,14,8,30,84,210,57.14,2.86,2.14,6.0,15.0
Senna,6,4,30,44,52,66.67,1.86,5.0,7.33,8.67
Sona,14,4,30,76,172,28.57,2.66,2.14,5.43,12.29
Fiddlesticks,2,2,0,4,32,100.0,8.0,0.0,2.0,16.0
Rell,16,8,52,130,148,50.0,1.54,3.25,8.12,9.25
Bard,8,8,40,36,104,100.0,4.0,5.0,4.5,13.0
Poppy,4,0,24,24,40,0.0,2.67,6.0,6.0,10.0
Lux,2,2,6,12,24,100.0,2.5,3.0,6.0,12.0
Braum,6,2,8,30,54,33.33,2.07,1.33,5.0,9.0
Blitzcrank,2,0,4,24,10,0.0,0.58,2.0,12.0,5.0
Lulu,18,12,52,62,140,66.67,3.1,2.89,3.44,7.78
Neeko,10,6,6,70,66,60.0,1.03,0.6,7.0,6.6
Soraka,4,0,4,28,4,0.0,0.29,1.0,7.0,1.0
Alistar,12,4,34,84,96,33.33,1.55,2.83,7.0,8.0
Milio,14,2,28,66,78,14.29,1.61,2.0,4.71,5.57
Pyke,16,14,16,72,264,87.5,3.89,1.0,4.5,16.5
Zyra,2,0,10,20,24,0.0,1.7,5.0,10.0,12.0
Elise,4,0,4,32,16,0.0,0.62,1.0,8.0,4.0
