opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Kennen,10,0,22,50,16,0.0,0.76,2.2,5.0,1.6
Teemo,30,30,74,72,100,100.0,2.42,2.47,2.4,3.33
Azir,20,2,8,144,30,10.0,0.26,0.4,7.2,1.5
Renekton,44,30,64,188,356,68.18,2.23,1.45,4.27,8.09
Reksai,6,0,0,0,6,0.0,6.0,0.0,0.0,1.0
KSante,32,28,174,164,202,87.5,2.29,5.44,5.12,6.31
Neeko,8,6,30,40,70,75.0,2.5,3.75,5.0,8.75
Fiora,34,26,114,216,242,76.47,1.65,3.35,6.35,7.12
LeBlanc,2,0,6,8,6,0.0,1.5,3.0,4.0,3.0
Sion,36,28,144,102,130,77.78,2.69,4.0,2.83,3.61
Aurora,32,20,106,230,242,62.5,1.51,3.31,7.19,7.56
Jayce,92,42,322,382,436,45.65,1.98,3.5,4.15,4.74
Gragas,8,2,52,42,76,25.0,3.05,6.5,5.25,9.5
Ambessa,32,24,136,142,254,75.0,2.75,4.25,4.44,7.94
Sett,18,12,56,116,242,66.67,2.57,3.11,6.44,13.44
Aatrox,20,10,54,112,112,50.0,1.48,2.7,5.6,5.6
Gnar,22,14,72,142,188,63.64,1.83,3.27,6.45,8.55
Yone,40,34,114,112,204,85.0,2.84,2.85,2.8,5.1
Jax,44,22,100,124,134,50.0,1.89,2.27,2.82,3.05
Heimerdinger,16,10,66,100,94,62.5,1.6,4.12,6.25,5.88
Wukong,14,4,26,90,148,28.57,1.93,1.86,6.43,10.57
Riven,34,18,98,154,166,52.94,1.71,2.88,4.53,4.88
Ryze,12,10,48,36,22,83.33,1.94,4.0,3.0,1.83
Akali,20,18,42,58,100,90.0,2.45,2.1,2.9,5.0
Warwick,14,2,22,106,58,14.29,0.75,1.57,7.57,4.14
Gwen,20,14,80,76,178,70.0,3.39,4.0,3.8,8.9
Dr. Mundo,8,4,48,42,66,50.0,2.71,6.0,5.25,8.25
Chogath,12,8,80,48,96,66.67,3.67,6.67,4.0,8.0
Shen,28,20,100,120,196,71.43,2.47,3.57,4.29,7.0
Volibear,4,4,12,12,28,100.0,3.33,3.0,3.0,7.0
Garen,8,8,36,28,60,100.0,3.43,4.5,3.5,7.5
Kled,12,8,24,88,60,66.67,0.95,2.0,7.33,5.0
Nasus,8,0,40,24,80,0.0,5.0,5.0,3.0,10.0
Poppy,6,6,34,38,44,100.0,2.05,5.67,6.33,7.33
Yorick,18,14,52,44,78,77.78,2.95,2.89,2.44,4.33
Zed,16,0,52,72,102,0.0,2.14,3.25,4.5,6.38
Urgot,6,2,12,36,52,33.33,1.78,2.0,6.0,8.67
Ahri,12,4,24,36,36,33.33,1.67,2.0,3.0,3.0
Lissandra,2,0,0,8,0,0.0,0.0,0.0,4.0,0.0
Vladimir,24,18,162,66,228,75.0,5.91,6.75,2.75,9.5
Rumble,6,6,30,6,60,100.0,15.0,5.0,1.0,10.0
Singed,8,0,48,40,62,0.0,2.75,6.0,5.0,7.75
Gangplank,30,22,82,70,116,73.33,2.83,2.73,2.33,3.87
Irelia,24,10,102,138,134,41.67,1.71,4.25,5.75,5.58
Pantheon,36,20,42,88,50,55.56,1.05,1.17,2.44,1.39
Cassiopeia,20,12,106,116,226,60.0,2.86,5.3,5.8,11.3
Malphite,16,16,44,68,94,100.0,2.03,2.75,4.25,5.88
Qiyana,6,4,48,4,36,66.67,21.0,8.0,0.67,6.0
Kayle,8,4,24,34,36,50.0,1.76,3.0,4.25,4.5
Camille,8,6,74,28,54,75.0,4.57,9.25,3.5,6.75
Quinn,10,2,24,58,44,20.0,1.17,2.4,5.8,4.4
Yasuo,16,10,80,64,138,62.5,3.41,5.0,4.0,8.62
Zoe,4,0,12,24,20,0.0,1.33,3.0,6.0,5.0
Mel,4,4,12,12,40,100.0,4.33,3.0,3.0,10.0
Darius,10,10,44,46,92,100.0,2.96,4.4,4.6,9.2
Tryndamere,4,2,18,18,46,50.0,3.56,4.5,4.5,11.5
Lucian,2,0,16,8,12,0.0,3.5,8.0,4.0,6.0
Bard,6,0,24,30,60,0.0,2.8,4.0,5.0,10.0
Ornn,2,0,2,10,4,0.0,0.6,1.0,5.0,2.0
Naafiri,4,0,8,32,32,0.0,1.25,2.0,8.0,8.0
Trundle,4,4,12,4,20,100.0,8.0,3.0,1.0,5.0
Varus,16,16,144,32,288,100.0,13.5,9.0,2.0,18.0
Orianna,10,10,50,10,70,100.0,12.0,5.0,1.0,7.0
Olaf,2,2,6,18,26,100.0,1.78,3.0,9.0,13.0
Galio,10,0,30,58,16,0.0,0.79,3.0,5.8,1.6
Karma,2,2,8,2,14,100.0,11.0,4.0,1.0,7.0
