opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Yone,16,0,160,172,92,0.0,1.47,10.0,10.75,5.75
VelKoz,4,4,48,32,32,100.0,2.5,12.0,8.0,8.0
LeBlanc,2,0,6,16,10,0.0,1.0,3.0,8.0,5.0
Aurora,2,0,2,16,2,0.0,0.25,1.0,8.0,1.0
Akali,8,0,8,88,24,0.0,0.36,1.0,11.0,3.0
Twisted Fate,4,0,16,32,24,0.0,1.25,4.0,8.0,6.0
Zilean,6,0,36,84,60,0.0,1.14,6.0,14.0,10.0
Hwei,4,0,52,40,0,0.0,1.3,13.0,10.0,0.0
Ornn,2,0,2,6,4,0.0,1.0,1.0,3.0,2.0
Syndra,8,8,48,44,48,100.0,2.18,6.0,5.5,6.0
