opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Riven,178,70,756,918,1026,39.33,1.94,4.25,5.16,5.76
Teemo,170,86,938,696,860,50.59,2.58,5.52,4.09,5.06
Gwen,428,242,2142,1768,2814,56.54,2.8,5.0,4.13,6.57
Ahri,18,12,128,124,128,66.67,2.06,7.11,6.89,7.11
Tryndamere,44,24,250,158,228,54.55,3.03,5.68,3.59,5.18
Ambessa,422,240,2404,1936,2722,56.87,2.65,5.7,4.59,6.45
Yorick,250,138,1300,1092,1724,55.2,2.77,5.2,4.37,6.9
Sion,236,102,1148,1036,1588,43.22,2.64,4.86,4.39,6.73
Graves,8,0,88,40,24,0.0,2.8,11.0,5.0,3.0
Fiora,170,92,1034,734,1028,54.12,2.81,6.08,4.32,6.05
Lee Sin,2,2,18,2,22,100.0,20.0,9.0,1.0,11.0
Rumble,274,126,1916,1530,1852,45.99,2.46,6.99,5.58,6.76
Mel,8,0,46,42,66,0.0,2.67,5.75,5.25,8.25
Chogath,44,8,260,236,302,18.18,2.38,5.91,5.36,6.86
KogMaw,6,6,12,12,12,100.0,2.0,2.0,2.0,2.0
Urgot,124,66,652,618,618,53.23,2.06,5.26,4.98,4.98
Renekton,176,102,1088,602,956,57.95,3.4,6.18,3.42,5.43
Anivia,32,12,228,236,224,37.5,1.92,7.12,7.38,7.0
Kennen,56,28,408,262,334,50.0,2.83,7.29,4.68,5.96
Jax,272,90,1218,1348,1096,33.09,1.72,4.48,4.96,4.03
Yasuo,134,76,796,594,630,56.72,2.4,5.94,4.43,4.7
Irelia,344,202,1898,1564,2076,58.72,2.54,5.52,4.55,6.03
Lucian,4,0,28,24,24,0.0,2.17,7.0,6.0,6.0
Gnar,80,66,682,328,476,82.5,3.53,8.53,4.1,5.95
Gangplank,152,80,822,810,1022,52.63,2.28,5.41,5.33,6.72
Gragas,150,94,830,636,752,62.67,2.49,5.53,4.24,5.01
Aatrox,232,108,1186,954,1190,46.55,2.49,5.11,4.11,5.13
Volibear,32,28,304,136,394,87.5,5.13,9.5,4.25,12.31
Warwick,54,46,416,178,436,85.19,4.79,7.7,3.3,8.07
Jayce,260,116,1626,1330,1256,44.62,2.17,6.25,5.12,4.83
KSante,204,130,1490,912,1510,63.73,3.29,7.3,4.47,7.4
Quinn,46,28,298,240,396,60.87,2.89,6.48,5.22,8.61
