opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sylas,66,28,260,336,344,42.42,1.8,3.94,5.09,5.21
Gragas,42,20,264,264,308,47.62,2.17,6.29,6.29,7.33
Renekton,88,68,376,542,486,77.27,1.59,4.27,6.16,5.52
Riven,90,52,542,494,536,57.78,2.18,6.02,5.49,5.96
Anivia,20,18,72,50,94,90.0,3.32,3.6,2.5,4.7
Volibear,12,6,42,90,90,50.0,1.47,3.5,7.5,7.5
Kindred,10,0,90,100,120,0.0,2.1,9.0,10.0,12.0
Ambessa,110,58,784,716,490,52.73,1.78,7.13,6.51,4.45
Irelia,46,22,200,380,250,47.83,1.18,4.35,8.26,5.43
Cassiopeia,10,10,6,4,0,100.0,1.5,0.6,0.4,0.0
Yorick,48,32,196,312,284,66.67,1.54,4.08,6.5,5.92
Quinn,16,10,104,124,142,62.5,1.98,6.5,7.75,8.88
Smolder,12,8,68,64,84,66.67,2.38,5.67,5.33,7.0
Yone,88,34,474,542,518,38.64,1.83,5.39,6.16,5.89
Twisted Fate,10,10,70,20,50,100.0,6.0,7.0,2.0,5.0
Jax,60,32,342,302,252,53.33,1.97,5.7,5.03,4.2
Jayce,48,28,270,354,258,58.33,1.49,5.62,7.38,5.38
Fiora,30,20,222,178,170,66.67,2.2,7.4,5.93,5.67
Nidalee,30,2,106,146,108,6.67,1.47,3.53,4.87,3.6
Shen,70,24,226,328,270,34.29,1.51,3.23,4.69,3.86
Xerath,20,18,64,52,82,90.0,2.81,3.2,2.6,4.1
Aatrox,46,28,222,262,212,60.87,1.66,4.83,5.7,4.61
Ornn,28,12,172,168,150,42.86,1.92,6.14,6.0,5.36
Aurora,46,32,308,272,264,69.57,2.1,6.7,5.91,5.74
Gangplank,68,28,192,208,308,41.18,2.4,2.82,3.06,4.53
Mordekaiser,32,2,140,142,82,6.25,1.56,4.38,4.44,2.56
Ahri,6,4,44,34,60,66.67,3.06,7.33,5.67,10.0
Malphite,30,20,132,132,96,66.67,1.73,4.4,4.4,3.2
Gwen,36,20,202,250,256,55.56,1.83,5.61,6.94,7.11
Urgot,54,32,162,296,290,59.26,1.53,3.0,5.48,5.37
Heimerdinger,16,8,84,88,60,50.0,1.64,5.25,5.5,3.75
Sejuani,8,0,40,64,80,0.0,1.88,5.0,8.0,10.0
Trundle,16,16,222,58,84,100.0,5.28,13.88,3.62,5.25
Dr. Mundo,38,20,264,238,158,52.63,1.77,6.95,6.26,4.16
Chogath,46,28,198,152,202,60.87,2.63,4.3,3.3,4.39
Nocturne,6,6,72,18,24,100.0,5.33,12.0,3.0,4.0
Kled,20,0,126,160,122,0.0,1.55,6.3,8.0,6.1
Teemo,62,36,296,356,326,58.06,1.75,4.77,5.74,5.26
KSante,44,36,244,270,384,81.82,2.33,5.55,6.14,8.73
Warwick,32,2,154,258,236,6.25,1.51,4.81,8.06,7.38
Sett,14,12,104,50,74,85.71,3.56,7.43,3.57,5.29
Sion,44,28,146,192,302,63.64,2.33,3.32,4.36,6.86
Aurelion Sol,2,0,14,8,6,0.0,2.5,7.0,4.0,3.0
