opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,36,14,88,222,338,38.89,1.92,2.44,6.17,9.39
Nautilus,16,12,70,80,254,75.0,4.05,4.38,5.0,15.88
Karma,36,18,138,340,620,50.0,2.23,3.83,9.44,17.22
Sylas,8,0,14,42,50,0.0,1.52,1.75,5.25,6.25
Twisted Fate,14,0,28,154,84,0.0,0.73,2.0,11.0,6.0
Neeko,8,2,20,50,40,25.0,1.2,2.5,6.25,5.0
Lulu,34,6,102,220,268,17.65,1.68,3.0,6.47,7.88
Janna,8,2,16,68,90,25.0,1.56,2.0,8.5,11.25
Senna,32,14,90,144,220,43.75,2.15,2.81,4.5,6.88
Rell,24,10,82,198,288,41.67,1.87,3.42,8.25,12.0
Sona,22,4,28,170,222,18.18,1.47,1.27,7.73,10.09
Thresh,28,20,64,138,152,71.43,1.57,2.29,4.93,5.43
Hwei,2,2,2,0,12,100.0,14.0,1.0,0.0,6.0
Rakan,14,0,40,116,162,0.0,1.74,2.86,8.29,11.57
Leona,6,2,20,48,48,33.33,1.42,3.33,8.0,8.0
Bard,8,4,28,40,34,50.0,1.55,3.5,5.0,4.25
Pyke,10,8,32,108,156,80.0,1.74,3.2,10.8,15.6
Braum,6,4,24,44,130,66.67,3.5,4.0,7.33,21.67
Amumu,2,0,2,18,16,0.0,1.0,1.0,9.0,8.0
Taric,10,0,34,82,98,0.0,1.61,3.4,8.2,9.8
Nami,52,26,168,350,528,50.0,1.99,3.23,6.73,10.15
Heimerdinger,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lux,8,4,28,64,80,50.0,1.69,3.5,8.0,10.0
Maokai,10,0,0,40,50,0.0,1.25,0.0,4.0,5.0
Tahm Kench,4,0,16,52,40,0.0,1.08,4.0,13.0,10.0
Soraka,46,20,226,284,458,43.48,2.41,4.91,6.17,9.96
VelKoz,6,0,42,66,60,0.0,1.55,7.0,11.0,10.0
Milio,30,10,76,252,284,33.33,1.43,2.53,8.4,9.47
Blitzcrank,14,12,14,72,152,85.71,2.31,1.0,5.14,10.86
Zilean,2,2,6,6,4,100.0,1.67,3.0,3.0,2.0
Renata,4,2,10,20,46,50.0,2.8,2.5,5.0,11.5
Mel,2,0,2,6,8,0.0,1.67,1.0,3.0,4.0
Seraphine,2,0,8,8,12,0.0,2.5,4.0,4.0,6.0
Jarvan Iv,2,2,20,16,36,100.0,3.5,10.0,8.0,18.0
Pantheon,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Poppy,2,0,0,6,4,0.0,0.67,0.0,3.0,2.0
Fiddlesticks,4,4,20,34,48,100.0,2.0,5.0,8.5,12.0
Zyra,2,0,8,14,22,0.0,2.14,4.0,7.0,11.0
Vex,2,0,6,18,18,0.0,1.33,3.0,9.0,9.0
Zoe,2,0,4,26,8,0.0,0.46,2.0,13.0,4.0
