opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Camille,2,2,10,8,14,100.0,3.0,5.0,4.0,7.0
Yorick,8,6,20,76,48,75.0,0.89,2.5,9.5,6.0
Fiora,2,2,2,12,22,100.0,2.0,1.0,6.0,11.0
Volibear,8,8,56,24,88,100.0,6.0,7.0,3.0,11.0
Viego,2,0,0,8,0,0.0,0.0,0.0,4.0,0.0
Smolder,2,2,26,22,22,100.0,2.18,13.0,11.0,11.0
Aurora,2,0,6,18,6,0.0,0.67,3.0,9.0,3.0
Pantheon,4,4,8,16,36,100.0,2.75,2.0,4.0,9.0
Riven,2,0,4,18,10,0.0,0.78,2.0,9.0,5.0
Gragas,2,2,6,6,16,100.0,3.67,3.0,3.0,8.0
Akali,4,0,32,36,32,0.0,1.78,8.0,9.0,8.0
Teemo,4,4,40,24,16,100.0,2.33,10.0,6.0,4.0
Aatrox,2,2,10,12,24,100.0,2.83,5.0,6.0,12.0
