opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ambessa,6,6,12,54,66,100.0,1.44,2.0,9.0,11.0
Yone,12,8,94,94,76,66.67,1.81,7.83,7.83,6.33
Neeko,14,2,50,88,54,14.29,1.18,3.57,6.29,3.86
Viktor,4,4,36,22,18,100.0,2.45,9.0,5.5,4.5
Veigar,6,2,18,16,12,33.33,1.88,3.0,2.67,2.0
Katarina,18,18,90,68,90,100.0,2.65,5.0,3.78,5.0
Kassadin,8,0,38,68,18,0.0,0.82,4.75,8.5,2.25
Tryndamere,4,0,4,4,0,0.0,1.0,1.0,1.0,0.0
Kayle,18,14,170,162,152,77.78,1.99,9.44,9.0,8.44
Xerath,2,2,22,4,6,100.0,7.0,11.0,2.0,3.0
Akshan,4,0,10,26,22,0.0,1.23,2.5,6.5,5.5
Corki,12,6,118,58,58,50.0,3.03,9.83,4.83,4.83
Galio,12,2,54,52,32,16.67,1.65,4.5,4.33,2.67
Aurelion Sol,10,6,60,82,44,60.0,1.27,6.0,8.2,4.4
Syndra,16,8,88,76,74,50.0,2.13,5.5,4.75,4.62
Sylas,16,0,92,120,54,0.0,1.22,5.75,7.5,3.38
Vladimir,20,14,162,132,124,70.0,2.17,8.1,6.6,6.2
Chogath,4,4,36,16,28,100.0,4.0,9.0,4.0,7.0
Aurora,8,2,58,54,54,25.0,2.07,7.25,6.75,6.75
Taliyah,18,6,216,162,124,33.33,2.1,12.0,9.0,6.89
Sivir,2,2,24,2,8,100.0,16.0,12.0,1.0,4.0
Azir,16,12,134,106,138,75.0,2.57,8.38,6.62,8.62
Lissandra,4,4,32,12,16,100.0,4.0,8.0,3.0,4.0
Zac,2,0,0,2,2,0.0,1.0,0.0,1.0,1.0
Orianna,6,6,32,20,34,100.0,3.3,5.33,3.33,5.67
Akali,4,4,38,28,36,100.0,2.64,9.5,7.0,9.0
Garen,2,2,20,10,18,100.0,3.8,10.0,5.0,9.0
Qiyana,4,4,16,12,28,100.0,3.67,4.0,3.0,7.0
Teemo,4,0,32,24,12,0.0,1.83,8.0,6.0,3.0
Naafiri,2,2,6,20,26,100.0,1.6,3.0,10.0,13.0
Ryze,12,10,66,36,68,83.33,3.72,5.5,3.0,5.67
Riven,6,0,24,48,36,0.0,1.25,4.0,8.0,6.0
Diana,2,2,6,6,10,100.0,2.67,3.0,3.0,5.0
Anivia,2,0,10,24,16,0.0,1.08,5.0,12.0,8.0
Zed,20,18,132,232,218,90.0,1.51,6.6,11.6,10.9
Tristana,2,2,16,8,36,100.0,6.5,8.0,4.0,18.0
Twisted Fate,2,2,16,6,10,100.0,4.33,8.0,3.0,5.0
LeBlanc,2,0,8,12,4,0.0,1.0,4.0,6.0,2.0
Ekko,2,0,14,12,12,0.0,2.17,7.0,6.0,6.0
Ivern,2,2,6,12,22,100.0,2.33,3.0,6.0,11.0
Yasuo,22,8,80,130,82,36.36,1.25,3.64,5.91,3.73
Heimerdinger,4,0,4,48,4,0.0,0.17,1.0,12.0,1.0
Lucian,8,8,48,72,16,100.0,0.89,6.0,9.0,2.0
Mel,16,2,98,200,72,12.5,0.85,6.12,12.5,4.5
Ahri,4,2,28,24,8,50.0,1.5,7.0,6.0,2.0
Malphite,4,0,38,44,28,0.0,1.5,9.5,11.0,7.0
Gangplank,4,0,20,72,48,0.0,0.94,5.0,18.0,12.0
Zilean,2,2,26,16,20,100.0,2.88,13.0,8.0,10.0
Vex,4,0,16,34,34,0.0,1.47,4.0,8.5,8.5
Smolder,2,2,22,26,12,100.0,1.31,11.0,13.0,6.0
Hwei,2,2,18,20,22,100.0,2.0,9.0,10.0,11.0
Kled,2,2,22,20,10,100.0,1.6,11.0,10.0,5.0
