opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Vayne,50,4,180,308,250,8.0,1.4,3.6,6.16,5.0
Riven,308,140,1570,1516,1322,45.45,1.91,5.1,4.92,4.29
Kled,200,78,1062,1126,1034,39.0,1.86,5.31,5.63,5.17
Renekton,342,156,1568,1676,1762,45.61,1.99,4.58,4.9,5.15
Swain,26,12,106,152,94,46.15,1.32,4.08,5.85,3.62
Aatrox,302,182,1668,1414,1442,60.26,2.2,5.52,4.68,4.77
Darius,164,78,1024,914,830,47.56,2.03,6.24,5.57,5.06
Jayce,346,142,1850,2094,1710,41.04,1.7,5.35,6.05,4.94
Ambessa,986,412,5080,4826,4714,41.78,2.03,5.15,4.89,4.78
Mordekaiser,60,12,322,414,254,20.0,1.39,5.37,6.9,4.23
KSante,186,94,782,808,980,50.54,2.18,4.2,4.34,5.27
Rumble,82,56,382,386,374,68.29,1.96,4.66,4.71,4.56
Chogath,56,26,358,340,272,46.43,1.85,6.39,6.07,4.86
Sion,138,78,748,646,636,56.52,2.14,5.42,4.68,4.61
Gragas,100,52,610,356,398,52.0,2.83,6.1,3.56,3.98
Yasuo,100,68,666,412,584,68.0,3.03,6.66,4.12,5.84
Wukong,32,24,152,138,122,75.0,1.99,4.75,4.31,3.81
Gangplank,116,50,600,760,636,43.1,1.63,5.17,6.55,5.48
Fiora,180,126,1026,856,980,70.0,2.34,5.7,4.76,5.44
Gwen,158,70,648,1006,896,44.3,1.53,4.1,6.37,5.67
Kayn,12,0,44,112,116,0.0,1.43,3.67,9.33,9.67
Dr. Mundo,166,102,986,648,936,61.45,2.97,5.94,3.9,5.64
Lissandra,4,0,12,22,2,0.0,0.64,3.0,5.5,0.5
Akshan,14,12,86,54,60,85.71,2.7,6.14,3.86,4.29
Garen,146,86,876,784,798,58.9,2.14,6.0,5.37,5.47
Malphite,70,26,264,402,352,37.14,1.53,3.77,5.74,5.03
Varus,38,26,192,202,230,68.42,2.09,5.05,5.32,6.05
Aurora,94,40,514,604,520,42.55,1.71,5.47,6.43,5.53
Akali,98,60,616,554,630,61.22,2.25,6.29,5.65,6.43
Quinn,40,10,334,272,210,25.0,2.0,8.35,6.8,5.25
Vladimir,94,52,462,446,440,55.32,2.02,4.91,4.74,4.68
Pantheon,56,22,240,152,200,39.29,2.89,4.29,2.71,3.57
Kayle,84,50,694,424,430,59.52,2.65,8.26,5.05,5.12
Nocturne,16,6,96,76,106,37.5,2.66,6.0,4.75,6.62
Ornn,180,116,994,756,716,64.44,2.26,5.52,4.2,3.98
Jax,364,162,1446,1824,1850,44.51,1.81,3.97,5.01,5.08
Shen,178,108,942,790,866,60.67,2.29,5.29,4.44,4.87
Gnar,94,70,566,454,500,74.47,2.35,6.02,4.83,5.32
Singed,156,74,680,704,756,47.44,2.04,4.36,4.51,4.85
Zac,44,18,304,262,132,40.91,1.66,6.91,5.95,3.0
Nasus,54,38,376,232,268,70.37,2.78,6.96,4.3,4.96
Zoe,2,0,2,14,2,0.0,0.29,1.0,7.0,1.0
Brand,2,0,8,14,4,0.0,0.86,4.0,7.0,2.0
Hwei,18,10,142,126,78,55.56,1.75,7.89,7.0,4.33
Tryndamere,84,28,426,376,470,33.33,2.38,5.07,4.48,5.6
Syndra,8,0,32,48,16,0.0,1.0,4.0,6.0,2.0
Yone,134,78,722,530,514,58.21,2.33,5.39,3.96,3.84
Yorick,48,16,232,274,172,33.33,1.47,4.83,5.71,3.58
Teemo,78,46,394,444,432,58.97,1.86,5.05,5.69,5.54
Sett,142,58,790,828,744,40.85,1.85,5.56,5.83,5.24
Irelia,178,96,1036,874,820,53.93,2.12,5.82,4.91,4.61
Olaf,56,38,554,274,302,67.86,3.12,9.89,4.89,5.39
Poppy,44,38,168,174,170,86.36,1.94,3.82,3.95,3.86
Shaco,8,0,40,58,52,0.0,1.59,5.0,7.25,6.5
Sejuani,8,8,48,16,32,100.0,5.0,6.0,2.0,4.0
Volibear,58,22,356,372,294,37.93,1.75,6.14,6.41,5.07
Rell,2,0,28,20,18,0.0,2.3,14.0,10.0,9.0
Urgot,106,60,652,574,604,56.6,2.19,6.15,5.42,5.7
Zilean,10,6,34,38,66,60.0,2.63,3.4,3.8,6.6
Azir,8,0,10,36,20,0.0,0.83,1.25,4.5,2.5
Kennen,58,32,240,258,176,55.17,1.61,4.14,4.45,3.03
Lee Sin,14,4,50,120,90,28.57,1.17,3.57,8.57,6.43
Jarvan Iv,2,2,22,10,16,100.0,3.8,11.0,5.0,8.0
Heimerdinger,10,0,30,46,24,0.0,1.17,3.0,4.6,2.4
Aurelion Sol,6,2,42,26,42,33.33,3.23,7.0,4.33,7.0
Warwick,86,32,326,420,416,37.21,1.77,3.79,4.88,4.84
Illaoi,14,6,90,70,58,42.86,2.11,6.43,5.0,4.14
Briar,6,6,46,28,66,100.0,4.0,7.67,4.67,11.0
Nidalee,12,0,76,86,36,0.0,1.3,6.33,7.17,3.0
Udyr,20,6,88,128,80,30.0,1.31,4.4,6.4,4.0
Rammus,2,2,2,12,16,100.0,1.5,1.0,6.0,8.0
Ezreal,2,0,24,12,6,0.0,2.5,12.0,6.0,3.0
Viktor,2,2,18,6,4,100.0,3.67,9.0,3.0,2.0
Katarina,2,2,18,14,8,100.0,1.86,9.0,7.0,4.0
Janna,4,4,4,36,32,100.0,1.0,1.0,9.0,8.0
Viego,2,2,26,2,10,100.0,18.0,13.0,1.0,5.0
Rengar,2,0,18,22,6,0.0,1.09,9.0,11.0,3.0
Caitlyn,2,2,24,8,14,100.0,4.75,12.0,4.0,7.0
Yunara,2,0,16,12,4,0.0,1.67,8.0,6.0,2.0
Naafiri,2,0,14,12,8,0.0,1.83,7.0,6.0,4.0
Cassiopeia,32,4,86,134,110,12.5,1.46,2.69,4.19,3.44
Zed,20,20,152,124,150,100.0,2.44,7.6,6.2,7.5
Trundle,36,18,222,306,242,50.0,1.52,6.17,8.5,6.72
Qiyana,8,8,40,64,74,100.0,1.78,5.0,8.0,9.25
Anivia,8,2,14,68,32,25.0,0.68,1.75,8.5,4.0
Lux,6,0,48,78,12,0.0,0.77,8.0,13.0,2.0
Corki,4,2,10,22,14,50.0,1.09,2.5,5.5,3.5
Twisted Fate,8,8,62,48,70,100.0,2.75,7.75,6.0,8.75
Ahri,4,2,32,32,22,50.0,1.69,8.0,8.0,5.5
KogMaw,8,4,32,36,28,50.0,1.67,4.0,4.5,3.5
Karma,4,2,22,32,10,50.0,1.0,5.5,8.0,2.5
Smolder,2,0,10,20,10,0.0,1.0,5.0,10.0,5.0
Maokai,26,22,202,148,152,84.62,2.39,7.77,5.69,5.85
Neeko,6,6,42,60,30,100.0,1.2,7.0,10.0,5.0
Fiddlesticks,16,8,76,116,84,50.0,1.38,4.75,7.25,5.25
Elise,4,4,0,0,0,100.0,0.0,0.0,0.0,0.0
Sylas,12,12,124,90,186,100.0,3.44,10.33,7.5,15.5
Shyvana,2,0,6,10,6,0.0,1.2,3.0,5.0,3.0
Malzahar,2,0,10,6,4,0.0,2.33,5.0,3.0,2.0
Ryze,38,22,168,112,158,57.89,2.91,4.42,2.95,4.16
Graves,2,0,10,18,8,0.0,1.0,5.0,9.0,4.0
Zeri,4,2,22,12,8,50.0,2.5,5.5,3.0,2.0
Ivern,2,0,4,10,12,0.0,1.6,2.0,5.0,6.0
Galio,6,6,42,18,18,100.0,3.33,7.0,3.0,3.0
