opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Annie,220,110,1104,1166,1254,50.0,2.02,5.02,5.3,5.7
Ziggs,24,4,70,126,150,16.67,1.75,2.92,5.25,6.25
Galio,216,94,1294,1254,1124,43.52,1.93,5.99,5.81,5.2
Ryze,186,80,1126,1002,1074,43.01,2.2,6.05,5.39,5.77
Taliyah,194,66,964,1194,1060,34.02,1.7,4.97,6.15,5.46
Syndra,238,110,1494,1218,1316,46.22,2.31,6.28,5.12,5.53
Aurora,312,154,1696,1818,1754,49.36,1.9,5.44,5.83,5.62
Diana,60,24,382,372,482,40.0,2.32,6.37,6.2,8.03
Sylas,352,188,2418,2128,2250,53.41,2.19,6.87,6.05,6.39
Lux,78,60,522,344,474,76.92,2.9,6.69,4.41,6.08
Kayle,40,20,186,192,200,50.0,2.01,4.65,4.8,5.0
Hwei,132,30,554,880,560,22.73,1.27,4.2,6.67,4.24
Jayce,56,26,342,416,320,46.43,1.59,6.11,7.43,5.71
Yasuo,110,30,680,746,620,27.27,1.74,6.18,6.78,5.64
Tristana,82,34,512,462,376,41.46,1.92,6.24,5.63,4.59
Neeko,68,42,408,318,564,61.76,3.06,6.0,4.68,8.29
Yone,222,118,1372,1204,1372,53.15,2.28,6.18,5.42,6.18
Zoe,84,50,412,408,510,59.52,2.26,4.9,4.86,6.07
Xerath,38,20,244,232,252,52.63,2.14,6.42,6.11,6.63
Gwen,34,28,208,132,162,82.35,2.8,6.12,3.88,4.76
Azir,260,182,1974,1256,1836,70.0,3.03,7.59,4.83,7.06
Ivern,22,4,78,182,118,18.18,1.08,3.55,8.27,5.36
Ekko,120,24,636,764,822,20.0,1.91,5.3,6.37,6.85
Katarina,170,60,964,996,860,35.29,1.83,5.67,5.86,5.06
Mel,110,52,622,536,572,47.27,2.23,5.65,4.87,5.2
Akali,170,98,1312,880,980,57.65,2.6,7.72,5.18,5.76
Wukong,18,18,180,0,108,100.0,288.0,10.0,0.0,6.0
Malzahar,50,14,316,296,296,28.0,2.07,6.32,5.92,5.92
Kled,8,0,72,56,64,0.0,2.43,9.0,7.0,8.0
Viktor,126,54,572,808,610,42.86,1.46,4.54,6.41,4.84
Talon,28,20,260,192,280,71.43,2.81,9.29,6.86,10.0
Vladimir,126,46,790,810,804,36.51,1.97,6.27,6.43,6.38
Gragas,28,4,186,222,196,14.29,1.72,6.64,7.93,7.0
Lissandra,22,4,158,136,174,18.18,2.44,7.18,6.18,7.91
Twisted Fate,158,86,950,774,1036,54.43,2.57,6.01,4.9,6.56
Lulu,12,12,84,72,96,100.0,2.5,7.0,6.0,8.0
Swain,34,30,128,74,142,88.24,3.65,3.76,2.18,4.18
Nidalee,30,4,174,214,110,13.33,1.33,5.8,7.13,3.67
Darius,22,4,232,88,88,18.18,3.64,10.55,4.0,4.0
Zed,122,38,618,786,562,31.15,1.5,5.07,6.44,4.61
Heimerdinger,20,4,80,106,106,20.0,1.75,4.0,5.3,5.3
Kassadin,118,70,860,568,780,59.32,2.89,7.29,4.81,6.61
Orianna,172,76,856,886,862,44.19,1.94,4.98,5.15,5.01
Irelia,80,44,504,438,644,55.0,2.62,6.3,5.47,8.05
Ezreal,10,10,30,80,90,100.0,1.5,3.0,8.0,9.0
Sion,16,6,54,82,56,37.5,1.34,3.38,5.12,3.5
Twitch,8,8,84,56,116,100.0,3.57,10.5,7.0,14.5
Kennen,28,18,78,140,130,64.29,1.49,2.79,5.0,4.64
Veigar,32,18,144,102,162,56.25,3.0,4.5,3.19,5.06
LeBlanc,82,32,424,542,462,39.02,1.63,5.17,6.61,5.63
Zilean,32,16,120,188,188,50.0,1.64,3.75,5.88,5.88
Karma,24,14,78,64,106,58.33,2.88,3.25,2.67,4.42
Akshan,66,24,454,418,380,36.36,2.0,6.88,6.33,5.76
Nunu & Willump,10,0,140,80,70,0.0,2.62,14.0,8.0,7.0
VelKoz,6,6,66,24,54,100.0,5.0,11.0,4.0,9.0
Zac,24,4,212,158,158,16.67,2.34,8.83,6.58,6.58
Naafiri,8,2,52,48,62,25.0,2.38,6.5,6.0,7.75
Smolder,66,52,328,244,382,78.79,2.91,4.97,3.7,5.79
Vayne,18,14,66,78,70,77.78,1.74,3.67,4.33,3.89
Qiyana,84,60,598,466,628,71.43,2.63,7.12,5.55,7.48
Cassiopeia,26,20,164,152,228,76.92,2.58,6.31,5.85,8.77
