opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Brand,4,0,4,20,4,0.0,0.4,1.0,5.0,1.0
Gwen,4,2,20,24,12,50.0,1.33,5.0,6.0,3.0
Yone,6,2,22,22,42,33.33,2.91,3.67,3.67,7.0
Aurora,12,2,20,78,36,16.67,0.72,1.67,6.5,3.0
Bard,2,2,6,0,2,100.0,8.0,3.0,0.0,1.0
Annie,12,8,34,34,20,66.67,1.59,2.83,2.83,1.67
Sylas,14,12,80,90,146,85.71,2.51,5.71,6.43,10.43
Ryze,26,0,140,178,150,0.0,1.63,5.38,6.85,5.77
LeBlanc,18,18,66,36,150,100.0,6.0,3.67,2.0,8.33
Lux,10,0,0,30,20,0.0,0.67,0.0,3.0,2.0
Azir,10,0,32,34,46,0.0,2.29,3.2,3.4,4.6
Kayn,8,0,8,64,16,0.0,0.38,1.0,8.0,2.0
Zac,6,0,12,60,30,0.0,0.7,2.0,10.0,5.0
Gnar,10,10,40,40,110,100.0,3.75,4.0,4.0,11.0
Vladimir,4,2,4,28,16,50.0,0.71,1.0,7.0,4.0
Twisted Fate,18,0,70,68,38,0.0,1.59,3.89,3.78,2.11
Ahri,10,8,40,22,66,80.0,4.82,4.0,2.2,6.6
Zed,2,2,38,6,12,100.0,8.33,19.0,3.0,6.0
Orianna,20,16,138,86,64,80.0,2.35,6.9,4.3,3.2
Yasuo,24,16,172,112,212,66.67,3.43,7.17,4.67,8.83
Kayle,8,0,48,64,40,0.0,1.38,6.0,8.0,5.0
Smolder,2,2,10,6,14,100.0,4.0,5.0,3.0,7.0
Lissandra,2,0,6,14,8,0.0,1.0,3.0,7.0,4.0
Sion,4,4,4,12,32,100.0,3.0,1.0,3.0,8.0
Viktor,20,12,52,50,32,60.0,1.68,2.6,2.5,1.6
Akali,2,0,10,14,8,0.0,1.29,5.0,7.0,4.0
Aatrox,2,0,12,22,10,0.0,1.0,6.0,11.0,5.0
Katarina,22,20,144,38,62,90.91,5.42,6.55,1.73,2.82
Renekton,12,12,48,12,120,100.0,14.0,4.0,1.0,10.0
Vex,2,0,28,18,8,0.0,2.0,14.0,9.0,4.0
Mel,8,4,12,24,20,50.0,1.33,1.5,3.0,2.5
Mordekaiser,2,2,24,8,24,100.0,6.0,12.0,4.0,12.0
Galio,2,2,12,4,4,100.0,4.0,6.0,2.0,2.0
Akshan,14,0,28,56,14,0.0,0.75,2.0,4.0,1.0
Nasus,12,12,84,0,156,100.0,240.0,7.0,0.0,13.0
Aurelion Sol,4,4,28,8,16,100.0,5.5,7.0,2.0,4.0
Kennen,10,4,52,50,110,40.0,3.24,5.2,5.0,11.0
Zoe,2,2,6,2,2,100.0,4.0,3.0,1.0,1.0
Syndra,6,0,30,24,24,0.0,2.25,5.0,4.0,4.0
Malphite,4,4,12,4,0,100.0,3.0,3.0,1.0,0.0
Yorick,2,0,6,10,12,0.0,1.8,3.0,5.0,6.0
Cassiopeia,4,0,2,14,4,0.0,0.43,0.5,3.5,1.0
Taliyah,2,2,4,0,4,100.0,8.0,2.0,0.0,2.0
Tristana,2,0,4,2,8,0.0,6.0,2.0,1.0,4.0
Malzahar,2,0,4,10,10,0.0,1.4,2.0,5.0,5.0
