opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Lucian,2,0,2,14,0,0.0,0.14,1.0,7.0,0.0
Samira,10,10,70,70,60,100.0,1.86,7.0,7.0,6.0
Jhin,10,4,54,38,30,40.0,2.21,5.4,3.8,3.0
Kaisa,6,4,36,38,68,66.67,2.74,6.0,6.33,11.33
KogMaw,4,4,12,12,4,100.0,1.33,3.0,3.0,1.0
Jinx,4,0,20,20,12,0.0,1.6,5.0,5.0,3.0
Yunara,18,6,42,36,24,33.33,1.83,2.33,2.0,1.33
Sivir,8,0,0,40,16,0.0,0.4,0.0,5.0,2.0
Varus,4,4,92,12,20,100.0,9.33,23.0,3.0,5.0
Ezreal,2,0,4,14,2,0.0,0.43,2.0,7.0,1.0
Tristana,2,2,14,2,18,100.0,16.0,7.0,1.0,9.0
Caitlyn,2,2,14,14,12,100.0,1.86,7.0,7.0,6.0
Corki,2,2,16,14,22,100.0,2.71,8.0,7.0,11.0
Zeri,2,2,10,4,4,100.0,3.5,5.0,2.0,2.0
Senna,2,2,20,6,10,100.0,5.0,10.0,3.0,5.0
