opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Riven,20,6,118,138,120,30.0,1.72,5.9,6.9,6.0
Ryze,228,118,1474,834,1092,51.75,3.08,6.46,3.66,4.79
Galio,204,84,1354,996,1200,41.18,2.56,6.64,4.88,5.88
Veigar,92,66,602,438,550,71.74,2.63,6.54,4.76,5.98
Ahri,162,76,1238,828,760,46.91,2.41,7.64,5.11,4.69
Syndra,254,84,1896,1514,1238,33.07,2.07,7.46,5.96,4.87
Yone,112,38,774,590,646,33.93,2.41,6.91,5.27,5.77
Smolder,90,52,498,384,518,57.78,2.65,5.53,4.27,5.76
Orianna,242,168,1750,962,1070,69.42,2.93,7.23,3.98,4.42
Sylas,454,270,3066,1984,2310,59.47,2.71,6.75,4.37,5.09
Lissandra,194,72,1320,928,968,37.11,2.47,6.8,4.78,4.99
Ambessa,82,32,560,374,282,39.02,2.25,6.83,4.56,3.44
Zoe,180,92,1372,862,932,51.11,2.67,7.62,4.79,5.18
Lux,94,42,556,414,446,44.68,2.42,5.91,4.4,4.74
Twisted Fate,150,88,1230,634,870,58.67,3.31,8.2,4.23,5.8
Azir,270,128,1744,1218,1190,47.41,2.41,6.46,4.51,4.41
Aurora,168,74,990,964,828,44.05,1.89,5.89,5.74,4.93
Akshan,104,56,692,460,584,53.85,2.77,6.65,4.42,5.62
Naafiri,66,18,368,412,216,27.27,1.42,5.58,6.24,3.27
KSante,16,6,152,100,90,37.5,2.42,9.5,6.25,5.62
LeBlanc,104,44,598,546,450,42.31,1.92,5.75,5.25,4.33
Akali,102,42,684,682,526,41.18,1.77,6.71,6.69,5.16
Corki,120,96,1120,608,810,80.0,3.17,9.33,5.07,6.75
Fizz,104,64,532,460,554,61.54,2.36,5.12,4.42,5.33
Zed,212,112,1672,1146,1168,52.83,2.48,7.89,5.41,5.51
Mel,118,68,892,548,700,57.63,2.91,7.56,4.64,5.93
Irelia,72,44,706,342,408,61.11,3.26,9.81,4.75,5.67
Taliyah,230,140,2000,892,1262,60.87,3.66,8.7,3.88,5.49
Yasuo,138,72,1286,790,1060,52.17,2.97,9.32,5.72,7.68
Yunara,14,6,72,42,52,42.86,2.95,5.14,3.0,3.71
Vayne,8,0,32,48,56,0.0,1.83,4.0,6.0,7.0
Kayle,78,38,472,324,340,48.72,2.51,6.05,4.15,4.36
Katarina,132,74,1080,630,590,56.06,2.65,8.18,4.77,4.47
Vladimir,114,32,746,644,558,28.07,2.02,6.54,5.65,4.89
Hwei,180,72,1300,946,680,40.0,2.09,7.22,5.26,3.78
Kled,20,6,104,112,54,30.0,1.41,5.2,5.6,2.7
Kassadin,76,20,484,352,242,26.32,2.06,6.37,4.63,3.18
Annie,140,80,870,608,828,57.14,2.79,6.21,4.34,5.91
Gragas,10,6,62,62,44,60.0,1.71,6.2,6.2,4.4
Zac,68,42,522,348,470,61.76,2.85,7.68,5.12,6.91
Lucian,18,14,108,40,66,77.78,4.35,6.0,2.22,3.67
Varus,12,10,50,10,72,83.33,12.2,4.17,0.83,6.0
