opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Brand,82,52,640,428,468,63.41,2.59,7.8,5.22,5.71
Lucian,2382,1154,12988,11730,15664,48.45,2.44,5.45,4.92,6.58
Zyra,82,62,542,266,636,75.61,4.43,6.61,3.24,7.76
Xayah,454,232,2642,2164,2862,51.1,2.54,5.82,4.77,6.3
Miss Fortune,1076,544,6202,5140,7622,50.56,2.69,5.76,4.78,7.08
Twitch,512,274,2950,2570,3292,53.52,2.43,5.76,5.02,6.43
Jhin,2210,1020,12322,11680,14328,46.15,2.28,5.58,5.29,6.48
Vayne,472,220,2952,2304,3132,46.61,2.64,6.25,4.88,6.64
Kaisa,3768,1936,23586,18792,26058,51.38,2.64,6.26,4.99,6.92
Yunara,1190,524,6454,6058,7990,44.03,2.38,5.42,5.09,6.71
Sivir,1308,648,7974,6400,8438,49.54,2.56,6.1,4.89,6.45
Senna,1212,698,7328,5386,8646,57.59,2.97,6.05,4.44,7.13
Tristana,892,466,5064,4346,5682,52.24,2.47,5.68,4.87,6.37
Jinx,868,522,5192,3836,6298,60.14,3.0,5.98,4.42,7.26
Varus,1556,738,9402,8074,10168,47.43,2.42,6.04,5.19,6.53
Ziggs,434,190,2402,1754,2506,43.78,2.8,5.53,4.04,5.77
Hwei,298,160,1804,1282,1518,53.69,2.59,6.05,4.3,5.09
Draven,760,346,4284,3760,4832,45.53,2.42,5.64,4.95,6.36
Aphelios,1134,518,6628,5564,7212,45.68,2.49,5.84,4.91,6.36
Karthus,330,134,2356,1912,2742,40.61,2.67,7.14,5.79,8.31
Samira,262,124,1622,1392,1786,47.33,2.45,6.19,5.31,6.82
Lux,194,90,1050,996,992,46.39,2.05,5.41,5.13,5.11
Ashe,660,358,4640,3408,4964,54.24,2.82,7.03,5.16,7.52
Corki,1058,534,5972,4942,7028,50.47,2.63,5.64,4.67,6.64
Mel,492,262,2784,2390,3330,53.25,2.56,5.66,4.86,6.77
Caitlyn,786,386,4482,3670,4832,49.11,2.54,5.7,4.67,6.15
Smolder,898,492,5428,3832,6004,54.79,2.98,6.04,4.27,6.69
Seraphine,190,96,1094,898,1158,50.53,2.51,5.76,4.73,6.09
Nilah,278,136,1746,1268,1722,48.92,2.74,6.28,4.56,6.19
Yasuo,292,88,1708,1930,2080,30.14,1.96,5.85,6.61,7.12
Zeri,820,360,4568,3504,4776,43.9,2.67,5.57,4.27,5.82
Neeko,8,0,32,48,24,0.0,1.17,4.0,6.0,3.0
Swain,94,32,392,412,498,34.04,2.16,4.17,4.38,5.3
Veigar,88,48,632,400,746,54.55,3.44,7.18,4.55,8.48
Kalista,266,134,1798,1358,2332,50.38,3.04,6.76,5.11,8.77
KogMaw,304,190,2358,1460,2486,62.5,3.32,7.76,4.8,8.18
Sona,14,14,156,66,150,100.0,4.64,11.14,4.71,10.71
Viktor,54,26,290,182,294,48.15,3.21,5.37,3.37,5.44
Chogath,22,20,246,70,246,90.91,7.03,11.18,3.18,11.18
Karma,16,2,54,100,106,12.5,1.6,3.38,6.25,6.62
Riven,8,0,28,42,36,0.0,1.52,3.5,5.25,4.5
VelKoz,50,28,302,288,420,56.0,2.51,6.04,5.76,8.4
Azir,14,10,100,62,116,71.43,3.48,7.14,4.43,8.29
Irelia,14,8,66,50,96,57.14,3.24,4.71,3.57,6.86
Orianna,2,0,2,16,12,0.0,0.88,1.0,8.0,6.0
Syndra,80,26,310,372,354,32.5,1.78,3.88,4.65,4.42
Singed,8,4,54,42,36,50.0,2.14,6.75,5.25,4.5
Yone,24,22,136,220,252,91.67,1.76,5.67,9.17,10.5
Kindred,4,4,24,12,20,100.0,3.67,6.0,3.0,5.0
Aurora,6,4,16,40,54,66.67,1.75,2.67,6.67,9.0
Ahri,4,4,0,4,48,100.0,12.0,0.0,1.0,12.0
Morgana,8,4,34,30,48,50.0,2.73,4.25,3.75,6.0
Soraka,2,2,16,10,28,100.0,4.4,8.0,5.0,14.0
Taliyah,32,14,272,146,204,43.75,3.26,8.5,4.56,6.38
Xerath,30,4,106,200,168,13.33,1.37,3.53,6.67,5.6
Maokai,2,2,16,12,18,100.0,2.83,8.0,6.0,9.0
Gwen,4,2,12,10,4,50.0,1.6,3.0,2.5,1.0
Cassiopeia,62,20,318,370,450,32.26,2.08,5.13,5.97,7.26
Vladimir,12,2,30,30,26,16.67,1.87,2.5,2.5,2.17
Sett,2,0,6,8,10,0.0,2.0,3.0,4.0,5.0
Kayle,28,16,220,140,200,57.14,3.0,7.86,5.0,7.14
Akshan,12,12,92,52,96,100.0,3.62,7.67,4.33,8.0
Annie,6,6,56,34,14,100.0,2.06,9.33,5.67,2.33
Aurelion Sol,108,34,610,544,564,31.48,2.16,5.65,5.04,5.22
Zilean,20,12,92,100,112,60.0,2.04,4.6,5.0,5.6
Anivia,4,2,38,20,40,50.0,3.9,9.5,5.0,10.0
Teemo,8,0,112,40,56,0.0,4.2,14.0,5.0,7.0
Zoe,32,10,174,216,228,31.25,1.86,5.44,6.75,7.12
Darius,6,4,6,8,18,66.67,3.0,1.0,1.33,3.0
Olaf,2,2,28,6,34,100.0,10.33,14.0,3.0,17.0
Twisted Fate,2,0,6,10,2,0.0,0.8,3.0,5.0,1.0
Vex,4,0,8,56,28,0.0,0.64,2.0,14.0,7.0
LeBlanc,4,0,16,20,8,0.0,1.2,4.0,5.0,2.0
Nasus,2,2,2,4,16,100.0,4.5,1.0,2.0,8.0
Fiora,36,6,222,180,210,16.67,2.4,6.17,5.0,5.83
Katarina,12,6,126,50,122,50.0,4.96,10.5,4.17,10.17
Heimerdinger,42,10,218,178,232,23.81,2.53,5.19,4.24,5.52
Rengar,4,0,24,30,24,0.0,1.6,6.0,7.5,6.0
Qiyana,6,4,12,20,20,66.67,1.6,2.0,3.33,3.33
Sion,6,6,24,0,6,100.0,30.0,4.0,0.0,1.0
Ekko,2,2,18,4,16,100.0,8.5,9.0,2.0,8.0
