opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rakan,2,0,2,20,6,0.0,0.4,1.0,10.0,3.0
Soraka,2,2,8,2,14,100.0,11.0,4.0,1.0,7.0
VelKoz,6,6,30,30,48,100.0,2.6,5.0,5.0,8.0
Morgana,2,2,8,14,32,100.0,2.86,4.0,7.0,16.0
Nami,2,2,28,10,6,100.0,3.4,14.0,5.0,3.0
Braum,4,0,16,40,16,0.0,0.8,4.0,10.0,4.0
Tahm Kench,4,4,32,16,52,100.0,5.25,8.0,4.0,13.0
Pyke,2,0,8,20,6,0.0,0.7,4.0,10.0,3.0
Rell,16,16,80,96,320,100.0,4.17,5.0,6.0,20.0
Lulu,4,4,16,16,36,100.0,3.25,4.0,4.0,9.0
