opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Renata,22,4,26,102,94,18.18,1.18,1.18,4.64,4.27
Lulu,128,102,294,382,1914,79.69,5.78,2.3,2.98,14.95
Sona,82,54,198,344,1162,65.85,3.95,2.41,4.2,14.17
Bard,136,70,208,554,1564,51.47,3.2,1.53,4.07,11.5
Maokai,12,2,10,48,120,16.67,2.71,0.83,4.0,10.0
Soraka,66,42,106,302,822,63.64,3.07,1.61,4.58,12.45
Nautilus,164,92,228,1020,2220,56.1,2.4,1.39,6.22,13.54
Elise,44,18,80,256,496,40.91,2.25,1.82,5.82,11.27
Rakan,112,70,224,530,1494,62.5,3.24,2.0,4.73,13.34
Neeko,56,34,66,140,534,60.71,4.29,1.18,2.5,9.54
Blitzcrank,26,20,66,112,376,76.92,3.95,2.54,4.31,14.46
Thresh,44,8,70,280,648,18.18,2.56,1.59,6.36,14.73
Nami,76,58,136,366,1024,76.32,3.17,1.79,4.82,13.47
Alistar,202,112,364,1226,2524,55.45,2.36,1.8,6.07,12.5
Milio,76,34,148,306,884,44.74,3.37,1.95,4.03,11.63
Karma,104,34,180,572,1006,32.69,2.07,1.73,5.5,9.67
Janna,48,28,118,228,530,58.33,2.84,2.46,4.75,11.04
Lux,4,2,4,12,18,50.0,1.83,1.0,3.0,4.5
Pyke,72,24,170,462,1050,33.33,2.64,2.36,6.42,14.58
Shaco,6,0,18,46,50,0.0,1.48,3.0,7.67,8.33
Nidalee,14,12,16,20,180,85.71,9.8,1.14,1.43,12.86
Zilean,42,14,86,338,318,33.33,1.2,2.05,8.05,7.57
Teemo,6,6,6,18,60,100.0,3.67,1.0,3.0,10.0
Rell,98,52,174,372,1168,53.06,3.61,1.78,3.8,11.92
Galio,6,6,12,6,24,100.0,6.0,2.0,1.0,4.0
Zyra,8,2,24,40,92,25.0,2.9,3.0,5.0,11.5
Taliyah,12,12,24,48,240,100.0,5.5,2.0,4.0,20.0
Senna,20,10,42,118,264,50.0,2.59,2.1,5.9,13.2
Ornn,4,0,0,8,12,0.0,1.5,0.0,2.0,3.0
Leona,20,6,42,114,168,30.0,1.84,2.1,5.7,8.4
Braum,68,52,182,312,962,76.47,3.67,2.68,4.59,14.15
Swain,2,0,4,14,4,0.0,0.57,2.0,7.0,2.0
Tahm Kench,22,12,30,180,390,54.55,2.33,1.36,8.18,17.73
Kennen,4,4,0,4,32,100.0,8.0,0.0,1.0,8.0
LeBlanc,4,0,4,12,52,0.0,4.67,1.0,3.0,13.0
Ivern,2,0,8,22,12,0.0,0.91,4.0,11.0,6.0
Seraphine,8,2,14,34,56,25.0,2.06,1.75,4.25,7.0
Morgana,8,0,16,40,46,0.0,1.55,2.0,5.0,5.75
Zoe,2,0,0,18,26,0.0,1.44,0.0,9.0,13.0
Poppy,18,16,48,104,372,88.89,4.04,2.67,5.78,20.67
Sejuani,2,2,12,10,48,100.0,6.0,6.0,5.0,24.0
Twisted Fate,4,4,0,40,116,100.0,2.9,0.0,10.0,29.0
Anivia,2,0,4,10,12,0.0,1.6,2.0,5.0,6.0
Nunu & Willump,2,2,14,8,46,100.0,7.5,7.0,4.0,23.0
Ahri,2,2,6,6,20,100.0,4.33,3.0,3.0,10.0
Gragas,2,2,10,10,36,100.0,4.6,5.0,5.0,18.0
Yuumi,24,16,42,104,298,66.67,3.27,1.75,4.33,12.42
Xerath,4,4,0,12,20,100.0,1.67,0.0,3.0,5.0
Ashe,2,2,4,14,32,100.0,2.57,2.0,7.0,16.0
Qiyana,2,2,2,12,28,100.0,2.5,1.0,6.0,14.0
Jarvan Iv,6,6,18,48,72,100.0,1.88,3.0,8.0,12.0
VelKoz,8,0,32,128,72,0.0,0.81,4.0,16.0,9.0
Taric,14,10,24,34,116,71.43,4.12,1.71,2.43,8.29
Twitch,4,2,18,30,64,50.0,2.73,4.5,7.5,16.0
Mel,32,30,56,80,462,93.75,6.47,1.75,2.5,14.44
Annie,2,0,4,10,2,0.0,0.6,2.0,5.0,1.0
Hwei,4,2,6,28,50,50.0,2.0,1.5,7.0,12.5
Pantheon,8,4,20,62,128,50.0,2.39,2.5,7.75,16.0
Brand,4,0,8,30,62,0.0,2.33,2.0,7.5,15.5
