opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,34,2,146,386,124,5.88,0.7,4.29,11.35,3.65
Renata,4,4,20,16,32,100.0,3.25,5.0,4.0,8.0
Lulu,6,0,24,42,26,0.0,1.19,4.0,7.0,4.33
Braum,14,12,44,34,38,85.71,2.41,3.14,2.43,2.71
Bard,14,14,98,140,112,100.0,1.5,7.0,10.0,8.0
Taric,8,0,112,96,40,0.0,1.58,14.0,12.0,5.0
Nami,2,0,20,14,16,0.0,2.57,10.0,7.0,8.0
Sona,2,2,6,16,24,100.0,1.88,3.0,8.0,12.0
Nautilus,14,14,168,84,168,100.0,4.0,12.0,6.0,12.0
Rell,2,0,6,34,16,0.0,0.65,3.0,17.0,8.0
Neeko,2,0,14,12,22,0.0,3.0,7.0,6.0,11.0
Nidalee,2,2,18,14,6,100.0,1.71,9.0,7.0,3.0
Shaco,2,2,20,22,32,100.0,2.36,10.0,11.0,16.0
