opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Tryndamere,24,4,58,112,126,16.67,1.64,2.42,4.67,5.25
Rumble,348,246,1020,1406,3260,70.69,3.04,2.93,4.04,9.37
Gragas,52,26,132,174,320,50.0,2.6,2.54,3.35,6.15
Aatrox,12,10,28,64,118,83.33,2.28,2.33,5.33,9.83
Garen,4,4,20,16,32,100.0,3.25,5.0,4.0,8.0
Urgot,4,0,12,24,36,0.0,2.0,3.0,6.0,9.0
Naafiri,4,4,4,12,16,100.0,1.67,1.0,3.0,4.0
Veigar,4,0,4,36,24,0.0,0.78,1.0,9.0,6.0
Aurora,34,16,58,124,224,47.06,2.27,1.71,3.65,6.59
Ahri,10,10,50,10,80,100.0,13.0,5.0,1.0,8.0
Volibear,8,0,8,64,24,0.0,0.5,1.0,8.0,3.0
Ambessa,18,8,40,48,74,44.44,2.38,2.22,2.67,4.11
Ryze,40,4,190,196,248,10.0,2.23,4.75,4.9,6.2
Teemo,32,28,116,174,368,87.5,2.78,3.62,5.44,11.5
Jax,32,14,48,184,260,43.75,1.67,1.5,5.75,8.12
Akali,54,38,116,270,486,70.37,2.23,2.15,5.0,9.0
Lucian,4,0,12,16,44,0.0,3.5,3.0,4.0,11.0
Vladimir,18,14,64,98,188,77.78,2.57,3.56,5.44,10.44
Zoe,2,2,2,18,28,100.0,1.67,1.0,9.0,14.0
Kennen,36,10,106,164,226,27.78,2.02,2.94,4.56,6.28
Dr. Mundo,14,2,42,62,76,14.29,1.9,3.0,4.43,5.43
Mordekaiser,14,12,14,90,130,85.71,1.6,1.0,6.43,9.29
Vayne,4,0,12,32,64,0.0,2.38,3.0,8.0,16.0
KSante,4,2,14,24,42,50.0,2.33,3.5,6.0,10.5
Riven,10,4,32,76,62,40.0,1.24,3.2,7.6,6.2
Gwen,34,12,120,242,306,35.29,1.76,3.53,7.12,9.0
Malphite,20,18,76,108,180,90.0,2.37,3.8,5.4,9.0
Yone,4,4,0,8,36,100.0,4.5,0.0,2.0,9.0
Yorick,10,10,34,34,92,100.0,3.71,3.4,3.4,9.2
Jayce,10,6,26,76,168,60.0,2.55,2.6,7.6,16.8
Darius,2,2,10,20,18,100.0,1.4,5.0,10.0,9.0
Zed,6,2,16,58,50,33.33,1.14,2.67,9.67,8.33
Qiyana,10,10,40,20,0,100.0,2.0,4.0,2.0,0.0
Shen,30,2,44,184,250,6.67,1.6,1.47,6.13,8.33
Viktor,2,0,4,20,6,0.0,0.5,2.0,10.0,3.0
Cassiopeia,14,8,52,76,124,57.14,2.32,3.71,5.43,8.86
Azir,6,6,4,16,72,100.0,4.75,0.67,2.67,12.0
Olaf,8,4,16,48,88,50.0,2.17,2.0,6.0,11.0
Chogath,6,4,12,4,34,66.67,11.5,2.0,0.67,5.67
Aurelion Sol,28,14,168,126,168,50.0,2.67,6.0,4.5,6.0
Ornn,8,8,44,60,56,100.0,1.67,5.5,7.5,7.0
Pantheon,6,6,0,0,0,100.0,0.0,0.0,0.0,0.0
Ekko,4,4,12,12,48,100.0,5.0,3.0,3.0,12.0
Corki,10,0,0,90,90,0.0,1.0,0.0,9.0,9.0
Warwick,4,4,16,20,48,100.0,3.2,4.0,5.0,12.0
Renekton,16,16,16,72,160,100.0,2.44,1.0,4.5,10.0
Camille,6,0,18,42,12,0.0,0.71,3.0,7.0,2.0
Sett,2,0,6,12,12,0.0,1.5,3.0,6.0,6.0
Kayle,4,0,4,28,16,0.0,0.71,1.0,7.0,4.0
Irelia,6,4,52,14,10,66.67,4.43,8.67,2.33,1.67
Gangplank,2,2,6,2,22,100.0,14.0,3.0,1.0,11.0
Akshan,2,0,10,16,30,0.0,2.5,5.0,8.0,15.0
Fiora,4,4,16,8,64,100.0,10.0,4.0,2.0,16.0
Anivia,10,10,56,16,108,100.0,10.25,5.6,1.6,10.8
Kled,4,4,8,32,48,100.0,1.75,2.0,8.0,12.0
Quinn,6,6,24,30,90,100.0,3.8,4.0,5.0,15.0
Trundle,2,0,4,10,14,0.0,1.8,2.0,5.0,7.0
