opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Twisted Fate,10,8,36,44,64,80.0,2.27,3.6,4.4,6.4
Ambessa,6,4,22,34,46,66.67,2.0,3.67,5.67,7.67
Akshan,20,12,64,116,254,60.0,2.74,3.2,5.8,12.7
Naafiri,16,16,72,56,56,100.0,2.29,4.5,3.5,3.5
Zed,44,20,172,312,192,45.45,1.17,3.91,7.09,4.36
Mordekaiser,2,0,12,14,8,0.0,1.43,6.0,7.0,4.0
Vladimir,24,18,148,136,192,75.0,2.5,6.17,5.67,8.0
Orianna,10,4,122,76,84,40.0,2.71,12.2,7.6,8.4
Taliyah,26,24,132,40,108,92.31,6.0,5.08,1.54,4.15
Swain,4,0,4,20,4,0.0,0.4,1.0,5.0,1.0
Yasuo,34,12,194,230,254,35.29,1.95,5.71,6.76,7.47
Syndra,16,8,74,56,82,50.0,2.79,4.62,3.5,5.12
Darius,6,6,44,14,68,100.0,8.0,7.33,2.33,11.33
Nunu & Willump,12,6,126,138,138,50.0,1.91,10.5,11.5,11.5
Jayce,4,2,32,22,36,50.0,3.09,8.0,5.5,9.0
Smolder,2,2,6,6,14,100.0,3.33,3.0,3.0,7.0
Caitlyn,2,0,14,10,16,0.0,3.0,7.0,5.0,8.0
Pantheon,2,0,24,14,10,0.0,2.43,12.0,7.0,5.0
Ekko,20,0,34,98,82,0.0,1.18,1.7,4.9,4.1
Karma,6,6,36,12,36,100.0,6.0,6.0,2.0,6.0
Talon,14,4,134,72,32,28.57,2.31,9.57,5.14,2.29
Yone,26,4,104,112,106,15.38,1.88,4.0,4.31,4.08
Cassiopeia,2,2,6,6,42,100.0,8.0,3.0,3.0,21.0
Mel,14,6,64,92,74,42.86,1.5,4.57,6.57,5.29
Zeri,6,6,48,12,42,100.0,7.5,8.0,2.0,7.0
Ahri,18,4,88,144,98,22.22,1.29,4.89,8.0,5.44
Akali,22,8,168,150,90,36.36,1.72,7.64,6.82,4.09
Singed,22,10,144,122,118,45.45,2.15,6.55,5.55,5.36
Jhin,4,0,20,44,32,0.0,1.18,5.0,11.0,8.0
Azir,22,18,104,50,180,81.82,5.68,4.73,2.27,8.18
Sylas,18,12,202,116,170,66.67,3.21,11.22,6.44,9.44
Ryze,6,4,42,8,24,66.67,8.25,7.0,1.33,4.0
Ziggs,4,0,12,40,32,0.0,1.1,3.0,10.0,8.0
Lucian,6,6,24,24,54,100.0,3.25,4.0,4.0,9.0
Kayle,2,2,12,8,28,100.0,5.0,6.0,4.0,14.0
Annie,6,6,66,6,42,100.0,18.0,11.0,1.0,7.0
Riven,2,0,28,20,18,0.0,2.3,14.0,10.0,9.0
VelKoz,4,4,24,32,56,100.0,2.5,6.0,8.0,14.0
Briar,4,4,72,28,52,100.0,4.43,18.0,7.0,13.0
Katarina,16,8,116,98,140,50.0,2.61,7.25,6.12,8.75
Lux,4,0,12,20,8,0.0,1.0,3.0,5.0,2.0
Aurelion Sol,6,4,10,48,40,66.67,1.04,1.67,8.0,6.67
Zac,2,2,30,8,14,100.0,5.5,15.0,4.0,7.0
Fizz,12,10,92,52,56,83.33,2.85,7.67,4.33,4.67
Qiyana,6,2,30,50,42,33.33,1.44,5.0,8.33,7.0
Xerath,8,2,52,62,18,25.0,1.13,6.5,7.75,2.25
Diana,4,2,52,28,36,50.0,3.14,13.0,7.0,9.0
Hwei,6,4,50,24,26,66.67,3.17,8.33,4.0,4.33
Veigar,2,2,22,10,10,100.0,3.2,11.0,5.0,5.0
Malzahar,6,2,12,16,24,33.33,2.25,2.0,2.67,4.0
Zoe,6,4,24,20,58,66.67,4.1,4.0,3.33,9.67
Viktor,10,4,36,14,56,40.0,6.57,3.6,1.4,5.6
Kassadin,4,4,20,36,44,100.0,1.78,5.0,9.0,11.0
Nasus,2,2,40,2,8,100.0,24.0,20.0,1.0,4.0
Aurora,20,12,92,52,64,60.0,3.0,4.6,2.6,3.2
Galio,4,0,14,20,8,0.0,1.1,3.5,5.0,2.0
Sion,2,2,0,8,4,100.0,0.5,0.0,4.0,2.0
Irelia,2,0,0,20,12,0.0,0.6,0.0,10.0,6.0
LeBlanc,6,0,30,60,12,0.0,0.7,5.0,10.0,2.0
Olaf,2,2,46,16,20,100.0,4.12,23.0,8.0,10.0
Nidalee,4,0,4,16,8,0.0,0.75,1.0,4.0,2.0
Tristana,4,0,28,28,16,0.0,1.57,7.0,7.0,4.0
