opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Kayle,12,0,72,84,36,0.0,1.29,6.0,7.0,3.0
Senna,4,0,28,20,0,0.0,1.4,7.0,5.0,0.0
Aurelion Sol,4,2,16,16,8,50.0,1.5,4.0,4.0,2.0
Ryze,14,2,50,70,62,14.29,1.6,3.57,5.0,4.43
Kennen,2,0,6,14,2,0.0,0.57,3.0,7.0,1.0
Kassadin,2,0,10,10,8,0.0,1.8,5.0,5.0,4.0
Viktor,8,6,60,32,24,75.0,2.62,7.5,4.0,3.0
Camille,2,2,8,12,6,100.0,1.17,4.0,6.0,3.0
Galio,6,6,36,12,30,100.0,5.5,6.0,2.0,5.0
Katarina,56,32,348,312,298,57.14,2.07,6.21,5.57,5.32
Syndra,10,6,56,46,42,60.0,2.13,5.6,4.6,4.2
Corki,12,0,54,48,24,0.0,1.62,4.5,4.0,2.0
Diana,6,4,78,32,38,66.67,3.62,13.0,5.33,6.33
Vladimir,22,0,68,84,4,0.0,0.86,3.09,3.82,0.18
Tryndamere,4,4,68,16,12,100.0,5.0,17.0,4.0,3.0
Anivia,6,6,6,36,18,100.0,0.67,1.0,6.0,3.0
Taliyah,30,10,172,262,164,33.33,1.28,5.73,8.73,5.47
Twisted Fate,12,6,64,38,36,50.0,2.63,5.33,3.17,3.0
Akali,10,8,74,58,84,80.0,2.72,7.4,5.8,8.4
Shaco,2,0,14,10,6,0.0,2.0,7.0,5.0,3.0
Sett,6,0,48,18,18,0.0,3.67,8.0,3.0,3.0
Yone,12,4,32,26,16,33.33,1.85,2.67,2.17,1.33
Sylas,26,8,150,188,100,30.77,1.33,5.77,7.23,3.85
Briar,2,0,16,18,16,0.0,1.78,8.0,9.0,8.0
Xerath,2,0,14,16,4,0.0,1.12,7.0,8.0,2.0
Yasuo,36,28,358,206,212,77.78,2.77,9.94,5.72,5.89
Zac,2,2,6,6,10,100.0,2.67,3.0,3.0,5.0
Veigar,6,6,30,12,24,100.0,4.5,5.0,2.0,4.0
Fizz,10,4,52,30,18,40.0,2.33,5.2,3.0,1.8
Swain,4,4,26,20,24,100.0,2.5,6.5,5.0,6.0
Mel,6,6,60,42,24,100.0,2.0,10.0,7.0,4.0
Azir,26,20,194,104,182,76.92,3.62,7.46,4.0,7.0
Lissandra,4,4,28,14,22,100.0,3.57,7.0,3.5,5.5
Ahri,20,4,50,112,62,20.0,1.0,2.5,5.6,3.1
Naafiri,2,0,6,6,2,0.0,1.33,3.0,3.0,1.0
Zilean,4,0,20,22,10,0.0,1.36,5.0,5.5,2.5
Wukong,2,2,4,8,10,100.0,1.75,2.0,4.0,5.0
Malzahar,2,2,8,2,6,100.0,7.0,4.0,1.0,3.0
Orianna,8,2,48,56,46,25.0,1.68,6.0,7.0,5.75
Hwei,38,2,122,264,50,5.26,0.65,3.21,6.95,1.32
Talon,8,6,56,52,54,75.0,2.12,7.0,6.5,6.75
Tristana,8,6,104,26,26,75.0,5.0,13.0,3.25,3.25
Qiyana,12,12,66,70,68,100.0,1.91,5.5,5.83,5.67
Aurora,14,6,64,68,26,42.86,1.32,4.57,4.86,1.86
Sion,8,4,48,24,48,50.0,4.0,6.0,3.0,6.0
Irelia,4,0,20,26,14,0.0,1.31,5.0,6.5,3.5
Lee Sin,2,2,4,8,14,100.0,2.25,2.0,4.0,7.0
Heimerdinger,6,0,42,36,6,0.0,1.33,7.0,6.0,1.0
Fiora,4,0,40,24,4,0.0,1.83,10.0,6.0,1.0
Ekko,8,6,68,36,32,75.0,2.78,8.5,4.5,4.0
Lucian,6,6,6,6,6,100.0,2.0,1.0,1.0,1.0
Jayce,4,4,20,8,20,100.0,5.0,5.0,2.0,5.0
Zed,6,4,24,16,10,66.67,2.12,4.0,2.67,1.67
Akshan,2,2,14,12,12,100.0,2.17,7.0,6.0,6.0
Ezreal,2,0,10,8,6,0.0,2.0,5.0,4.0,3.0
Nasus,2,2,4,16,22,100.0,1.62,2.0,8.0,11.0
Annie,4,0,12,12,12,0.0,2.0,3.0,3.0,3.0
Jax,2,0,6,20,8,0.0,0.7,3.0,10.0,4.0
Morgana,2,0,10,8,4,0.0,1.75,5.0,4.0,2.0
