opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rell,220,112,412,1308,3256,50.91,2.8,1.87,5.95,14.8
Alistar,512,272,1172,3052,6650,53.12,2.56,2.29,5.96,12.99
Galio,24,0,144,110,108,0.0,2.29,6.0,4.58,4.5
Nami,70,34,226,566,828,48.57,1.86,3.23,8.09,11.83
Leona,48,20,62,276,530,41.67,2.14,1.29,5.75,11.04
Lulu,60,32,60,316,570,53.33,1.99,1.0,5.27,9.5
Rakan,112,62,266,442,1268,55.36,3.47,2.38,3.95,11.32
Poppy,62,26,118,266,640,41.94,2.85,1.9,4.29,10.32
Bard,74,58,234,462,1040,78.38,2.76,3.16,6.24,14.05
Nautilus,88,34,218,486,1038,38.64,2.58,2.48,5.52,11.8
Braum,22,18,48,56,228,81.82,4.93,2.18,2.55,10.36
Neeko,90,18,276,626,1378,20.0,2.64,3.07,6.96,15.31
Blitzcrank,46,22,84,342,512,47.83,1.74,1.83,7.43,11.13
Nidalee,22,6,28,134,284,27.27,2.33,1.27,6.09,12.91
Sona,78,64,266,360,1046,82.05,3.64,3.41,4.62,13.41
Tahm Kench,4,0,0,28,44,0.0,1.57,0.0,7.0,11.0
Pyke,44,20,186,344,712,45.45,2.61,4.23,7.82,16.18
Elise,12,6,28,64,152,50.0,2.81,2.33,5.33,12.67
Karma,34,14,118,192,396,41.18,2.68,3.47,5.65,11.65
Mel,10,10,30,70,150,100.0,2.57,3.0,7.0,15.0
Janna,22,12,92,152,274,54.55,2.41,4.18,6.91,12.45
Pantheon,6,4,20,50,66,66.67,1.72,3.33,8.33,11.0
Sett,4,4,20,12,68,100.0,7.33,5.0,3.0,17.0
Senna,26,6,104,220,304,23.08,1.85,4.0,8.46,11.69
Trundle,4,4,8,0,40,100.0,48.0,2.0,0.0,10.0
Kennen,2,2,12,8,24,100.0,4.5,6.0,4.0,12.0
Zoe,4,4,8,6,36,100.0,7.33,2.0,1.5,9.0
Soraka,26,22,106,108,356,84.62,4.28,4.08,4.15,13.69
Twisted Fate,2,0,2,10,16,0.0,1.8,1.0,5.0,8.0
Thresh,22,14,36,134,172,63.64,1.55,1.64,6.09,7.82
Yuumi,8,8,36,24,112,100.0,6.17,4.5,3.0,14.0
Camille,2,2,2,16,34,100.0,2.25,1.0,8.0,17.0
Fiddlesticks,2,0,0,18,24,0.0,1.33,0.0,9.0,12.0
Swain,2,2,6,8,40,100.0,5.75,3.0,4.0,20.0
Milio,2,2,2,12,22,100.0,2.0,1.0,6.0,11.0
Taric,8,8,48,40,144,100.0,4.8,6.0,5.0,18.0
Lux,18,10,50,138,162,55.56,1.54,2.78,7.67,9.0
Seraphine,4,4,12,18,36,100.0,2.67,3.0,4.5,9.0
Qiyana,2,0,6,28,14,0.0,0.71,3.0,14.0,7.0
Zilean,2,2,12,26,28,100.0,1.54,6.0,13.0,14.0
Shaco,10,0,20,68,42,0.0,0.91,2.0,6.8,4.2
Morgana,6,0,48,66,78,0.0,1.91,8.0,11.0,13.0
Sejuani,8,0,8,48,48,0.0,1.17,1.0,6.0,6.0
Rammus,2,0,0,10,32,0.0,3.2,0.0,5.0,16.0
