opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Cassiopeia,4,0,16,40,12,0.0,0.7,4.0,10.0,3.0
Xerath,4,4,24,24,24,100.0,2.0,6.0,6.0,6.0
Taliyah,6,4,28,24,20,66.67,2.0,4.67,4.0,3.33
Sylas,4,0,16,28,12,0.0,1.0,4.0,7.0,3.0
Galio,2,0,16,12,6,0.0,1.83,8.0,6.0,3.0
Veigar,4,4,48,24,28,100.0,3.17,12.0,6.0,7.0
Azir,2,2,20,6,4,100.0,4.0,10.0,3.0,2.0
Ryze,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
VelKoz,4,4,44,32,8,100.0,1.62,11.0,8.0,2.0
Ahri,4,2,48,22,28,50.0,3.45,12.0,5.5,7.0
Lissandra,12,12,168,36,180,100.0,9.67,14.0,3.0,15.0
Tristana,2,0,4,10,6,0.0,1.0,2.0,5.0,3.0
LeBlanc,2,0,6,14,12,0.0,1.29,3.0,7.0,6.0
Zilean,2,0,10,14,6,0.0,1.14,5.0,7.0,3.0
Orianna,4,0,0,40,12,0.0,0.3,0.0,10.0,3.0
