opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Neeko,18,0,0,90,162,0.0,1.8,0.0,5.0,9.0
Nautilus,38,16,146,216,298,42.11,2.06,3.84,5.68,7.84
Leona,24,20,130,162,302,83.33,2.67,5.42,6.75,12.58
Pyke,6,6,4,38,80,100.0,2.21,0.67,6.33,13.33
Alistar,8,4,38,84,136,50.0,2.07,4.75,10.5,17.0
Thresh,14,10,46,100,166,71.43,2.12,3.29,7.14,11.86
Yuumi,6,0,12,56,64,0.0,1.36,2.0,9.33,10.67
Lulu,8,4,32,48,60,50.0,1.92,4.0,6.0,7.5
Seraphine,6,2,12,26,28,33.33,1.54,2.0,4.33,4.67
Bard,16,2,20,124,196,12.5,1.74,1.25,7.75,12.25
Soraka,6,6,22,30,74,100.0,3.2,3.67,5.0,12.33
Brand,4,4,0,0,0,100.0,0.0,0.0,0.0,0.0
Lux,2,0,8,16,12,0.0,1.25,4.0,8.0,6.0
Braum,8,0,28,48,100,0.0,2.67,3.5,6.0,12.5
Nami,20,14,90,136,134,70.0,1.65,4.5,6.8,6.7
Blitzcrank,8,4,24,24,56,50.0,3.33,3.0,3.0,7.0
Rakan,8,8,34,32,124,100.0,4.94,4.25,4.0,15.5
Mel,6,6,24,42,42,100.0,1.57,4.0,7.0,7.0
Sona,2,0,6,8,14,0.0,2.5,3.0,4.0,7.0
Sion,2,0,12,10,28,0.0,4.0,6.0,5.0,14.0
Karma,8,2,18,78,78,25.0,1.23,2.25,9.75,9.75
Zilean,2,2,2,8,12,100.0,1.75,1.0,4.0,6.0
Maokai,2,2,4,18,36,100.0,2.22,2.0,9.0,18.0
Milio,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Janna,6,0,6,48,36,0.0,0.88,1.0,8.0,6.0
Rell,2,0,4,28,18,0.0,0.79,2.0,14.0,9.0
Camille,2,2,8,24,28,100.0,1.5,4.0,12.0,14.0
Taric,2,0,4,24,10,0.0,0.58,2.0,12.0,5.0
