opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Lucian,310,138,1372,1648,2314,44.52,2.24,4.43,5.32,7.46
Ziggs,76,40,356,276,480,52.63,3.03,4.68,3.63,6.32
Yunara,200,104,800,988,1536,52.0,2.36,4.0,4.94,7.68
Aphelios,150,90,856,592,1194,60.0,3.46,5.71,3.95,7.96
Jinx,142,60,856,756,1180,42.25,2.69,6.03,5.32,8.31
Kaisa,228,96,1192,1272,1838,42.11,2.38,5.23,5.58,8.06
Ashe,122,54,622,540,832,44.26,2.69,5.1,4.43,6.82
Tristana,128,62,654,652,950,48.44,2.46,5.11,5.09,7.42
Jhin,254,106,1088,1366,1592,41.73,1.96,4.28,5.38,6.27
Ezreal,298,138,1198,1402,2282,46.31,2.48,4.02,4.7,7.66
Draven,114,62,594,624,1104,54.39,2.72,5.21,5.47,9.68
Zeri,110,82,670,466,1110,74.55,3.82,6.09,4.24,10.09
Zyra,46,18,182,208,292,39.13,2.28,3.96,4.52,6.35
Miss Fortune,98,48,360,358,570,48.98,2.6,3.67,3.65,5.82
Corki,134,60,872,844,1240,44.78,2.5,6.51,6.3,9.25
Senna,198,96,1042,858,1358,48.48,2.8,5.26,4.33,6.86
Varus,158,118,806,662,1314,74.68,3.2,5.1,4.19,8.32
Yasuo,54,32,250,344,530,59.26,2.27,4.63,6.37,9.81
Twitch,76,22,200,400,414,28.95,1.53,2.63,5.26,5.45
Sivir,176,104,872,706,1544,59.09,3.42,4.95,4.01,8.77
Swain,24,4,120,152,274,16.67,2.59,5.0,6.33,11.42
Seraphine,76,28,330,338,508,36.84,2.48,4.34,4.45,6.68
Smolder,108,56,574,564,968,51.85,2.73,5.31,5.22,8.96
Vayne,44,8,266,300,436,18.18,2.34,6.05,6.82,9.91
Riven,4,4,0,4,4,100.0,1.0,0.0,1.0,1.0
KogMaw,38,12,182,276,320,31.58,1.82,4.79,7.26,8.42
Caitlyn,98,54,436,396,694,55.1,2.85,4.45,4.04,7.08
Mel,66,36,258,352,622,54.55,2.5,3.91,5.33,9.42
Syndra,20,16,92,72,212,80.0,4.22,4.6,3.6,10.6
Samira,30,16,188,200,258,53.33,2.23,6.27,6.67,8.6
Veigar,20,8,70,100,174,40.0,2.44,3.5,5.0,8.7
Karthus,26,8,130,156,212,30.77,2.19,5.0,6.0,8.15
Naafiri,4,0,0,12,0,0.0,0.0,0.0,3.0,0.0
VelKoz,6,0,32,30,42,0.0,2.47,5.33,5.0,7.0
Irelia,10,4,46,60,86,40.0,2.2,4.6,6.0,8.6
Xayah,70,18,234,378,428,25.71,1.75,3.34,5.4,6.11
Orianna,4,0,4,28,36,0.0,1.43,1.0,7.0,9.0
Lux,38,20,110,200,278,52.63,1.94,2.89,5.26,7.32
Ahri,2,2,12,12,30,100.0,3.5,6.0,6.0,15.0
Brand,8,2,42,48,72,25.0,2.38,5.25,6.0,9.0
Xerath,4,0,12,22,22,0.0,1.55,3.0,5.5,5.5
Taliyah,4,4,34,22,56,100.0,4.09,8.5,5.5,14.0
Lissandra,2,0,10,8,4,0.0,1.75,5.0,4.0,2.0
Nilah,50,38,260,238,514,76.0,3.25,5.2,4.76,10.28
Kalista,42,20,256,266,280,47.62,2.02,6.1,6.33,6.67
Aurelion Sol,34,16,120,154,288,47.06,2.65,3.53,4.53,8.47
Cassiopeia,4,0,12,28,12,0.0,0.86,3.0,7.0,3.0
Viktor,12,8,38,34,52,66.67,2.65,3.17,2.83,4.33
Heimerdinger,12,12,158,60,126,100.0,4.73,13.17,5.0,10.5
Dr. Mundo,2,0,10,2,4,0.0,7.0,5.0,1.0,2.0
Zoe,12,12,108,108,132,100.0,2.22,9.0,9.0,11.0
Nidalee,2,0,2,8,4,0.0,0.75,1.0,4.0,2.0
Kayle,2,0,4,8,6,0.0,1.25,2.0,4.0,3.0
