opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Vayne,34,18,172,222,270,52.94,1.99,5.06,6.53,7.94
Renekton,54,14,160,348,134,25.93,0.84,2.96,6.44,2.48
Sion,42,30,198,334,262,71.43,1.38,4.71,7.95,6.24
Fiora,28,10,112,140,122,35.71,1.67,4.0,5.0,4.36
Vladimir,14,10,60,58,96,71.43,2.69,4.29,4.14,6.86
Kled,22,18,88,138,146,81.82,1.7,4.0,6.27,6.64
Jax,72,46,228,358,186,63.89,1.16,3.17,4.97,2.58
Gnar,10,2,50,66,70,20.0,1.82,5.0,6.6,7.0
Jayce,32,12,84,206,184,37.5,1.3,2.62,6.44,5.75
Gwen,28,14,84,172,106,50.0,1.1,3.0,6.14,3.79
Kayle,12,8,44,64,40,66.67,1.31,3.67,5.33,3.33
Aatrox,42,10,98,298,164,23.81,0.88,2.33,7.1,3.9
Shen,98,56,354,494,368,57.14,1.46,3.61,5.04,3.76
Sett,6,6,36,34,28,100.0,1.88,6.0,5.67,4.67
Tryndamere,12,6,30,52,48,50.0,1.5,2.5,4.33,4.0
KSante,10,4,38,62,36,40.0,1.19,3.8,6.2,3.6
Swain,6,0,6,60,6,0.0,0.2,1.0,10.0,1.0
Gragas,24,8,72,158,124,33.33,1.24,3.0,6.58,5.17
Akali,8,2,36,56,36,25.0,1.29,4.5,7.0,4.5
Urgot,14,8,72,80,72,57.14,1.8,5.14,5.71,5.14
Udyr,24,22,162,184,164,91.67,1.77,6.75,7.67,6.83
Mordekaiser,24,14,56,118,62,58.33,1.0,2.33,4.92,2.58
Rengar,2,2,10,6,12,100.0,3.67,5.0,3.0,6.0
Heimerdinger,12,0,46,62,26,0.0,1.16,3.83,5.17,2.17
Riven,26,12,108,182,128,46.15,1.3,4.15,7.0,4.92
Nocturne,6,4,14,20,14,66.67,1.4,2.33,3.33,2.33
Yunara,2,2,14,16,12,100.0,1.62,7.0,8.0,6.0
Camille,14,8,56,72,30,57.14,1.19,4.0,5.14,2.14
Darius,24,6,66,156,76,25.0,0.91,2.75,6.5,3.17
Rumble,36,8,186,270,286,22.22,1.75,5.17,7.5,7.94
Yasuo,2,2,12,2,6,100.0,9.0,6.0,1.0,3.0
Ornn,42,22,214,284,152,52.38,1.29,5.1,6.76,3.62
Kennen,4,0,20,32,32,0.0,1.62,5.0,8.0,8.0
Teemo,12,6,34,54,30,50.0,1.19,2.83,4.5,2.5
Zilean,6,2,18,32,30,33.33,1.5,3.0,5.33,5.0
Olaf,2,0,8,12,0,0.0,0.67,4.0,6.0,0.0
Irelia,8,6,34,42,26,75.0,1.43,4.25,5.25,3.25
Ambessa,50,14,142,292,180,28.0,1.1,2.84,5.84,3.6
Dr. Mundo,20,2,60,152,74,10.0,0.88,3.0,7.6,3.7
Malphite,6,2,30,38,54,33.33,2.21,5.0,6.33,9.0
Gangplank,2,2,10,6,20,100.0,5.0,5.0,3.0,10.0
Azir,4,4,24,4,12,100.0,9.0,6.0,1.0,3.0
Ryze,4,4,8,16,8,100.0,1.0,2.0,4.0,2.0
Twisted Fate,10,0,10,40,40,0.0,1.25,1.0,4.0,4.0
Warwick,16,6,66,108,74,37.5,1.3,4.12,6.75,4.62
Kalista,2,2,6,4,8,100.0,3.5,3.0,2.0,4.0
Chogath,4,4,18,10,16,100.0,3.4,4.5,2.5,4.0
Yorick,10,0,12,56,4,0.0,0.29,1.2,5.6,0.4
Yone,12,4,48,48,66,33.33,2.38,4.0,4.0,5.5
Pantheon,4,2,4,16,10,50.0,0.88,1.0,4.0,2.5
Quinn,6,0,54,36,42,0.0,2.67,9.0,6.0,7.0
Fiddlesticks,6,0,12,24,0,0.0,0.5,2.0,4.0,0.0
Wukong,4,0,16,20,16,0.0,1.6,4.0,5.0,4.0
Singed,10,0,14,34,22,0.0,1.06,1.4,3.4,2.2
Trundle,2,0,8,10,2,0.0,1.0,4.0,5.0,1.0
Nasus,2,0,2,14,2,0.0,0.29,1.0,7.0,1.0
Volibear,22,2,100,218,114,9.09,0.98,4.55,9.91,5.18
Zeri,2,0,6,16,2,0.0,0.5,3.0,8.0,1.0
Kayn,2,2,8,2,14,100.0,11.0,4.0,1.0,7.0
Smolder,2,0,4,6,0,0.0,0.67,2.0,3.0,0.0
Ezreal,4,0,4,24,0,0.0,0.17,1.0,6.0,0.0
Cassiopeia,10,0,10,74,32,0.0,0.57,1.0,7.4,3.2
Aurora,2,2,6,2,16,100.0,11.0,3.0,1.0,8.0
Varus,2,0,14,20,0,0.0,0.7,7.0,10.0,0.0
Karma,2,2,8,2,8,100.0,8.0,4.0,1.0,4.0
