opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Diana,46,18,254,292,304,39.13,1.91,5.52,6.35,6.61
Akali,176,54,740,1316,604,30.68,1.02,4.2,7.48,3.43
Aurora,92,54,624,524,478,58.7,2.1,6.78,5.7,5.2
Gwen,14,0,70,154,0,0.0,0.45,5.0,11.0,0.0
Zoe,84,42,506,524,408,50.0,1.74,6.02,6.24,4.86
Ryze,132,76,816,840,596,57.58,1.68,6.18,6.36,4.52
Zed,180,80,1094,1140,632,44.44,1.51,6.08,6.33,3.51
Xerath,40,12,280,226,144,30.0,1.88,7.0,5.65,3.6
Tristana,30,24,216,134,142,80.0,2.67,7.2,4.47,4.73
Yone,158,104,1112,834,680,65.82,2.15,7.04,5.28,4.3
Orianna,214,108,1236,1520,1014,50.47,1.48,5.78,7.1,4.74
Smolder,30,18,212,284,112,60.0,1.14,7.07,9.47,3.73
Ekko,72,28,456,492,394,38.89,1.73,6.33,6.83,5.47
Vladimir,136,84,1062,998,652,61.76,1.72,7.81,7.34,4.79
Swain,8,0,56,56,8,0.0,1.14,7.0,7.0,1.0
Lissandra,26,10,104,178,112,38.46,1.21,4.0,6.85,4.31
Taliyah,136,74,878,834,776,54.41,1.98,6.46,6.13,5.71
Neeko,16,14,60,134,76,87.5,1.01,3.75,8.38,4.75
Galio,70,56,358,456,484,80.0,1.85,5.11,6.51,6.91
Viktor,154,74,796,780,746,48.05,1.98,5.17,5.06,4.84
Chogath,12,8,84,80,108,66.67,2.4,7.0,6.67,9.0
Pantheon,12,10,96,56,42,83.33,2.46,8.0,4.67,3.5
Hwei,122,58,826,890,560,47.54,1.56,6.77,7.3,4.59
Corki,80,36,526,550,352,45.0,1.6,6.58,6.88,4.4
Qiyana,90,50,496,608,414,55.56,1.5,5.51,6.76,4.6
Mel,136,84,970,766,548,61.76,1.98,7.13,5.63,4.03
Veigar,50,10,262,334,154,20.0,1.25,5.24,6.68,3.08
Annie,52,24,352,384,274,46.15,1.63,6.77,7.38,5.27
Katarina,182,88,1070,1202,642,48.35,1.42,5.88,6.6,3.53
