opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Nidalee,36,18,184,204,76,50.0,1.27,5.11,5.67,2.11
Jayce,646,328,3836,4254,2394,50.77,1.46,5.94,6.59,3.71
Gragas,186,122,1268,1084,870,65.59,1.97,6.82,5.83,4.68
Ornn,128,62,686,938,752,48.44,1.53,5.36,7.33,5.88
Vladimir,154,64,642,1036,476,41.56,1.08,4.17,6.73,3.09
Heimerdinger,60,18,394,496,192,30.0,1.18,6.57,8.27,3.2
Yorick,550,284,3034,3508,2118,51.64,1.47,5.52,6.38,3.85
Aatrox,396,218,2424,2612,1784,55.05,1.61,6.12,6.6,4.51
Darius,156,42,830,1434,780,26.92,1.12,5.32,9.19,5.0
Ahri,4,4,32,32,32,100.0,2.0,8.0,8.0,8.0
Ambessa,522,266,2938,3178,2182,50.96,1.61,5.63,6.09,4.18
Renekton,282,148,1294,1988,1278,52.48,1.29,4.59,7.05,4.53
Singed,66,34,308,348,386,51.52,1.99,4.67,5.27,5.85
Azir,46,24,370,242,194,52.17,2.33,8.04,5.26,4.22
Aurora,344,142,1618,2102,1084,41.28,1.29,4.7,6.11,3.15
Akshan,16,10,116,110,50,62.5,1.51,7.25,6.88,3.12
Neeko,32,32,316,172,122,100.0,2.55,9.88,5.38,3.81
Garen,96,42,424,756,422,43.75,1.12,4.42,7.88,4.4
Jax,390,188,1946,2676,1816,48.21,1.41,4.99,6.86,4.66
Chogath,68,24,462,468,274,35.29,1.57,6.79,6.88,4.03
Quinn,66,48,348,368,310,72.73,1.79,5.27,5.58,4.7
Teemo,116,80,730,866,492,68.97,1.41,6.29,7.47,4.24
Sion,154,100,998,870,544,64.94,1.77,6.48,5.65,3.53
Zoe,16,4,36,44,68,25.0,2.36,2.25,2.75,4.25
KSante,182,96,828,1262,954,52.75,1.41,4.55,6.93,5.24
Gnar,140,86,794,752,556,61.43,1.8,5.67,5.37,3.97
Fiora,182,76,936,1234,644,41.76,1.28,5.14,6.78,3.54
Gwen,236,112,1638,1656,1300,47.46,1.77,6.94,7.02,5.51
Shen,140,78,766,892,504,55.71,1.42,5.47,6.37,3.6
Yasuo,66,26,358,440,208,39.39,1.29,5.42,6.67,3.15
Volibear,78,28,446,504,306,35.9,1.49,5.72,6.46,3.92
Riven,206,86,1032,1574,794,41.75,1.16,5.01,7.64,3.85
Rumble,92,38,340,646,344,41.3,1.06,3.7,7.02,3.74
Yone,154,100,1002,942,568,64.94,1.67,6.51,6.12,3.69
Qiyana,14,12,98,76,44,85.71,1.87,7.0,5.43,3.14
Kled,102,24,444,790,438,23.53,1.12,4.35,7.75,4.29
Malphite,106,52,594,648,436,49.06,1.59,5.6,6.11,4.11
Shaco,8,8,50,18,30,100.0,4.44,6.25,2.25,3.75
Kennen,126,68,786,816,548,53.97,1.63,6.24,6.48,4.35
Sett,174,100,1126,1110,1038,57.47,1.95,6.47,6.38,5.97
Gangplank,180,80,888,1198,624,44.44,1.26,4.93,6.66,3.47
Wukong,24,4,132,206,140,16.67,1.32,5.5,8.58,5.83
Kayle,124,82,520,676,514,66.13,1.53,4.19,5.45,4.15
Camille,178,82,892,1080,716,46.07,1.49,5.01,6.07,4.02
Poppy,22,12,114,132,74,54.55,1.42,5.18,6.0,3.36
Viego,10,8,72,34,68,80.0,4.12,7.2,3.4,6.8
LeBlanc,4,0,14,28,4,0.0,0.64,3.5,7.0,1.0
Ivern,12,0,68,92,24,0.0,1.0,5.67,7.67,2.0
Hwei,6,2,32,32,8,33.33,1.25,5.33,5.33,1.33
Urgot,92,16,440,682,388,17.39,1.21,4.78,7.41,4.22
Ryze,58,42,390,314,358,72.41,2.38,6.72,5.41,6.17
Kindred,2,2,10,12,12,100.0,1.83,5.0,6.0,6.0
Akali,58,34,350,380,266,58.62,1.62,6.03,6.55,4.59
Zed,30,4,110,198,120,13.33,1.16,3.67,6.6,4.0
Ekko,4,4,12,36,20,100.0,0.89,3.0,9.0,5.0
Xin Zhao,2,2,22,12,6,100.0,2.33,11.0,6.0,3.0
Cassiopeia,32,10,236,246,156,31.25,1.59,7.38,7.69,4.88
Vayne,22,2,102,214,84,9.09,0.87,4.64,9.73,3.82
Viktor,4,0,16,36,8,0.0,0.67,4.0,9.0,2.0
Mordekaiser,68,18,348,502,192,26.47,1.08,5.12,7.38,2.82
Dr. Mundo,88,62,742,366,276,70.45,2.78,8.43,4.16,3.14
Trundle,32,2,134,254,84,6.25,0.86,4.19,7.94,2.62
Tryndamere,68,20,448,428,224,29.41,1.57,6.59,6.29,3.29
Warwick,44,6,148,322,226,13.64,1.16,3.36,7.32,5.14
Pantheon,34,22,138,260,132,64.71,1.04,4.06,7.65,3.88
Illaoi,8,2,40,52,20,25.0,1.15,5.0,6.5,2.5
Reksai,6,4,32,42,24,66.67,1.33,5.33,7.0,4.0
Smolder,18,4,120,140,56,22.22,1.26,6.67,7.78,3.11
Zac,30,8,220,224,98,26.67,1.42,7.33,7.47,3.27
Nocturne,8,4,54,32,32,50.0,2.69,6.75,4.0,4.0
Caitlyn,2,2,12,6,12,100.0,4.0,6.0,3.0,6.0
Varus,12,2,74,88,78,16.67,1.73,6.17,7.33,6.5
Draven,2,0,0,16,2,0.0,0.12,0.0,8.0,1.0
Olaf,40,18,280,298,286,45.0,1.9,7.0,7.45,7.15
Kaisa,4,0,12,24,28,0.0,1.67,3.0,6.0,7.0
Yunara,26,26,100,158,102,100.0,1.28,3.85,6.08,3.92
Twisted Fate,8,8,104,40,32,100.0,3.4,13.0,5.0,4.0
Anivia,24,14,142,152,118,58.33,1.71,5.92,6.33,4.92
Sylas,14,2,70,98,62,14.29,1.35,5.0,7.0,4.43
Tahm Kench,14,2,14,84,6,14.29,0.24,1.0,6.0,0.43
Udyr,30,14,130,220,174,46.67,1.38,4.33,7.33,5.8
Zilean,4,4,4,8,4,100.0,1.0,1.0,2.0,1.0
Lucian,6,0,34,48,10,0.0,0.92,5.67,8.0,1.67
Tristana,6,6,28,38,42,100.0,1.84,4.67,6.33,7.0
Naafiri,12,0,66,72,44,0.0,1.53,5.5,6.0,3.67
Taliyah,2,2,16,8,2,100.0,2.25,8.0,4.0,1.0
Lux,2,2,14,8,24,100.0,4.75,7.0,4.0,12.0
Rengar,6,2,34,56,54,33.33,1.57,5.67,9.33,9.0
Syndra,2,2,8,14,10,100.0,1.29,4.0,7.0,5.0
Nasus,50,32,200,300,324,64.0,1.75,4.0,6.0,6.48
Swain,38,26,222,142,158,68.42,2.68,5.84,3.74,4.16
Katarina,6,6,38,30,22,100.0,2.0,6.33,5.0,3.67
Maokai,2,2,8,16,2,100.0,0.62,4.0,8.0,1.0
Rammus,2,2,16,6,4,100.0,3.33,8.0,3.0,2.0
Zeri,18,10,136,198,142,55.56,1.4,7.56,11.0,7.89
Karma,12,2,26,56,32,16.67,1.04,2.17,4.67,2.67
Galio,6,2,22,50,4,33.33,0.52,3.67,8.33,0.67
Aurelion Sol,10,0,54,66,36,0.0,1.36,5.4,6.6,3.6
Janna,2,0,8,22,20,0.0,1.27,4.0,11.0,10.0
Kalista,2,2,22,8,6,100.0,3.5,11.0,4.0,3.0
Annie,2,2,12,4,6,100.0,4.5,6.0,2.0,3.0
Sejuani,2,0,4,14,4,0.0,0.57,2.0,7.0,2.0
Fiddlesticks,4,2,12,28,6,50.0,0.64,3.0,7.0,1.5
