opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,24,2,72,154,318,8.33,2.53,3.0,6.42,13.25
Nami,28,12,38,252,522,42.86,2.22,1.36,9.0,18.64
Rell,16,12,52,134,314,75.0,2.73,3.25,8.38,19.62
Bard,14,4,60,104,160,28.57,2.12,4.29,7.43,11.43
Sona,8,6,28,36,150,75.0,4.94,3.5,4.5,18.75
Karma,18,10,116,110,328,55.56,4.04,6.44,6.11,18.22
Trundle,2,0,6,22,22,0.0,1.27,3.0,11.0,11.0
Zilean,16,14,110,94,288,87.5,4.23,6.88,5.88,18.0
Poppy,6,0,18,40,52,0.0,1.75,3.0,6.67,8.67
Braum,6,2,32,46,62,33.33,2.04,5.33,7.67,10.33
Leona,8,2,22,46,48,25.0,1.52,2.75,5.75,6.0
Zoe,4,2,20,26,106,50.0,4.85,5.0,6.5,26.5
Rakan,28,12,84,204,534,42.86,3.03,3.0,7.29,19.07
Soraka,36,4,108,290,294,11.11,1.39,3.0,8.06,8.17
Yuumi,4,4,12,20,60,100.0,3.6,3.0,5.0,15.0
Sett,6,0,12,48,30,0.0,0.88,2.0,8.0,5.0
Nautilus,4,2,4,26,80,50.0,3.23,1.0,6.5,20.0
Fiddlesticks,6,0,36,54,96,0.0,2.44,6.0,9.0,16.0
Nidalee,2,0,4,10,32,0.0,3.6,2.0,5.0,16.0
Senna,8,2,16,62,78,25.0,1.52,2.0,7.75,9.75
Lux,2,0,0,6,12,0.0,2.0,0.0,3.0,6.0
Milio,14,8,68,90,176,57.14,2.71,4.86,6.43,12.57
Pyke,2,0,8,16,34,0.0,2.62,4.0,8.0,17.0
Brand,2,0,12,24,38,0.0,2.08,6.0,12.0,19.0
Blitzcrank,2,0,6,20,34,0.0,2.0,3.0,10.0,17.0
Seraphine,14,14,52,106,268,100.0,3.02,3.71,7.57,19.14
Janna,6,0,14,38,62,0.0,2.0,2.33,6.33,10.33
Zyra,4,0,4,40,24,0.0,0.7,1.0,10.0,6.0
Ashe,4,0,8,24,12,0.0,0.83,2.0,6.0,3.0
VelKoz,2,2,6,6,14,100.0,3.33,3.0,3.0,7.0
