opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Aatrox,16,0,28,116,60,0.0,0.76,1.75,7.25,3.75
Akali,2,0,2,4,2,0.0,1.0,1.0,2.0,1.0
Darius,4,0,4,24,4,0.0,0.33,1.0,6.0,1.0
Shen,2,0,0,12,14,0.0,1.17,0.0,6.0,7.0
Camille,2,0,10,18,14,0.0,1.33,5.0,9.0,7.0
Volibear,2,2,12,2,16,100.0,14.0,6.0,1.0,8.0
Yone,2,0,0,12,2,0.0,0.17,0.0,6.0,1.0
Malphite,2,2,14,4,20,100.0,8.5,7.0,2.0,10.0
Chogath,22,20,138,128,246,90.91,3.0,6.27,5.82,11.18
Ambessa,24,4,32,226,194,16.67,1.0,1.33,9.42,8.08
Riven,2,2,30,6,38,100.0,11.33,15.0,3.0,19.0
Mordekaiser,4,4,12,6,42,100.0,9.0,3.0,1.5,10.5
Gragas,18,18,144,54,84,100.0,4.22,8.0,3.0,4.67
Warwick,2,2,4,2,4,100.0,4.0,2.0,1.0,2.0
Teemo,2,0,20,22,10,0.0,1.36,10.0,11.0,5.0
Quinn,4,4,8,0,24,100.0,32.0,2.0,0.0,6.0
Poppy,2,0,6,10,20,0.0,2.6,3.0,5.0,10.0
Kennen,8,2,10,54,24,25.0,0.63,1.25,6.75,3.0
