opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Yasuo,4,0,4,36,20,0.0,0.67,1.0,9.0,5.0
Jinx,4,4,8,12,12,100.0,1.67,2.0,3.0,3.0
Yunara,18,18,172,50,162,100.0,6.68,9.56,2.78,9.0
Varus,16,0,192,176,80,0.0,1.55,12.0,11.0,5.0
Ashe,18,14,84,16,18,77.78,6.38,4.67,0.89,1.0
Tristana,8,2,6,30,20,25.0,0.87,0.75,3.75,2.5
Sivir,14,14,14,14,70,100.0,6.0,1.0,1.0,5.0
Vladimir,6,6,54,12,48,100.0,8.5,9.0,2.0,8.0
Kaisa,4,0,44,36,36,0.0,2.22,11.0,9.0,9.0
Jhin,2,2,10,0,8,100.0,18.0,5.0,0.0,4.0
