opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Gragas,988,534,4456,4418,4970,54.05,2.13,4.51,4.47,5.03
Volibear,206,140,1104,742,946,67.96,2.76,5.36,3.6,4.59
Riven,826,424,4098,3818,3908,51.33,2.1,4.96,4.62,4.73
Nidalee,66,32,284,390,338,48.48,1.59,4.3,5.91,5.12
Vladimir,378,220,1520,1802,1432,58.2,1.64,4.02,4.77,3.79
Vayne,106,28,670,514,470,26.42,2.22,6.32,4.85,4.43
Quinn,158,76,816,638,816,48.1,2.56,5.16,4.04,5.16
Ornn,232,130,1134,1060,860,56.03,1.88,4.89,4.57,3.71
Ambessa,1050,514,4822,5100,4432,48.95,1.81,4.59,4.86,4.22
Olaf,154,108,942,672,888,70.13,2.72,6.12,4.36,5.77
Aatrox,678,388,3162,2872,2478,57.23,1.96,4.66,4.24,3.65
Renekton,978,616,4968,4620,4338,62.99,2.01,5.08,4.72,4.44
Garen,318,132,1466,1448,1154,41.51,1.81,4.61,4.55,3.63
Darius,344,188,1974,1860,1750,54.65,2.0,5.74,5.41,5.09
Gwen,1358,682,7518,7364,5870,50.22,1.82,5.54,5.42,4.32
Fiora,664,284,3264,3456,2674,42.77,1.72,4.92,5.2,4.03
Gnar,224,110,822,1130,908,49.11,1.53,3.67,5.04,4.05
Lee Sin,20,16,108,56,88,80.0,3.5,5.4,2.8,4.4
Yone,310,180,2056,1380,1124,58.06,2.3,6.63,4.45,3.63
Shen,478,214,1770,2768,2344,44.77,1.49,3.7,5.79,4.9
Yorick,426,254,2210,1558,1764,59.62,2.55,5.19,3.66,4.14
Nasus,76,44,376,346,414,57.89,2.28,4.95,4.55,5.45
Dr. Mundo,356,194,1662,1668,1318,54.49,1.79,4.67,4.69,3.7
Tryndamere,242,132,1326,1166,1044,54.55,2.03,5.48,4.82,4.31
Gangplank,480,262,2282,2504,2164,54.58,1.78,4.75,5.22,4.51
Jayce,422,210,2144,2060,1820,49.76,1.92,5.08,4.88,4.31
Rengar,72,62,526,318,254,86.11,2.45,7.31,4.42,3.53
Sion,290,200,1320,1072,1296,68.97,2.44,4.55,3.7,4.47
Fizz,4,4,20,12,32,100.0,4.33,5.0,3.0,8.0
Urgot,196,74,704,898,664,37.76,1.52,3.59,4.58,3.39
Rumble,412,216,1964,2122,2020,52.43,1.88,4.77,5.15,4.9
Swain,28,12,170,206,94,42.86,1.28,6.07,7.36,3.36
Sett,280,122,1636,1492,1158,43.57,1.87,5.84,5.33,4.14
Kennen,358,158,1502,1796,1550,44.13,1.7,4.2,5.02,4.33
KSante,574,262,2000,2760,2366,45.64,1.58,3.48,4.81,4.12
Aurora,272,182,1304,1122,1296,66.91,2.32,4.79,4.12,4.76
Warwick,100,56,548,568,428,56.0,1.72,5.48,5.68,4.28
Kled,226,128,1066,1034,836,56.64,1.84,4.72,4.58,3.7
Lissandra,18,2,52,66,24,11.11,1.15,2.89,3.67,1.33
Irelia,390,202,2220,1980,1842,51.79,2.05,5.69,5.08,4.72
Draven,8,8,64,16,24,100.0,5.5,8.0,2.0,3.0
Kayle,116,58,568,480,346,50.0,1.9,4.9,4.14,2.98
Ahri,18,18,68,66,50,100.0,1.79,3.78,3.67,2.78
Yunara,46,8,222,232,266,17.39,2.1,4.83,5.04,5.78
Sylas,6,0,42,48,42,0.0,1.75,7.0,8.0,7.0
Ryze,122,78,602,446,422,63.93,2.3,4.93,3.66,3.46
Azir,60,28,300,368,222,46.67,1.42,5.0,6.13,3.7
Pantheon,68,32,444,358,414,47.06,2.4,6.53,5.26,6.09
Sejuani,18,8,38,72,38,44.44,1.06,2.11,4.0,2.11
Akali,192,136,910,808,736,70.83,2.04,4.74,4.21,3.83
Briar,8,8,40,16,0,100.0,2.5,5.0,2.0,0.0
Neeko,14,12,70,60,20,85.71,1.5,5.0,4.29,1.43
Naafiri,24,16,132,62,144,66.67,4.45,5.5,2.58,6.0
Anivia,44,22,138,100,132,50.0,2.7,3.14,2.27,3.0
Wukong,22,16,114,88,130,72.73,2.77,5.18,4.0,5.91
Illaoi,72,26,308,252,130,36.11,1.74,4.28,3.5,1.81
Camille,364,202,1850,1690,1536,55.49,2.0,5.08,4.64,4.22
Shaco,14,14,34,34,80,100.0,3.35,2.43,2.43,5.71
Viego,10,6,60,48,66,60.0,2.62,6.0,4.8,6.6
Corki,8,4,52,60,28,50.0,1.33,6.5,7.5,3.5
Yasuo,278,146,1770,1392,1362,52.52,2.25,6.37,5.01,4.9
Maokai,12,0,42,64,38,0.0,1.25,3.5,5.33,3.17
