opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zoe,122,54,534,714,512,44.26,1.46,4.38,5.85,4.2
Anivia,30,18,132,90,76,60.0,2.31,4.4,3.0,2.53
Ahri,144,50,796,762,818,34.72,2.12,5.53,5.29,5.68
Corki,56,30,384,306,482,53.57,2.83,6.86,5.46,8.61
Akali,122,52,738,778,608,42.62,1.73,6.05,6.38,4.98
Sylas,226,138,1458,1298,1426,61.06,2.22,6.45,5.74,6.31
Swain,14,0,42,140,140,0.0,1.3,3.0,10.0,10.0
Viktor,76,48,520,402,576,63.16,2.73,6.84,5.29,7.58
Zed,122,42,846,688,608,34.43,2.11,6.93,5.64,4.98
Riven,6,4,20,32,42,66.67,1.94,3.33,5.33,7.0
Neeko,20,14,120,68,226,70.0,5.09,6.0,3.4,11.3
Orianna,98,70,506,466,624,71.43,2.42,5.16,4.76,6.37
Aurora,148,80,876,904,1054,54.05,2.13,5.92,6.11,7.12
Syndra,118,80,694,644,570,67.8,1.96,5.88,5.46,4.83
Twisted Fate,172,86,892,918,1102,50.0,2.17,5.19,5.34,6.41
Vladimir,134,82,772,642,944,61.19,2.67,5.76,4.79,7.04
Galio,70,32,408,456,490,45.71,1.97,5.83,6.51,7.0
Hwei,62,34,388,322,396,54.84,2.43,6.26,5.19,6.39
Yone,156,94,1260,832,1064,60.26,2.79,8.08,5.33,6.82
Ryze,124,86,710,626,1054,69.35,2.82,5.73,5.05,8.5
Twitch,10,10,50,30,140,100.0,6.33,5.0,3.0,14.0
Ivern,6,6,24,14,38,100.0,4.43,4.0,2.33,6.33
Akshan,70,20,430,458,376,28.57,1.76,6.14,6.54,5.37
Taliyah,132,52,690,846,1028,39.39,2.03,5.23,6.41,7.79
Smolder,26,24,252,42,140,92.31,9.33,9.69,1.62,5.38
Malphite,12,8,100,80,124,66.67,2.8,8.33,6.67,10.33
Pantheon,18,4,96,140,114,22.22,1.5,5.33,7.78,6.33
Fizz,20,20,180,162,332,100.0,3.16,9.0,8.1,16.6
Yasuo,108,58,644,536,786,53.7,2.67,5.96,4.96,7.28
Kennen,14,2,90,126,94,14.29,1.46,6.43,9.0,6.71
Azir,78,26,466,476,418,33.33,1.86,5.97,6.1,5.36
Lissandra,34,16,276,206,176,47.06,2.19,8.12,6.06,5.18
Lux,58,16,334,296,242,27.59,1.95,5.76,5.1,4.17
Katarina,150,78,1102,992,968,52.0,2.09,7.35,6.61,6.45
Annie,86,46,488,428,478,53.49,2.26,5.67,4.98,5.56
Ekko,44,20,210,208,308,45.45,2.49,4.77,4.73,7.0
Tryndamere,12,0,60,106,44,0.0,0.98,5.0,8.83,3.67
Udyr,4,0,28,28,12,0.0,1.43,7.0,7.0,3.0
Mel,70,42,438,436,458,60.0,2.06,6.26,6.23,6.54
Ambessa,18,8,70,84,68,44.44,1.64,3.89,4.67,3.78
Chogath,22,18,216,196,172,81.82,1.98,9.82,8.91,7.82
LeBlanc,22,14,116,124,146,63.64,2.11,5.27,5.64,6.64
Vayne,10,8,74,64,86,80.0,2.5,7.4,6.4,8.6
Miss Fortune,2,2,10,14,6,100.0,1.14,5.0,7.0,3.0
Urgot,4,0,4,36,24,0.0,0.78,1.0,9.0,6.0
Nidalee,8,6,50,40,60,75.0,2.75,6.25,5.0,7.5
Gragas,4,2,26,12,20,50.0,3.83,6.5,3.0,5.0
Sivir,10,10,116,34,66,100.0,5.35,11.6,3.4,6.6
Seraphine,4,0,16,12,40,0.0,4.67,4.0,3.0,10.0
Kassadin,60,28,418,402,332,46.67,1.87,6.97,6.7,5.53
Lee Sin,4,0,34,40,24,0.0,1.45,8.5,10.0,6.0
Xerath,20,10,100,72,68,50.0,2.33,5.0,3.6,3.4
Pyke,4,2,14,34,22,50.0,1.06,3.5,8.5,5.5
Karma,4,2,28,14,26,50.0,3.86,7.0,3.5,6.5
Heimerdinger,4,4,12,24,52,100.0,2.67,3.0,6.0,13.0
Diana,10,0,32,106,60,0.0,0.87,3.2,10.6,6.0
Cassiopeia,28,12,234,132,206,42.86,3.33,8.36,4.71,7.36
Rumble,6,2,28,26,74,33.33,3.92,4.67,4.33,12.33
Veigar,32,28,156,88,166,87.5,3.66,4.88,2.75,5.19
Gangplank,4,2,48,26,20,50.0,2.62,12.0,6.5,5.0
Yunara,4,0,52,40,24,0.0,1.9,13.0,10.0,6.0
Ezreal,8,0,18,74,30,0.0,0.65,2.25,9.25,3.75
Talon,26,8,216,140,198,30.77,2.96,8.31,5.38,7.62
VelKoz,4,0,22,12,8,0.0,2.5,5.5,3.0,2.0
Caitlyn,4,4,26,12,20,100.0,3.83,6.5,3.0,5.0
Wukong,2,0,22,10,12,0.0,3.4,11.0,5.0,6.0
Vex,6,2,40,34,54,33.33,2.76,6.67,5.67,9.0
Zac,8,4,46,50,70,50.0,2.32,5.75,6.25,8.75
Qiyana,34,20,290,220,178,58.82,2.13,8.53,6.47,5.24
Malzahar,16,10,132,84,164,62.5,3.52,8.25,5.25,10.25
Ornn,14,14,70,0,28,100.0,98.0,5.0,0.0,2.0
Irelia,30,22,284,252,300,73.33,2.32,9.47,8.4,10.0
Zeri,2,2,22,14,20,100.0,3.0,11.0,7.0,10.0
Kayle,32,14,282,134,110,43.75,2.93,8.81,4.19,3.44
Singed,10,8,88,54,60,80.0,2.74,8.8,5.4,6.0
Mordekaiser,2,2,10,10,26,100.0,3.6,5.0,5.0,13.0
Sejuani,8,8,88,32,56,100.0,4.5,11.0,4.0,7.0
Teemo,2,0,4,8,4,0.0,1.0,2.0,4.0,2.0
Tahm Kench,2,2,20,12,16,100.0,3.0,10.0,6.0,8.0
Fiora,2,2,24,16,10,100.0,2.12,12.0,8.0,5.0
Aurelion Sol,18,0,100,98,56,0.0,1.59,5.56,5.44,3.11
Yorick,16,4,34,44,36,25.0,1.59,2.12,2.75,2.25
Garen,4,0,8,20,4,0.0,0.6,2.0,5.0,1.0
Tristana,14,2,82,70,68,14.29,2.14,5.86,5.0,4.86
KogMaw,2,0,2,26,24,0.0,1.0,1.0,13.0,12.0
Sett,4,4,38,20,44,100.0,4.1,9.5,5.0,11.0
Quinn,8,0,58,74,28,0.0,1.16,7.25,9.25,3.5
Morgana,2,2,28,14,22,100.0,3.57,14.0,7.0,11.0
Jhin,2,2,10,2,18,100.0,14.0,5.0,1.0,9.0
Kalista,4,0,52,36,12,0.0,1.78,13.0,9.0,3.0
Lucian,18,18,154,108,140,100.0,2.72,8.56,6.0,7.78
Nasus,4,4,16,16,8,100.0,1.5,4.0,4.0,2.0
Ziggs,20,0,120,80,110,0.0,2.88,6.0,4.0,5.5
Shen,2,2,12,2,18,100.0,15.0,6.0,1.0,9.0
Sion,18,8,100,80,120,44.44,2.75,5.56,4.44,6.67
Gwen,2,0,2,6,4,0.0,1.0,1.0,3.0,2.0
Fiddlesticks,4,0,16,12,44,0.0,5.0,4.0,3.0,11.0
