opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Jax,16,0,48,160,160,0.0,1.3,3.0,10.0,10.0
Gnar,10,10,120,56,90,100.0,3.75,12.0,5.6,9.0
Ryze,10,10,110,60,170,100.0,4.67,11.0,6.0,17.0
Jayce,10,8,48,58,98,80.0,2.52,4.8,5.8,9.8
Gangplank,6,6,72,30,108,100.0,6.0,12.0,5.0,18.0
Ambessa,2,2,2,14,6,100.0,0.57,1.0,7.0,3.0
Neeko,2,0,10,8,10,0.0,2.5,5.0,4.0,5.0
Kled,4,0,0,20,12,0.0,0.6,0.0,5.0,3.0
Zed,2,0,6,20,28,0.0,1.7,3.0,10.0,14.0
Poppy,4,4,20,24,44,100.0,2.67,5.0,6.0,11.0
