opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Cassiopeia,2,2,14,14,16,100.0,2.14,7.0,7.0,8.0
Soraka,6,6,36,24,24,100.0,2.5,6.0,4.0,4.0
Mel,4,2,50,50,32,50.0,1.64,12.5,12.5,8.0
Zoe,4,0,8,20,0,0.0,0.4,2.0,5.0,0.0
Aurora,4,0,20,52,16,0.0,0.69,5.0,13.0,4.0
Fizz,4,0,26,40,16,0.0,1.05,6.5,10.0,4.0
Sylas,4,4,76,56,56,100.0,2.36,19.0,14.0,14.0
Zed,6,6,24,72,18,100.0,0.58,4.0,12.0,3.0
Yasuo,2,0,28,26,8,0.0,1.38,14.0,13.0,4.0
Twisted Fate,4,4,68,48,24,100.0,1.92,17.0,12.0,6.0
Irelia,2,0,6,18,4,0.0,0.56,3.0,9.0,2.0
Xerath,4,4,44,24,56,100.0,4.17,11.0,6.0,14.0
Vladimir,2,0,0,14,4,0.0,0.29,0.0,7.0,2.0
Nasus,4,4,76,24,24,100.0,4.17,19.0,6.0,6.0
Annie,2,0,28,22,18,0.0,2.09,14.0,11.0,9.0
