opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Corki,2,2,4,6,4,100.0,1.33,2.0,3.0,2.0
Nidalee,4,0,4,32,8,0.0,0.38,1.0,8.0,2.0
Zed,10,10,60,80,70,100.0,1.62,6.0,8.0,7.0
Ahri,2,0,20,16,6,0.0,1.62,10.0,8.0,3.0
Hwei,6,2,22,14,18,33.33,2.86,3.67,2.33,3.0
Karma,2,0,18,22,12,0.0,1.36,9.0,11.0,6.0
Mel,6,6,24,12,22,100.0,3.83,4.0,2.0,3.67
Yorick,4,4,16,4,0,100.0,4.0,4.0,1.0,0.0
Viktor,6,0,46,46,28,0.0,1.61,7.67,7.67,4.67
LeBlanc,4,0,8,16,8,0.0,1.0,2.0,4.0,2.0
Pantheon,4,2,14,18,26,50.0,2.22,3.5,4.5,6.5
Sylas,12,0,88,102,134,0.0,2.18,7.33,8.5,11.17
Azir,2,0,2,8,0,0.0,0.25,1.0,4.0,0.0
Gragas,2,0,4,16,4,0.0,0.5,2.0,8.0,2.0
Aurora,2,0,6,14,6,0.0,0.86,3.0,7.0,3.0
Jayce,4,4,40,36,28,100.0,1.89,10.0,9.0,7.0
Taliyah,2,2,16,14,16,100.0,2.29,8.0,7.0,8.0
Fizz,4,4,12,22,30,100.0,1.91,3.0,5.5,7.5
Vayne,2,2,10,16,12,100.0,1.38,5.0,8.0,6.0
