opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Viktor,46,8,146,292,250,17.39,1.36,3.17,6.35,5.43
Zoe,32,0,72,206,260,0.0,1.61,2.25,6.44,8.12
Aurora,34,24,88,138,308,70.59,2.87,2.59,4.06,9.06
Azir,78,46,262,344,824,58.97,3.16,3.36,4.41,10.56
Aatrox,10,0,50,40,40,0.0,2.25,5.0,4.0,4.0
Gwen,18,18,18,90,198,100.0,2.4,1.0,5.0,11.0
Yone,58,42,234,314,660,72.41,2.85,4.03,5.41,11.38
Annie,30,16,72,114,242,53.33,2.75,2.4,3.8,8.07
Yunara,22,16,114,100,186,72.73,3.0,5.18,4.55,8.45
Orianna,70,28,168,246,582,40.0,3.05,2.4,3.51,8.31
Caitlyn,10,0,20,40,30,0.0,1.25,2.0,4.0,3.0
Lux,54,28,146,282,372,51.85,1.84,2.7,5.22,6.89
Taliyah,36,10,86,130,340,27.78,3.28,2.39,3.61,9.44
Akali,52,30,168,202,494,57.69,3.28,3.23,3.88,9.5
Yasuo,50,28,214,284,584,56.0,2.81,4.28,5.68,11.68
Akshan,26,4,100,202,294,15.38,1.95,3.85,7.77,11.31
Ziggs,16,16,34,16,104,100.0,8.62,2.12,1.0,6.5
Sylas,74,40,304,324,844,54.05,3.54,4.11,4.38,11.41
KogMaw,12,0,48,72,48,0.0,1.33,4.0,6.0,4.0
Diana,22,4,46,100,100,18.18,1.46,2.09,4.55,4.55
Corki,24,10,60,94,190,41.67,2.66,2.5,3.92,7.92
Ryze,36,24,148,168,302,66.67,2.68,4.11,4.67,8.39
Naafiri,12,12,20,24,192,100.0,8.83,1.67,2.0,16.0
Veigar,12,6,24,18,30,50.0,3.0,2.0,1.5,2.5
Ekko,34,14,120,164,284,41.18,2.46,3.53,4.82,8.35
Syndra,58,18,292,240,450,31.03,3.09,5.03,4.14,7.76
Twisted Fate,62,20,206,282,422,32.26,2.23,3.32,4.55,6.81
LeBlanc,24,14,52,120,226,58.33,2.32,2.17,5.0,9.42
Kennen,12,8,12,64,120,66.67,2.06,1.0,5.33,10.0
Chogath,6,4,14,20,72,66.67,4.3,2.33,3.33,12.0
Lucian,14,2,78,38,170,14.29,6.53,5.57,2.71,12.14
Galio,26,12,98,154,316,46.15,2.69,3.77,5.92,12.15
Jayce,4,2,26,10,36,50.0,6.2,6.5,2.5,9.0
Tryndamere,8,8,24,22,88,100.0,5.09,3.0,2.75,11.0
Lissandra,16,4,44,72,150,25.0,2.69,2.75,4.5,9.38
Zed,30,14,114,136,212,46.67,2.4,3.8,4.53,7.07
Ahri,42,24,160,134,316,57.14,3.55,3.81,3.19,7.52
Hwei,50,28,148,302,594,56.0,2.46,2.96,6.04,11.88
Kindred,4,4,16,16,52,100.0,4.25,4.0,4.0,13.0
Mel,22,16,120,160,184,72.73,1.9,5.45,7.27,8.36
Kassadin,24,2,8,78,124,8.33,1.69,0.33,3.25,5.17
Katarina,16,6,60,104,128,37.5,1.81,3.75,6.5,8.0
Ezreal,4,4,24,12,48,100.0,6.0,6.0,3.0,12.0
Pyke,2,2,14,2,36,100.0,25.0,7.0,1.0,18.0
Gragas,14,4,48,76,80,28.57,1.68,3.43,5.43,5.71
Xerath,12,8,96,60,146,66.67,4.03,8.0,5.0,12.17
Ashe,2,2,6,6,8,100.0,2.33,3.0,3.0,4.0
Tristana,8,4,16,44,52,50.0,1.55,2.0,5.5,6.5
Irelia,8,4,28,32,74,50.0,3.19,3.5,4.0,9.25
Ambessa,2,2,8,2,18,100.0,13.0,4.0,1.0,9.0
Gangplank,6,0,0,24,24,0.0,1.0,0.0,4.0,4.0
Vladimir,56,28,258,262,512,50.0,2.94,4.61,4.68,9.14
Zilean,36,26,104,96,466,72.22,5.94,2.89,2.67,12.94
Qiyana,14,6,60,96,128,42.86,1.96,4.29,6.86,9.14
Riven,4,4,12,4,24,100.0,9.0,3.0,1.0,6.0
Morgana,2,0,4,8,10,0.0,1.75,2.0,4.0,5.0
Talon,2,0,8,10,6,0.0,1.4,4.0,5.0,3.0
Kayle,36,24,220,156,346,66.67,3.63,6.11,4.33,9.61
Vex,10,10,34,68,170,100.0,3.0,3.4,6.8,17.0
Kaisa,2,0,6,6,0,0.0,1.0,3.0,3.0,0.0
Malzahar,22,22,42,42,448,100.0,11.67,1.91,1.91,20.36
Viego,6,0,42,24,66,0.0,4.5,7.0,4.0,11.0
Kalista,2,2,10,14,34,100.0,3.14,5.0,7.0,17.0
Anivia,4,0,8,30,28,0.0,1.2,2.0,7.5,7.0
Fizz,16,0,70,94,222,0.0,3.11,4.38,5.88,13.88
Neeko,8,6,26,28,90,75.0,4.14,3.25,3.5,11.25
Kled,12,12,48,12,48,100.0,8.0,4.0,1.0,4.0
Swain,4,4,20,4,48,100.0,17.0,5.0,1.0,12.0
Smolder,4,4,4,24,84,100.0,3.67,1.0,6.0,21.0
Ornn,2,0,0,12,8,0.0,0.67,0.0,6.0,4.0
Sion,2,0,12,12,14,0.0,2.17,6.0,6.0,7.0
Brand,2,0,4,10,10,0.0,1.4,2.0,5.0,5.0
