opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ahri,6,0,12,30,30,0.0,1.4,2.0,5.0,5.0
Kassadin,10,4,24,34,32,40.0,1.65,2.4,3.4,3.2
Orianna,16,0,80,112,96,0.0,1.57,5.0,7.0,6.0
Akshan,22,0,140,210,154,0.0,1.4,6.36,9.55,7.0
Azir,8,0,16,64,64,0.0,1.25,2.0,8.0,8.0
Morgana,2,0,4,12,2,0.0,0.5,2.0,6.0,1.0
Hwei,12,8,124,56,108,66.67,4.14,10.33,4.67,9.0
Malzahar,12,10,154,72,116,83.33,3.75,12.83,6.0,9.67
Heimerdinger,6,0,24,48,36,0.0,1.25,4.0,8.0,6.0
Corki,4,0,12,36,24,0.0,1.0,3.0,9.0,6.0
Diana,2,2,18,10,20,100.0,3.8,9.0,5.0,10.0
Ryze,36,6,168,222,170,16.67,1.52,4.67,6.17,4.72
Swain,2,2,4,10,18,100.0,2.2,2.0,5.0,9.0
Wukong,2,0,14,24,32,0.0,1.92,7.0,12.0,16.0
Vayne,2,2,8,8,18,100.0,3.25,4.0,4.0,9.0
Fizz,8,6,62,82,68,75.0,1.59,7.75,10.25,8.5
Sylas,2,0,8,18,2,0.0,0.56,4.0,9.0,1.0
Ekko,6,0,44,50,46,0.0,1.8,7.33,8.33,7.67
Galio,16,16,36,72,192,100.0,3.17,2.25,4.5,12.0
Taliyah,22,16,196,148,220,72.73,2.81,8.91,6.73,10.0
Aurora,10,2,30,58,28,20.0,1.0,3.0,5.8,2.8
KogMaw,2,0,14,22,16,0.0,1.36,7.0,11.0,8.0
Ziggs,6,0,36,60,24,0.0,1.0,6.0,10.0,4.0
Kindred,2,0,24,26,26,0.0,1.92,12.0,13.0,13.0
Viktor,26,6,126,186,224,23.08,1.88,4.85,7.15,8.62
Akali,24,2,82,176,92,8.33,0.99,3.42,7.33,3.83
Kayle,8,0,40,32,32,0.0,2.25,5.0,4.0,4.0
Lux,2,2,2,4,4,100.0,1.5,1.0,2.0,2.0
Vladimir,6,6,36,48,50,100.0,1.79,6.0,8.0,8.33
Ambessa,2,2,22,14,20,100.0,3.0,11.0,7.0,10.0
Zed,2,0,4,14,18,0.0,1.57,2.0,7.0,9.0
LeBlanc,10,6,28,58,42,60.0,1.21,2.8,5.8,4.2
Xerath,2,2,32,24,14,100.0,1.92,16.0,12.0,7.0
Lissandra,8,4,48,64,92,50.0,2.19,6.0,8.0,11.5
Irelia,4,4,8,16,20,100.0,1.75,2.0,4.0,5.0
Yone,6,0,36,58,36,0.0,1.24,6.0,9.67,6.0
Yasuo,8,2,36,70,58,25.0,1.34,4.5,8.75,7.25
Twitch,16,16,208,128,144,100.0,2.75,13.0,8.0,9.0
Zoe,14,4,68,94,48,28.57,1.23,4.86,6.71,3.43
Syndra,16,12,116,152,160,75.0,1.82,7.25,9.5,10.0
Twisted Fate,4,0,18,44,22,0.0,0.91,4.5,11.0,5.5
Cassiopeia,2,0,8,12,0,0.0,0.67,4.0,6.0,0.0
