opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Viktor,148,66,962,654,710,44.59,2.56,6.5,4.42,4.8
Ryze,120,40,760,574,624,33.33,2.41,6.33,4.78,5.2
Vex,48,24,394,304,146,50.0,1.78,8.21,6.33,3.04
Karthus,10,6,60,20,16,60.0,3.8,6.0,2.0,1.6
Lee Sin,20,20,244,138,166,100.0,2.97,12.2,6.9,8.3
Ahri,152,96,974,700,680,63.16,2.36,6.41,4.61,4.47
Syndra,160,62,782,798,784,38.75,1.96,4.89,4.99,4.9
Akali,46,18,242,228,210,39.13,1.98,5.26,4.96,4.57
Veigar,96,60,758,566,448,62.5,2.13,7.9,5.9,4.67
Aurora,102,60,538,406,496,58.82,2.55,5.27,3.98,4.86
Orianna,124,72,1018,556,674,58.06,3.04,8.21,4.48,5.44
KSante,20,8,42,100,80,40.0,1.22,2.1,5.0,4.0
Tristana,46,22,226,212,226,47.83,2.13,4.91,4.61,4.91
Tryndamere,12,10,40,58,34,83.33,1.28,3.33,4.83,2.83
Vayne,8,2,26,36,20,25.0,1.28,3.25,4.5,2.5
Fizz,58,20,366,448,326,34.48,1.54,6.31,7.72,5.62
Azir,116,26,678,482,364,22.41,2.16,5.84,4.16,3.14
Nasus,8,6,40,28,34,75.0,2.64,5.0,3.5,4.25
Naafiri,28,10,212,116,158,35.71,3.19,7.57,4.14,5.64
Corki,118,48,800,526,598,40.68,2.66,6.78,4.46,5.07
Zac,22,0,138,130,52,0.0,1.46,6.27,5.91,2.36
Annie,66,54,504,258,402,81.82,3.51,7.64,3.91,6.09
Ekko,76,56,482,324,390,73.68,2.69,6.34,4.26,5.13
Xerath,78,54,598,298,434,69.23,3.46,7.67,3.82,5.56
Pyke,2,2,18,4,4,100.0,5.5,9.0,2.0,2.0
Hwei,108,78,946,488,556,72.22,3.08,8.76,4.52,5.15
Zilean,16,6,42,12,16,37.5,4.83,2.62,0.75,1.0
Sylas,166,78,1148,912,1140,46.99,2.51,6.92,5.49,6.87
Mel,88,34,488,450,414,38.64,2.0,5.55,5.11,4.7
Kayle,46,38,262,168,236,82.61,2.96,5.7,3.65,5.13
Twisted Fate,102,42,846,502,538,41.18,2.76,8.29,4.92,5.27
Briar,8,8,72,16,58,100.0,8.12,9.0,2.0,7.25
Kled,10,10,66,30,46,100.0,3.73,6.6,3.0,4.6
Talon,54,10,130,336,186,18.52,0.94,2.41,6.22,3.44
Akshan,54,26,310,206,298,48.15,2.95,5.74,3.81,5.52
Garen,2,2,8,12,8,100.0,1.33,4.0,6.0,4.0
Malzahar,32,30,298,120,236,93.75,4.45,9.31,3.75,7.38
Olaf,8,0,72,48,24,0.0,2.0,9.0,6.0,3.0
Nilah,8,0,24,32,0,0.0,0.75,3.0,4.0,0.0
Varus,2,2,10,14,16,100.0,1.86,5.0,7.0,8.0
Neeko,18,10,118,72,84,55.56,2.81,6.56,4.0,4.67
Taliyah,162,72,1266,780,836,44.44,2.69,7.81,4.81,5.16
Vladimir,180,44,952,934,844,24.44,1.92,5.29,5.19,4.69
Heimerdinger,6,0,18,22,20,0.0,1.73,3.0,3.67,3.33
Smolder,72,36,526,300,266,50.0,2.64,7.31,4.17,3.69
Yone,152,70,1096,702,692,46.05,2.55,7.21,4.62,4.55
Katarina,136,78,880,740,794,57.35,2.26,6.47,5.44,5.84
Nunu & Willump,4,2,16,24,22,50.0,1.58,4.0,6.0,5.5
Galio,30,10,210,130,170,33.33,2.92,7.0,4.33,5.67
Brand,4,0,4,12,8,0.0,1.0,1.0,3.0,2.0
Anivia,46,26,348,200,250,56.52,2.99,7.57,4.35,5.43
Zed,64,38,546,266,326,59.38,3.28,8.53,4.16,5.09
Ivern,4,0,24,28,18,0.0,1.5,6.0,7.0,4.5
Qiyana,58,18,220,308,202,31.03,1.37,3.79,5.31,3.48
Ziggs,18,14,118,46,108,77.78,4.91,6.56,2.56,6.0
Lissandra,50,34,432,198,248,68.0,3.43,8.64,3.96,4.96
LeBlanc,86,54,490,342,414,62.79,2.64,5.7,3.98,4.81
Gwen,4,0,36,24,20,0.0,2.33,9.0,6.0,5.0
Jayce,60,32,554,320,326,53.33,2.75,9.23,5.33,5.43
Lux,78,34,552,348,334,43.59,2.55,7.08,4.46,4.28
Yasuo,72,44,550,318,386,61.11,2.94,7.64,4.42,5.36
Kennen,6,2,20,18,18,33.33,2.11,3.33,3.0,3.0
Swain,34,10,296,184,242,29.41,2.92,8.71,5.41,7.12
Rumble,2,2,24,6,4,100.0,4.67,12.0,3.0,2.0
VelKoz,6,4,52,24,36,66.67,3.67,8.67,4.0,6.0
Aurelion Sol,44,16,260,224,206,36.36,2.08,5.91,5.09,4.68
Zoe,76,16,464,434,270,21.05,1.69,6.11,5.71,3.55
Diana,24,12,168,116,154,50.0,2.78,7.0,4.83,6.42
Quinn,10,4,62,50,44,40.0,2.12,6.2,5.0,4.4
Karma,24,22,108,58,108,91.67,3.72,4.5,2.42,4.5
Aatrox,4,0,20,20,14,0.0,1.7,5.0,5.0,3.5
Jhin,2,0,0,8,8,0.0,1.0,0.0,4.0,4.0
Sion,2,0,6,8,6,0.0,1.5,3.0,4.0,3.0
Caitlyn,8,6,84,30,70,75.0,5.13,10.5,3.75,8.75
Ambessa,14,4,92,94,84,28.57,1.87,6.57,6.71,6.0
Zeri,2,2,6,0,2,100.0,8.0,3.0,0.0,1.0
Yunara,18,12,122,102,74,66.67,1.92,6.78,5.67,4.11
Chogath,6,0,52,24,20,0.0,3.0,8.67,4.0,3.33
Draven,16,16,176,128,112,100.0,2.25,11.0,8.0,7.0
Morgana,2,0,16,14,16,0.0,2.29,8.0,7.0,8.0
Singed,4,0,18,26,26,0.0,1.69,4.5,6.5,6.5
Kaisa,2,0,14,18,18,0.0,1.78,7.0,9.0,9.0
Cassiopeia,12,8,110,56,52,66.67,2.89,9.17,4.67,4.33
Nidalee,8,6,64,46,86,75.0,3.26,8.0,5.75,10.75
Twitch,8,4,58,44,46,50.0,2.36,7.25,5.5,5.75
Irelia,32,4,170,180,154,12.5,1.8,5.31,5.62,4.81
Pantheon,6,2,28,18,26,33.33,3.0,4.67,3.0,4.33
Shen,8,8,32,32,40,100.0,2.25,4.0,4.0,5.0
Lucian,18,8,120,76,66,44.44,2.45,6.67,4.22,3.67
KogMaw,2,2,20,6,16,100.0,6.0,10.0,3.0,8.0
Camille,2,2,20,0,0,100.0,20.0,10.0,0.0,0.0
Jarvan Iv,2,2,24,18,18,100.0,2.33,12.0,9.0,9.0
Yuumi,2,2,20,10,14,100.0,3.4,10.0,5.0,7.0
