opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sivir,8,4,48,72,140,50.0,2.61,6.0,9.0,17.5
Lucian,20,18,70,122,182,90.0,2.07,3.5,6.1,9.1
Ezreal,28,12,282,166,94,42.86,2.27,10.07,5.93,3.36
Varus,10,6,56,22,26,60.0,3.73,5.6,2.2,2.6
Cassiopeia,2,2,18,16,36,100.0,3.38,9.0,8.0,18.0
Miss Fortune,2,2,16,10,10,100.0,2.6,8.0,5.0,5.0
Zeri,6,6,16,14,44,100.0,4.29,2.67,2.33,7.33
Morgana,2,0,0,8,2,0.0,0.25,0.0,4.0,1.0
Senna,4,4,24,8,28,100.0,6.5,6.0,2.0,7.0
Aphelios,8,4,20,24,36,50.0,2.33,2.5,3.0,4.5
Jhin,14,2,28,70,22,14.29,0.71,2.0,5.0,1.57
Kaisa,24,22,130,72,216,91.67,4.81,5.42,3.0,9.0
Xayah,18,0,108,72,90,0.0,2.75,6.0,4.0,5.0
Jinx,14,14,140,56,84,100.0,4.0,10.0,4.0,6.0
Ziggs,12,12,84,72,96,100.0,2.5,7.0,6.0,8.0
Yunara,14,0,98,70,28,0.0,1.8,7.0,5.0,2.0
Mel,16,0,40,56,68,0.0,1.93,2.5,3.5,4.25
Ashe,4,0,20,16,16,0.0,2.25,5.0,4.0,4.0
Draven,12,12,84,24,84,100.0,7.0,7.0,2.0,7.0
Karthus,8,0,40,32,72,0.0,3.5,5.0,4.0,9.0
Nilah,8,8,16,8,72,100.0,11.0,2.0,1.0,9.0
Seraphine,2,0,0,4,2,0.0,0.5,0.0,2.0,1.0
Tristana,4,2,16,14,18,50.0,2.43,4.0,3.5,4.5
Hwei,2,2,8,6,6,100.0,2.33,4.0,3.0,3.0
