opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Orianna,76,34,474,462,408,44.74,1.91,6.24,6.08,5.37
Caitlyn,10,0,20,20,10,0.0,1.5,2.0,2.0,1.0
Zoe,112,88,814,458,656,78.57,3.21,7.27,4.09,5.86
Viktor,64,42,274,204,312,65.62,2.87,4.28,3.19,4.88
Syndra,128,72,576,584,642,56.25,2.09,4.5,4.56,5.02
Corki,40,20,138,158,218,50.0,2.25,3.45,3.95,5.45
Chogath,24,2,192,110,110,8.33,2.75,8.0,4.58,4.58
Twisted Fate,154,54,868,548,736,35.06,2.93,5.64,3.56,4.78
Taliyah,188,66,822,844,890,35.11,2.03,4.37,4.49,4.73
Azir,226,112,1366,754,1316,49.56,3.56,6.04,3.34,5.82
Akali,116,54,458,506,678,46.55,2.25,3.95,4.36,5.84
Vladimir,146,80,814,510,848,54.79,3.26,5.58,3.49,5.81
Sylas,232,106,1264,1180,1182,45.69,2.07,5.45,5.09,5.09
Neeko,6,2,10,24,8,33.33,0.75,1.67,4.0,1.33
Garen,12,12,96,60,132,100.0,3.8,8.0,5.0,11.0
Ryze,168,96,1226,716,808,57.14,2.84,7.3,4.26,4.81
Ahri,218,104,1228,936,962,47.71,2.34,5.63,4.29,4.41
Ivern,6,6,84,30,18,100.0,3.4,14.0,5.0,3.0
Zac,6,0,30,36,14,0.0,1.22,5.0,6.0,2.33
Ekko,78,40,358,300,390,51.28,2.49,4.59,3.85,5.0
Tristana,116,74,940,436,738,63.79,3.85,8.1,3.76,6.36
Katarina,78,42,580,342,494,53.85,3.14,7.44,4.38,6.33
Vex,38,24,214,148,176,63.16,2.64,5.63,3.89,4.63
Hwei,102,46,630,490,586,45.1,2.48,6.18,4.8,5.75
Kassadin,46,8,188,200,98,17.39,1.43,4.09,4.35,2.13
Aurora,276,162,1596,1088,1416,58.7,2.77,5.78,3.94,5.13
Briar,18,4,150,172,98,22.22,1.44,8.33,9.56,5.44
Diana,28,24,218,104,140,85.71,3.44,7.79,3.71,5.0
Yasuo,110,62,644,442,672,56.36,2.98,5.85,4.02,6.11
Lissandra,20,12,130,96,136,60.0,2.77,6.5,4.8,6.8
Qiyana,66,34,334,368,288,51.52,1.69,5.06,5.58,4.36
Veigar,56,14,360,304,346,25.0,2.32,6.43,5.43,6.18
Yone,126,70,882,504,738,55.56,3.21,7.0,4.0,5.86
Nunu & Willump,6,2,26,30,18,33.33,1.47,4.33,5.0,3.0
Gragas,26,12,158,156,104,46.15,1.68,6.08,6.0,4.0
KSante,16,4,72,98,60,25.0,1.35,4.5,6.12,3.75
Akshan,148,90,1196,600,1056,60.81,3.75,8.08,4.05,7.14
Heimerdinger,6,4,14,16,30,66.67,2.75,2.33,2.67,5.0
Kindred,2,2,14,2,20,100.0,17.0,7.0,1.0,10.0
Soraka,6,6,24,24,42,100.0,2.75,4.0,4.0,7.0
LeBlanc,104,64,682,508,562,61.54,2.45,6.56,4.88,5.4
Fizz,6,2,20,44,48,33.33,1.55,3.33,7.33,8.0
Aatrox,8,0,40,88,16,0.0,0.64,5.0,11.0,2.0
Rumble,2,0,4,18,4,0.0,0.44,2.0,9.0,2.0
Swain,20,12,98,88,98,60.0,2.23,4.9,4.4,4.9
Annie,114,70,502,404,724,61.4,3.03,4.4,3.54,6.35
Pantheon,8,4,42,44,34,50.0,1.73,5.25,5.5,4.25
Mel,80,60,594,368,500,75.0,2.97,7.42,4.6,6.25
Zed,82,40,524,416,478,48.78,2.41,6.39,5.07,5.83
Illaoi,6,6,44,12,34,100.0,6.5,7.33,2.0,5.67
Camille,2,2,8,14,18,100.0,1.86,4.0,7.0,9.0
Ziggs,4,4,10,16,26,100.0,2.25,2.5,4.0,6.5
Sion,6,4,52,20,24,66.67,3.8,8.67,3.33,4.0
Cassiopeia,12,4,52,80,62,33.33,1.43,4.33,6.67,5.17
Kennen,8,6,86,42,104,75.0,4.52,10.75,5.25,13.0
Tryndamere,8,0,32,36,52,0.0,2.33,4.0,4.5,6.5
Smolder,18,14,86,44,140,77.78,5.14,4.78,2.44,7.78
Anivia,16,8,76,80,84,50.0,2.0,4.75,5.0,5.25
Singed,14,8,98,68,68,57.14,2.44,7.0,4.86,4.86
Ambessa,22,10,120,104,150,45.45,2.6,5.45,4.73,6.82
Morgana,24,10,144,98,88,41.67,2.37,6.0,4.08,3.67
KogMaw,6,6,52,8,56,100.0,13.5,8.67,1.33,9.33
Talon,28,14,116,132,170,50.0,2.17,4.14,4.71,6.07
Lux,42,22,232,196,212,52.38,2.27,5.52,4.67,5.05
Jayce,32,18,162,104,210,56.25,3.58,5.06,3.25,6.56
Renekton,8,2,26,40,58,25.0,2.1,3.25,5.0,7.25
Quinn,8,6,32,32,96,75.0,4.0,4.0,4.0,12.0
Aurelion Sol,16,8,124,80,80,50.0,2.55,7.75,5.0,5.0
Irelia,42,24,248,204,306,57.14,2.72,5.9,4.86,7.29
Galio,64,16,252,230,290,25.0,2.36,3.94,3.59,4.53
Karthus,8,8,72,24,80,100.0,6.33,9.0,3.0,10.0
Gangplank,2,0,6,16,14,0.0,1.25,3.0,8.0,7.0
Xerath,18,4,58,84,140,22.22,2.36,3.22,4.67,7.78
Nautilus,2,0,6,14,10,0.0,1.14,3.0,7.0,5.0
Nidalee,6,4,54,38,24,66.67,2.05,9.0,6.33,4.0
VelKoz,2,0,2,8,6,0.0,1.0,1.0,4.0,3.0
Karma,36,12,144,144,116,33.33,1.81,4.0,4.0,3.22
Shen,2,0,4,10,4,0.0,0.8,2.0,5.0,2.0
Malzahar,4,4,28,8,14,100.0,5.25,7.0,2.0,3.5
Riven,10,6,18,22,16,60.0,1.55,1.8,2.2,1.6
Yorick,10,6,42,58,64,60.0,1.83,4.2,5.8,6.4
Dr. Mundo,8,8,128,32,96,100.0,7.0,16.0,4.0,12.0
Seraphine,8,8,38,18,42,100.0,4.44,4.75,2.25,5.25
Lucian,2,2,28,12,10,100.0,3.17,14.0,6.0,5.0
Teemo,2,2,8,0,6,100.0,14.0,4.0,0.0,3.0
Nasus,22,6,106,36,60,27.27,4.61,4.82,1.64,2.73
Fiddlesticks,4,4,50,14,40,100.0,6.43,12.5,3.5,10.0
Zilean,28,10,96,66,48,35.71,2.18,3.43,2.36,1.71
Mordekaiser,18,2,98,80,20,11.11,1.48,5.44,4.44,1.11
Jhin,4,4,28,28,48,100.0,2.71,7.0,7.0,12.0
Naafiri,16,14,104,52,130,87.5,4.5,6.5,3.25,8.12
Kaisa,6,6,102,12,42,100.0,12.0,17.0,2.0,7.0
Malphite,2,2,4,10,18,100.0,2.2,2.0,5.0,9.0
Gwen,2,2,6,10,6,100.0,1.2,3.0,5.0,3.0
Warwick,2,0,20,16,14,0.0,2.12,10.0,8.0,7.0
Yunara,2,2,20,2,8,100.0,14.0,10.0,1.0,4.0
Varus,6,0,8,28,4,0.0,0.43,1.33,4.67,0.67
Jax,4,4,32,12,32,100.0,5.33,8.0,3.0,8.0
Miss Fortune,2,0,12,4,8,0.0,5.0,6.0,2.0,4.0
Ezreal,2,2,20,0,10,100.0,30.0,10.0,0.0,5.0
Sett,2,2,4,2,8,100.0,6.0,2.0,1.0,4.0
