opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Naafiri,6,0,12,30,24,0.0,1.2,2.0,5.0,4.0
Twisted Fate,20,12,52,116,152,60.0,1.76,2.6,5.8,7.6
Corki,8,8,48,64,104,100.0,2.38,6.0,8.0,13.0
Sylas,28,22,130,150,212,78.57,2.28,4.64,5.36,7.57
Orianna,4,0,8,12,4,0.0,1.0,2.0,3.0,1.0
Ekko,20,14,172,80,156,70.0,4.1,8.6,4.0,7.8
Lux,18,0,166,126,40,0.0,1.63,9.22,7.0,2.22
Caitlyn,4,4,20,12,24,100.0,3.67,5.0,3.0,6.0
Akali,18,6,72,110,130,33.33,1.84,4.0,6.11,7.22
Kassadin,10,0,42,48,52,0.0,1.96,4.2,4.8,5.2
Galio,18,14,104,76,110,77.78,2.82,5.78,4.22,6.11
Zoe,8,2,22,44,30,25.0,1.18,2.75,5.5,3.75
Taliyah,8,8,56,48,88,100.0,3.0,7.0,6.0,11.0
Pantheon,4,0,24,20,24,0.0,2.4,6.0,5.0,6.0
Katarina,2,0,8,12,4,0.0,1.0,4.0,6.0,2.0
Ryze,4,0,4,36,16,0.0,0.56,1.0,9.0,4.0
Lucian,2,2,28,14,22,100.0,3.57,14.0,7.0,11.0
Veigar,2,2,22,8,10,100.0,4.0,11.0,4.0,5.0
Diana,2,0,8,18,10,0.0,1.0,4.0,9.0,5.0
Zed,4,0,4,0,0,0.0,4.0,1.0,0.0,0.0
Yone,16,6,92,76,110,37.5,2.66,5.75,4.75,6.88
Syndra,8,4,12,64,44,50.0,0.88,1.5,8.0,5.5
Nidalee,6,6,42,36,36,100.0,2.17,7.0,6.0,6.0
Karma,12,0,12,36,12,0.0,0.67,1.0,3.0,1.0
Aurora,6,0,28,44,18,0.0,1.05,4.67,7.33,3.0
Vladimir,6,6,18,8,8,100.0,3.25,3.0,1.33,1.33
Hwei,8,8,34,14,38,100.0,5.14,4.25,1.75,4.75
Lissandra,2,0,10,14,2,0.0,0.86,5.0,7.0,1.0
Rumble,2,0,4,14,6,0.0,0.71,2.0,7.0,3.0
Yasuo,2,0,6,14,32,0.0,2.71,3.0,7.0,16.0
Akshan,4,0,40,36,40,0.0,2.22,10.0,9.0,10.0
Talon,2,2,8,8,20,100.0,3.5,4.0,4.0,10.0
Briar,2,0,18,14,28,0.0,3.29,9.0,7.0,14.0
