opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Anivia,2,2,14,2,2,100.0,8.0,7.0,1.0,1.0
Urgot,8,8,60,20,46,100.0,5.3,7.5,2.5,5.75
Gangplank,2,0,12,12,24,0.0,3.0,6.0,6.0,12.0
Warwick,6,0,12,22,18,0.0,1.36,2.0,3.67,3.0
Jax,8,8,38,10,26,100.0,6.4,4.75,1.25,3.25
Irelia,4,4,26,8,8,100.0,4.25,6.5,2.0,2.0
Renekton,14,8,68,52,82,57.14,2.88,4.86,3.71,5.86
Tristana,10,10,62,58,160,100.0,3.83,6.2,5.8,16.0
Azir,6,6,42,36,60,100.0,2.83,7.0,6.0,10.0
Zac,8,0,56,16,72,0.0,8.0,7.0,2.0,9.0
Poppy,2,0,18,18,16,0.0,1.89,9.0,9.0,8.0
Ambessa,4,2,14,20,14,50.0,1.4,3.5,5.0,3.5
Ryze,8,6,56,12,22,75.0,6.5,7.0,1.5,2.75
Gwen,4,0,32,20,20,0.0,2.6,8.0,5.0,5.0
Rumble,22,0,50,122,114,0.0,1.34,2.27,5.55,5.18
Vladimir,10,2,46,38,52,20.0,2.58,4.6,3.8,5.2
Nidalee,2,2,2,0,6,100.0,8.0,1.0,0.0,3.0
Singed,2,0,10,14,16,0.0,1.86,5.0,7.0,8.0
Diana,8,0,72,32,40,0.0,3.5,9.0,4.0,5.0
Riven,8,6,88,32,42,75.0,4.06,11.0,4.0,5.25
Malphite,8,0,72,40,40,0.0,2.8,9.0,5.0,5.0
Sion,6,0,22,14,38,0.0,4.29,3.67,2.33,6.33
Aatrox,2,0,8,8,2,0.0,1.25,4.0,4.0,1.0
Sylas,2,2,16,0,22,100.0,38.0,8.0,0.0,11.0
Yone,2,2,26,4,18,100.0,11.0,13.0,2.0,9.0
Dr. Mundo,2,0,12,10,12,0.0,2.4,6.0,5.0,6.0
Vayne,2,2,28,10,22,100.0,5.0,14.0,5.0,11.0
