opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Aatrox,50,34,232,194,210,68.0,2.28,4.64,3.88,4.2
Jax,20,4,62,96,42,20.0,1.08,3.1,4.8,2.1
Shen,12,6,30,72,18,50.0,0.67,2.5,6.0,1.5
Vayne,4,4,32,16,52,100.0,5.25,8.0,4.0,13.0
Aurora,2,0,4,24,12,0.0,0.67,2.0,12.0,6.0
Nasus,20,16,144,128,208,80.0,2.75,7.2,6.4,10.4
Kled,18,10,114,78,96,55.56,2.69,6.33,4.33,5.33
Jayce,18,8,70,132,136,44.44,1.56,3.89,7.33,7.56
Ambessa,80,42,648,416,542,52.5,2.86,8.1,5.2,6.78
Zac,4,0,8,24,0,0.0,0.33,2.0,6.0,0.0
Mordekaiser,10,4,68,66,48,40.0,1.76,6.8,6.6,4.8
Yasuo,32,4,148,274,242,12.5,1.42,4.62,8.56,7.56
Yorick,20,8,140,88,94,40.0,2.66,7.0,4.4,4.7
Rumble,18,8,88,134,104,44.44,1.43,4.89,7.44,5.78
Sion,6,4,52,20,12,66.67,3.2,8.67,3.33,2.0
Teemo,18,16,80,70,140,88.89,3.14,4.44,3.89,7.78
Riven,30,18,190,154,202,60.0,2.55,6.33,5.13,6.73
Gragas,28,2,66,162,58,7.14,0.77,2.36,5.79,2.07
Gwen,26,14,192,122,112,53.85,2.49,7.38,4.69,4.31
Ahri,4,0,24,40,24,0.0,1.2,6.0,10.0,6.0
Warwick,22,4,110,176,94,18.18,1.16,5.0,8.0,4.27
Xin Zhao,2,0,14,14,6,0.0,1.43,7.0,7.0,3.0
Rengar,6,6,102,36,84,100.0,5.17,17.0,6.0,14.0
Gangplank,32,10,238,188,214,31.25,2.4,7.44,5.88,6.69
KSante,24,16,54,166,188,66.67,1.46,2.25,6.92,7.83
Kayle,12,2,28,58,48,16.67,1.31,2.33,4.83,4.0
Quinn,10,6,84,70,86,60.0,2.43,8.4,7.0,8.6
Azir,8,0,26,38,30,0.0,1.47,3.25,4.75,3.75
Chogath,8,8,44,56,68,100.0,2.0,5.5,7.0,8.5
Vladimir,4,0,8,16,4,0.0,0.75,2.0,4.0,1.0
Camille,14,10,90,62,82,71.43,2.77,6.43,4.43,5.86
Darius,6,2,30,62,58,33.33,1.42,5.0,10.33,9.67
Nocturne,6,4,56,26,12,66.67,2.62,9.33,4.33,2.0
Dr. Mundo,10,4,50,48,28,40.0,1.62,5.0,4.8,2.8
Sett,10,10,118,38,66,100.0,4.84,11.8,3.8,6.6
Orianna,4,0,12,44,8,0.0,0.45,3.0,11.0,2.0
Rammus,2,2,12,6,22,100.0,5.67,6.0,3.0,11.0
Yone,14,2,54,60,48,14.29,1.7,3.86,4.29,3.43
Pantheon,4,2,34,32,14,50.0,1.5,8.5,8.0,3.5
Wukong,4,4,8,32,64,100.0,2.25,2.0,8.0,16.0
Garen,10,2,28,46,30,20.0,1.26,2.8,4.6,3.0
Janna,2,2,20,18,16,100.0,2.0,10.0,9.0,8.0
Malphite,4,0,16,24,28,0.0,1.83,4.0,6.0,7.0
Ivern,4,4,36,20,32,100.0,3.4,9.0,5.0,8.0
Singed,6,4,40,24,48,66.67,3.67,6.67,4.0,8.0
Heimerdinger,4,4,36,24,48,100.0,3.5,9.0,6.0,12.0
Trundle,2,0,18,18,16,0.0,1.89,9.0,9.0,8.0
Renekton,46,34,202,216,252,73.91,2.1,4.39,4.7,5.48
Gnar,6,6,72,30,42,100.0,3.8,12.0,5.0,7.0
Ornn,8,2,48,70,22,25.0,1.0,6.0,8.75,2.75
Talon,2,2,44,6,26,100.0,11.67,22.0,3.0,13.0
Tryndamere,14,0,0,56,56,0.0,1.0,0.0,4.0,4.0
Fiora,8,4,30,20,10,50.0,2.0,3.75,2.5,1.25
Sejuani,4,4,44,20,24,100.0,3.4,11.0,5.0,6.0
Elise,6,0,24,42,18,0.0,1.0,4.0,7.0,3.0
Olaf,2,0,24,16,12,0.0,2.25,12.0,8.0,6.0
Fiddlesticks,6,0,12,36,24,0.0,1.0,2.0,6.0,4.0
Viktor,6,6,30,30,18,100.0,1.6,5.0,5.0,3.0
Ryze,6,0,42,36,66,0.0,3.0,7.0,6.0,11.0
Cassiopeia,2,2,8,8,26,100.0,4.25,4.0,4.0,13.0
