opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Jayce,34,6,118,228,130,17.65,1.09,3.47,6.71,3.82
Aurora,4,4,32,16,12,100.0,2.75,8.0,4.0,3.0
Vayne,18,14,154,130,158,77.78,2.4,8.56,7.22,8.78
Riven,4,4,40,12,24,100.0,5.33,10.0,3.0,6.0
Lissandra,10,0,50,104,20,0.0,0.67,5.0,10.4,2.0
Gangplank,76,26,406,524,472,34.21,1.68,5.34,6.89,6.21
Aatrox,2,0,10,10,6,0.0,1.6,5.0,5.0,3.0
Galio,4,4,24,20,24,100.0,2.4,6.0,5.0,6.0
Soraka,2,0,4,16,0,0.0,0.25,2.0,8.0,0.0
Azir,6,6,24,12,30,100.0,4.5,4.0,2.0,5.0
Garen,2,0,4,14,6,0.0,0.71,2.0,7.0,3.0
Irelia,6,6,16,20,52,100.0,3.4,2.67,3.33,8.67
Chogath,4,4,36,0,12,100.0,48.0,9.0,0.0,3.0
Anivia,2,2,2,16,10,100.0,0.75,1.0,8.0,5.0
Olaf,12,2,54,94,76,16.67,1.38,4.5,7.83,6.33
Kennen,12,12,64,48,96,100.0,3.33,5.33,4.0,8.0
Gwen,14,14,56,28,84,100.0,5.0,4.0,2.0,6.0
Malphite,6,2,10,60,34,33.33,0.73,1.67,10.0,5.67
Yorick,10,0,40,70,20,0.0,0.86,4.0,7.0,2.0
Sett,4,4,16,24,20,100.0,1.5,4.0,6.0,5.0
Kayle,8,0,56,32,64,0.0,3.75,7.0,4.0,8.0
Renekton,6,6,12,24,12,100.0,1.0,2.0,4.0,2.0
Fiora,6,6,66,24,24,100.0,3.75,11.0,4.0,4.0
Jax,2,0,2,24,12,0.0,0.58,1.0,12.0,6.0
KSante,4,4,8,12,12,100.0,1.67,2.0,3.0,3.0
