opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zyra,30,16,98,224,342,53.33,1.96,3.27,7.47,11.4
Karma,230,84,778,1344,2650,36.52,2.55,3.38,5.84,11.52
Sylas,8,4,34,46,96,50.0,2.83,4.25,5.75,12.0
Camille,12,12,102,34,240,100.0,10.06,8.5,2.83,20.0
Lulu,154,50,460,926,1636,32.47,2.26,2.99,6.01,10.62
Blitzcrank,86,40,190,502,928,46.51,2.23,2.21,5.84,10.79
Sona,92,48,306,546,1152,52.17,2.67,3.33,5.93,12.52
Fiddlesticks,4,2,8,16,30,50.0,2.38,2.0,4.0,7.5
Seraphine,46,30,132,236,576,65.22,3.0,2.87,5.13,12.52
Trundle,4,0,0,24,16,0.0,0.67,0.0,6.0,4.0
Yone,6,0,28,48,90,0.0,2.46,4.67,8.0,15.0
Milio,134,40,360,822,1280,29.85,2.0,2.69,6.13,9.55
Mel,44,18,128,308,566,40.91,2.25,2.91,7.0,12.86
Rakan,116,78,350,590,1612,67.24,3.33,3.02,5.09,13.9
Neeko,38,34,140,180,438,89.47,3.21,3.68,4.74,11.53
Elise,30,8,108,238,244,26.67,1.48,3.6,7.93,8.13
Nautilus,192,60,562,1232,2106,31.25,2.17,2.93,6.42,10.97
Nami,310,162,1000,1956,3696,52.26,2.4,3.23,6.31,11.92
Bard,140,68,438,828,1394,48.57,2.21,3.13,5.91,9.96
Thresh,148,94,480,772,1548,63.51,2.63,3.24,5.22,10.46
VelKoz,44,18,146,324,490,40.91,1.96,3.32,7.36,11.14
Alistar,88,52,188,498,1162,59.09,2.71,2.14,5.66,13.2
Amumu,8,0,28,48,92,0.0,2.5,3.5,6.0,11.5
Yuumi,46,20,188,250,588,43.48,3.1,4.09,5.43,12.78
Poppy,34,16,104,198,412,47.06,2.61,3.06,5.82,12.12
Leona,62,46,224,348,826,74.19,3.02,3.61,5.61,13.32
Rell,94,32,252,600,1056,34.04,2.18,2.68,6.38,11.23
Tahm Kench,20,14,52,66,216,70.0,4.06,2.6,3.3,10.8
Braum,82,42,238,422,986,51.22,2.9,2.9,5.15,12.02
Janna,76,42,166,274,598,55.26,2.79,2.18,3.61,7.87
Senna,64,44,242,336,874,68.75,3.32,3.78,5.25,13.66
Zilean,98,50,268,530,1180,51.02,2.73,2.73,5.41,12.04
Soraka,94,32,178,532,838,34.04,1.91,1.89,5.66,8.91
Pyke,84,30,202,738,1260,35.71,1.98,2.4,8.79,15.0
Shen,2,0,14,14,24,0.0,2.71,7.0,7.0,12.0
Anivia,2,0,12,14,32,0.0,3.14,6.0,7.0,16.0
Pantheon,18,8,54,98,240,44.44,3.0,3.0,5.44,13.33
Gragas,18,8,36,72,188,44.44,3.11,2.0,4.0,10.44
Ashe,2,0,0,8,14,0.0,1.75,0.0,4.0,7.0
Brand,8,4,30,50,104,50.0,2.68,3.75,6.25,13.0
Swain,32,12,72,196,320,37.5,2.0,2.25,6.12,10.0
Heimerdinger,2,2,2,12,18,100.0,1.67,1.0,6.0,9.0
Morgana,28,12,80,112,258,42.86,3.02,2.86,4.0,9.21
Galio,10,2,20,64,78,20.0,1.53,2.0,6.4,7.8
Urgot,10,10,60,80,280,100.0,4.25,6.0,8.0,28.0
Renata,22,8,80,104,258,36.36,3.25,3.64,4.73,11.73
Xerath,8,6,22,24,80,75.0,4.25,2.75,3.0,10.0
Jarvan Iv,2,2,2,6,12,100.0,2.33,1.0,3.0,6.0
Maokai,36,8,132,340,312,22.22,1.31,3.67,9.44,8.67
Taric,10,6,12,50,136,60.0,2.96,1.2,5.0,13.6
LeBlanc,12,6,50,82,132,50.0,2.22,4.17,6.83,11.0
Garen,2,2,4,6,40,100.0,7.33,2.0,3.0,20.0
Zoe,4,0,16,36,24,0.0,1.11,4.0,9.0,6.0
Hwei,2,2,4,14,48,100.0,3.71,2.0,7.0,24.0
Annie,14,14,98,14,140,100.0,17.0,7.0,1.0,10.0
Twisted Fate,2,2,10,6,30,100.0,6.67,5.0,3.0,15.0
Taliyah,2,2,2,20,36,100.0,1.9,1.0,10.0,18.0
Malphite,2,2,6,20,38,100.0,2.2,3.0,10.0,19.0
Shaco,4,2,18,20,44,50.0,3.1,4.5,5.0,11.0
Nidalee,2,2,6,10,34,100.0,4.0,3.0,5.0,17.0
Rumble,2,0,2,12,16,0.0,1.5,1.0,6.0,8.0
Veigar,2,2,2,16,22,100.0,1.5,1.0,8.0,11.0
Vex,2,0,8,24,24,0.0,1.33,4.0,12.0,12.0
Twitch,2,2,6,8,40,100.0,5.75,3.0,4.0,20.0
