opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Nami,18,16,26,112,252,88.89,2.48,1.44,6.22,14.0
Alistar,12,10,68,64,184,83.33,3.94,5.67,5.33,15.33
Rakan,10,10,40,110,100,100.0,1.27,4.0,11.0,10.0
Taric,2,2,8,14,42,100.0,3.57,4.0,7.0,21.0
Thresh,2,2,14,6,28,100.0,7.0,7.0,3.0,14.0
Sona,8,8,24,8,88,100.0,14.0,3.0,1.0,11.0
Bard,6,6,42,50,42,100.0,1.68,7.0,8.33,7.0
Karma,4,2,14,22,40,50.0,2.45,3.5,5.5,10.0
Milio,2,2,6,4,10,100.0,4.0,3.0,2.0,5.0
Lux,2,0,12,18,18,0.0,1.67,6.0,9.0,9.0
