opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Akali,18,2,66,124,166,11.11,1.87,3.67,6.89,9.22
Vladimir,16,2,62,126,142,12.5,1.62,3.88,7.88,8.88
Ambessa,18,0,36,78,56,0.0,1.18,2.0,4.33,3.11
Rumble,4,0,0,36,28,0.0,0.78,0.0,9.0,7.0
Jayce,16,8,88,100,116,50.0,2.04,5.5,6.25,7.25
Wukong,2,0,4,12,8,0.0,1.0,2.0,6.0,4.0
Heimerdinger,8,8,90,38,74,100.0,4.32,11.25,4.75,9.25
Karma,8,6,36,26,24,75.0,2.31,4.5,3.25,3.0
Gragas,6,0,12,46,16,0.0,0.61,2.0,7.67,2.67
Aurora,20,6,100,128,160,30.0,2.03,5.0,6.4,8.0
Sett,2,0,4,28,6,0.0,0.36,2.0,14.0,3.0
Nautilus,2,2,18,12,22,100.0,3.33,9.0,6.0,11.0
Azir,4,0,12,36,48,0.0,1.67,3.0,9.0,12.0
Kennen,14,10,26,34,58,71.43,2.47,1.86,2.43,4.14
Gnar,10,2,12,88,32,20.0,0.5,1.2,8.8,3.2
Teemo,8,4,38,42,40,50.0,1.86,4.75,5.25,5.0
Urgot,2,0,6,16,20,0.0,1.62,3.0,8.0,10.0
KSante,10,2,26,28,28,20.0,1.93,2.6,2.8,2.8
Singed,2,0,4,10,2,0.0,0.6,2.0,5.0,1.0
Dr. Mundo,4,4,8,16,34,100.0,2.62,2.0,4.0,8.5
Quinn,4,0,8,20,0,0.0,0.4,2.0,5.0,0.0
Shen,4,2,4,18,6,50.0,0.56,1.0,4.5,1.5
Cassiopeia,2,2,8,10,18,100.0,2.6,4.0,5.0,9.0
Renekton,2,0,6,8,8,0.0,1.75,3.0,4.0,4.0
Sion,6,0,18,60,36,0.0,0.9,3.0,10.0,6.0
Malphite,8,0,8,48,56,0.0,1.33,1.0,6.0,7.0
Akshan,8,0,56,48,56,0.0,2.33,7.0,6.0,7.0
Ryze,10,4,36,24,44,40.0,3.33,3.6,2.4,4.4
Camille,2,2,2,8,10,100.0,1.5,1.0,4.0,5.0
Chogath,2,2,14,10,8,100.0,2.2,7.0,5.0,4.0
Warwick,4,2,4,22,40,50.0,2.0,1.0,5.5,10.0
Fiora,14,0,14,84,112,0.0,1.5,1.0,6.0,8.0
Elise,2,2,14,6,18,100.0,5.33,7.0,3.0,9.0
Volibear,8,0,0,56,64,0.0,1.14,0.0,7.0,8.0
Kayle,4,4,12,2,36,100.0,24.0,3.0,0.5,9.0
Soraka,2,0,0,8,0,0.0,0.0,0.0,4.0,0.0
Smolder,2,2,12,4,16,100.0,7.0,6.0,2.0,8.0
Ekko,2,0,6,14,10,0.0,1.14,3.0,7.0,5.0
