opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Annie,140,28,822,560,518,20.0,2.39,5.87,4.0,3.7
Ahri,492,242,4114,2664,2872,49.19,2.62,8.36,5.41,5.84
Hwei,264,116,2108,1218,1264,43.94,2.77,7.98,4.61,4.79
Zoe,360,100,2848,2098,1854,27.78,2.24,7.91,5.83,5.15
Gwen,8,6,76,22,68,75.0,6.55,9.5,2.75,8.5
Ryze,150,78,1066,712,806,52.0,2.63,7.11,4.75,5.37
Neeko,44,34,530,160,160,77.27,4.31,12.05,3.64,3.64
Lux,272,120,2288,1438,1286,44.12,2.49,8.41,5.29,4.73
Orianna,222,100,1606,1052,952,45.05,2.43,7.23,4.74,4.29
Varus,20,0,74,104,52,0.0,1.21,3.7,5.2,2.6
Yunara,26,24,314,78,256,92.31,7.31,12.08,3.0,9.85
Sylas,282,86,1730,1474,1274,30.5,2.04,6.13,5.23,4.52
Corki,110,58,690,488,476,52.73,2.39,6.27,4.44,4.33
Twisted Fate,372,164,3098,1670,1614,44.09,2.82,8.33,4.49,4.34
Aurora,264,122,1998,1402,1234,46.21,2.31,7.57,5.31,4.67
Azir,228,108,1478,1104,1110,47.37,2.34,6.48,4.84,4.87
KSante,28,2,94,34,72,7.14,4.88,3.36,1.21,2.57
Veigar,100,58,892,370,482,58.0,3.71,8.92,3.7,4.82
Viktor,338,108,2060,1832,1456,31.95,1.92,6.09,5.42,4.31
Qiyana,74,30,460,404,260,40.54,1.78,6.22,5.46,3.51
Ekko,118,50,932,624,664,42.37,2.56,7.9,5.29,5.63
Pantheon,26,14,222,176,156,53.85,2.15,8.54,6.77,6.0
Vladimir,136,70,1184,636,738,51.47,3.02,8.71,4.68,5.43
Yone,246,100,2184,1446,1342,40.65,2.44,8.88,5.88,5.46
Tristana,38,16,402,150,160,42.11,3.75,10.58,3.95,4.21
Naafiri,22,8,144,98,88,36.36,2.37,6.55,4.45,4.0
Yasuo,228,130,2098,1252,1558,57.02,2.92,9.2,5.49,6.83
Chogath,26,14,120,138,168,53.85,2.09,4.62,5.31,6.46
Anivia,58,34,490,260,316,58.62,3.1,8.45,4.48,5.45
Irelia,136,52,1028,836,744,38.24,2.12,7.56,6.15,5.47
Galio,170,70,1342,922,978,41.18,2.52,7.89,5.42,5.75
Taliyah,318,160,2532,1616,1676,50.31,2.6,7.96,5.08,5.27
Katarina,220,92,1758,1272,1276,41.82,2.39,7.99,5.78,5.8
Kassadin,88,54,602,372,392,61.36,2.67,6.84,4.23,4.45
Syndra,188,96,1374,852,876,51.06,2.64,7.31,4.53,4.66
Heimerdinger,14,0,92,46,22,0.0,2.48,6.57,3.29,1.57
Akali,218,88,1364,1188,968,40.37,1.96,6.26,5.45,4.44
Riven,8,6,82,46,62,75.0,3.13,10.25,5.75,7.75
Ambessa,44,14,292,234,174,31.82,1.99,6.64,5.32,3.95
Lissandra,78,44,596,532,434,56.41,1.94,7.64,6.82,5.56
Zed,172,76,1226,948,720,44.19,2.05,7.13,5.51,4.19
LeBlanc,106,58,742,634,596,54.72,2.11,7.0,5.98,5.62
Jayce,70,28,536,346,336,40.0,2.52,7.66,4.94,4.8
Nunu & Willump,2,0,8,10,6,0.0,1.4,4.0,5.0,3.0
Ivern,14,6,148,76,48,42.86,2.58,10.57,5.43,3.43
Tryndamere,14,2,118,82,52,14.29,2.07,8.43,5.86,3.71
Morgana,10,4,30,62,46,40.0,1.23,3.0,6.2,4.6
Akshan,98,40,648,482,462,40.82,2.3,6.61,4.92,4.71
Thresh,4,0,28,20,0,0.0,1.4,7.0,5.0,0.0
Zilean,20,18,216,68,156,90.0,5.47,10.8,3.4,7.8
Zac,4,4,32,12,16,100.0,4.0,8.0,3.0,4.0
Vayne,8,8,50,42,36,100.0,2.05,6.25,5.25,4.5
Vex,48,24,436,240,278,50.0,2.98,9.08,5.0,5.79
Fizz,62,16,362,310,152,25.81,1.66,5.84,5.0,2.45
Swain,26,12,222,128,102,46.15,2.53,8.54,4.92,3.92
Kayle,80,20,526,506,446,25.0,1.92,6.58,6.33,5.58
Karma,22,6,266,130,60,27.27,2.51,12.09,5.91,2.73
Lee Sin,6,4,36,22,46,66.67,3.73,6.0,3.67,7.67
Talon,36,18,248,182,174,50.0,2.32,6.89,5.06,4.83
Kaisa,8,8,56,0,12,100.0,68.0,7.0,0.0,1.5
Ezreal,34,10,296,224,192,29.41,2.18,8.71,6.59,5.65
Garen,6,0,36,48,6,0.0,0.88,6.0,8.0,1.0
Smolder,46,24,402,158,226,52.17,3.97,8.74,3.43,4.91
Caitlyn,2,0,12,18,14,0.0,1.44,6.0,9.0,7.0
Diana,42,18,352,220,226,42.86,2.63,8.38,5.24,5.38
Kindred,2,2,20,6,20,100.0,6.67,10.0,3.0,10.0
Malzahar,54,22,366,242,208,40.74,2.37,6.78,4.48,3.85
Nidalee,26,2,132,136,110,7.69,1.78,5.08,5.23,4.23
Lucian,10,10,122,76,34,100.0,2.05,12.2,7.6,3.4
Viego,2,2,16,4,8,100.0,6.0,8.0,2.0,4.0
Twitch,16,8,120,80,72,50.0,2.4,7.5,5.0,4.5
Xerath,128,84,746,528,608,65.62,2.56,5.83,4.12,4.75
VelKoz,18,8,124,94,94,44.44,2.32,6.89,5.22,5.22
Jhin,4,4,32,24,44,100.0,3.17,8.0,6.0,11.0
Ziggs,16,8,104,92,114,50.0,2.37,6.5,5.75,7.12
Gragas,28,20,304,116,202,71.43,4.36,10.86,4.14,7.21
Gangplank,14,8,144,52,86,57.14,4.42,10.29,3.71,6.14
Quinn,28,8,304,208,196,28.57,2.4,10.86,7.43,7.0
Ornn,10,6,126,34,54,60.0,5.29,12.6,3.4,5.4
Briar,16,14,130,114,190,87.5,2.81,8.12,7.12,11.88
Samira,8,8,32,32,56,100.0,2.75,4.0,4.0,7.0
Singed,18,0,138,146,100,0.0,1.63,7.67,8.11,5.56
Rakan,2,0,0,2,0,0.0,0.0,0.0,1.0,0.0
Brand,8,0,112,32,88,0.0,6.25,14.0,4.0,11.0
Aurelion Sol,44,14,300,262,178,31.82,1.82,6.82,5.95,4.05
Cassiopeia,16,10,162,128,90,62.5,1.97,10.12,8.0,5.62
Rumble,34,16,186,296,226,47.06,1.39,5.47,8.71,6.65
Fiddlesticks,14,4,36,46,18,28.57,1.17,2.57,3.29,1.29
Maokai,8,8,64,56,48,100.0,2.0,8.0,7.0,6.0
Aatrox,18,8,156,148,88,44.44,1.65,8.67,8.22,4.89
Kennen,10,6,56,60,78,60.0,2.23,5.6,6.0,7.8
Olaf,6,6,102,16,42,100.0,9.0,17.0,2.67,7.0
Seraphine,10,6,62,30,54,60.0,3.87,6.2,3.0,5.4
Nasus,14,12,102,112,148,85.71,2.23,7.29,8.0,10.57
Sion,4,0,20,32,16,0.0,1.12,5.0,8.0,4.0
Sett,2,2,12,4,10,100.0,5.5,6.0,2.0,5.0
Poppy,2,2,16,4,14,100.0,7.5,8.0,2.0,7.0
Xin Zhao,2,0,4,14,4,0.0,0.57,2.0,7.0,2.0
