opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ezreal,1076,532,5794,5566,7422,49.44,2.37,5.38,5.17,6.9
Lucian,876,486,5174,4432,5818,55.48,2.48,5.91,5.06,6.64
Sivir,372,198,2454,1928,2822,53.23,2.74,6.6,5.18,7.59
Senna,506,266,3416,2416,3566,52.57,2.89,6.75,4.77,7.05
Yunara,548,316,3164,2592,3470,57.66,2.56,5.77,4.73,6.33
Corki,464,224,2642,2592,3294,48.28,2.29,5.69,5.59,7.1
Varus,532,304,3238,2896,3958,57.14,2.48,6.09,5.44,7.44
Aphelios,424,234,2384,1774,2614,55.19,2.82,5.62,4.18,6.17
Kaisa,638,306,3852,3502,4824,47.96,2.48,6.04,5.49,7.56
Twitch,212,82,1458,1216,1534,38.68,2.46,6.88,5.74,7.24
Tristana,396,194,2780,2108,2774,48.99,2.63,7.02,5.32,7.01
Jhin,1002,496,5938,5250,6362,49.5,2.34,5.93,5.24,6.35
Draven,184,98,1234,802,1220,53.26,3.06,6.71,4.36,6.63
Ashe,288,164,1832,1118,2044,56.94,3.47,6.36,3.88,7.1
Samira,86,60,574,376,794,69.77,3.64,6.67,4.37,9.23
Hwei,98,50,408,384,540,51.02,2.47,4.16,3.92,5.51
Zyra,44,12,326,244,306,27.27,2.59,7.41,5.55,6.95
Smolder,318,122,2148,1814,2330,38.36,2.47,6.75,5.7,7.33
Vayne,120,62,700,574,846,51.67,2.69,5.83,4.78,7.05
KogMaw,200,86,1122,1246,1502,43.0,2.11,5.61,6.23,7.51
Karthus,120,74,1000,900,1066,61.67,2.3,8.33,7.5,8.88
Jinx,358,142,1818,1652,2052,39.66,2.34,5.08,4.61,5.73
Lux,112,58,664,550,748,51.79,2.57,5.93,4.91,6.68
Xayah,192,96,1104,898,1264,50.0,2.64,5.75,4.68,6.58
Ziggs,176,104,1080,684,912,59.09,2.91,6.14,3.89,5.18
Yone,4,0,48,16,48,0.0,6.0,12.0,4.0,12.0
Swain,64,30,290,372,458,46.88,2.01,4.53,5.81,7.16
Yasuo,54,18,312,328,534,33.33,2.58,5.78,6.07,9.89
Mel,192,68,844,1112,1236,35.42,1.87,4.4,5.79,6.44
Kalista,82,42,498,392,482,51.22,2.5,6.07,4.78,5.88
Caitlyn,286,160,1852,1534,2226,55.94,2.66,6.48,5.36,7.78
Akshan,18,10,68,68,72,55.56,2.06,3.78,3.78,4.0
Seraphine,88,58,486,358,674,65.91,3.24,5.52,4.07,7.66
Veigar,22,2,84,112,106,9.09,1.7,3.82,5.09,4.82
Viktor,8,4,62,50,56,50.0,2.36,7.75,6.25,7.0
Cassiopeia,14,8,46,52,44,57.14,1.73,3.29,3.71,3.14
Zeri,296,122,1466,1456,1766,41.22,2.22,4.95,4.92,5.97
Taliyah,8,0,58,128,88,0.0,1.14,7.25,16.0,11.0
Aurelion Sol,44,26,274,222,278,59.09,2.49,6.23,5.05,6.32
Nilah,86,50,520,512,818,58.14,2.61,6.05,5.95,9.51
Aurora,2,0,8,12,0,0.0,0.67,4.0,6.0,0.0
Irelia,12,0,32,118,104,0.0,1.15,2.67,9.83,8.67
VelKoz,14,8,88,90,92,57.14,2.0,6.29,6.43,6.57
Urgot,2,2,20,12,10,100.0,2.5,10.0,6.0,5.0
Udyr,2,2,24,0,2,100.0,26.0,12.0,0.0,1.0
Brand,32,2,92,254,174,6.25,1.05,2.88,7.94,5.44
Vladimir,14,0,98,112,126,0.0,2.0,7.0,8.0,9.0
Chogath,4,4,28,32,56,100.0,2.62,7.0,8.0,14.0
Katarina,6,4,38,28,46,66.67,3.0,6.33,4.67,7.67
Rengar,6,6,132,48,48,100.0,3.75,22.0,8.0,8.0
Kayle,2,0,16,8,10,0.0,3.25,8.0,4.0,5.0
Xerath,16,0,48,96,112,0.0,1.67,3.0,6.0,7.0
Syndra,24,4,84,76,124,16.67,2.74,3.5,3.17,5.17
Tahm Kench,6,6,60,6,42,100.0,17.0,10.0,1.0,7.0
Zoe,8,6,24,16,34,75.0,3.62,3.0,2.0,4.25
Akali,12,0,12,48,12,0.0,0.5,1.0,4.0,1.0
Dr. Mundo,2,2,16,8,12,100.0,3.5,8.0,4.0,6.0
Fiora,22,14,108,134,248,63.64,2.66,4.91,6.09,11.27
Heimerdinger,10,6,54,54,76,60.0,2.41,5.4,5.4,7.6
Olaf,4,0,8,20,0,0.0,0.4,2.0,5.0,0.0
Qiyana,2,2,2,4,4,100.0,1.5,1.0,2.0,2.0
Neeko,2,0,0,10,6,0.0,0.6,0.0,5.0,3.0
