opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Lissandra,14,0,128,118,56,0.0,1.56,9.14,8.43,4.0
Azir,24,10,144,84,108,41.67,3.0,6.0,3.5,4.5
Sylas,18,14,118,126,98,77.78,1.71,6.56,7.0,5.44
Gangplank,2,2,16,2,12,100.0,14.0,8.0,1.0,6.0
Darius,4,0,12,28,10,0.0,0.79,3.0,7.0,2.5
Rumble,4,0,32,40,36,0.0,1.7,8.0,10.0,9.0
Twisted Fate,8,8,48,32,32,100.0,2.5,6.0,4.0,4.0
Zac,10,10,90,30,66,100.0,5.2,9.0,3.0,6.6
Katarina,18,8,150,114,108,44.44,2.26,8.33,6.33,6.0
Renekton,6,6,18,60,36,100.0,0.9,3.0,10.0,6.0
Ekko,4,0,4,36,4,0.0,0.22,1.0,9.0,1.0
Akshan,14,10,142,94,98,71.43,2.55,10.14,6.71,7.0
Viktor,4,4,32,16,12,100.0,2.75,8.0,4.0,3.0
Chogath,2,0,10,20,24,0.0,1.7,5.0,10.0,12.0
Orianna,6,2,24,12,22,33.33,3.83,4.0,2.0,3.67
Malphite,6,2,48,36,42,33.33,2.5,8.0,6.0,7.0
Hwei,20,12,160,128,68,60.0,1.78,8.0,6.4,3.4
Zed,12,0,36,66,10,0.0,0.7,3.0,5.5,0.83
Jayce,2,0,14,12,4,0.0,1.5,7.0,6.0,2.0
Taliyah,6,2,16,32,12,33.33,0.88,2.67,5.33,2.0
Vladimir,16,16,122,28,38,100.0,5.71,7.62,1.75,2.38
Teemo,2,0,18,20,2,0.0,1.0,9.0,10.0,1.0
Illaoi,10,0,30,70,80,0.0,1.57,3.0,7.0,8.0
Sion,2,2,4,12,2,100.0,0.5,2.0,6.0,1.0
Diana,12,12,44,54,40,100.0,1.56,3.67,4.5,3.33
Malzahar,4,4,24,4,20,100.0,11.0,6.0,1.0,5.0
Akali,14,0,54,128,48,0.0,0.8,3.86,9.14,3.43
Zilean,6,0,18,54,12,0.0,0.56,3.0,9.0,2.0
Qiyana,6,6,18,48,24,100.0,0.88,3.0,8.0,4.0
Lux,4,4,40,8,16,100.0,7.0,10.0,2.0,4.0
Galio,10,6,82,50,62,60.0,2.88,8.2,5.0,6.2
Ryze,4,2,26,12,20,50.0,3.83,6.5,3.0,5.0
Yone,18,16,124,70,64,88.89,2.69,6.89,3.89,3.56
Irelia,2,2,18,6,10,100.0,4.67,9.0,3.0,5.0
Syndra,8,2,26,26,22,25.0,1.85,3.25,3.25,2.75
Mel,2,2,10,2,10,100.0,10.0,5.0,1.0,5.0
Cassiopeia,2,2,20,12,20,100.0,3.33,10.0,6.0,10.0
Yasuo,8,8,32,32,42,100.0,2.31,4.0,4.0,5.25
Kayle,18,16,108,58,86,88.89,3.34,6.0,3.22,4.78
Dr. Mundo,2,0,14,22,4,0.0,0.82,7.0,11.0,2.0
Vex,2,0,10,16,12,0.0,1.38,5.0,8.0,6.0
Aurora,2,0,4,16,2,0.0,0.38,2.0,8.0,1.0
Ahri,4,0,24,30,20,0.0,1.47,6.0,7.5,5.0
