opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Jinx,8,8,44,22,54,100.0,4.45,5.5,2.75,6.75
Tristana,10,0,30,98,66,0.0,0.98,3.0,9.8,6.6
Caitlyn,20,12,114,92,256,60.0,4.02,5.7,4.6,12.8
Jhin,30,12,46,110,272,40.0,2.89,1.53,3.67,9.07
Aphelios,30,8,56,122,438,26.67,4.05,1.87,4.07,14.6
Varus,8,2,8,30,32,25.0,1.33,1.0,3.75,4.0
Samira,14,14,70,28,266,100.0,12.0,5.0,2.0,19.0
Zeri,12,10,212,26,152,83.33,14.0,17.67,2.17,12.67
Zyra,4,4,8,32,72,100.0,2.5,2.0,8.0,18.0
Draven,2,2,18,10,32,100.0,5.0,9.0,5.0,16.0
Ezreal,8,4,24,34,70,50.0,2.76,3.0,4.25,8.75
Seraphine,2,0,20,6,20,0.0,6.67,10.0,3.0,10.0
Vayne,24,16,136,94,420,66.67,5.91,5.67,3.92,17.5
Kaisa,12,4,44,48,106,33.33,3.12,3.67,4.0,8.83
Senna,8,8,48,32,102,100.0,4.69,6.0,4.0,12.75
Veigar,4,4,60,8,52,100.0,14.0,15.0,2.0,13.0
Lucian,22,18,66,60,176,81.82,4.03,3.0,2.73,8.0
Sivir,4,2,12,8,28,50.0,5.0,3.0,2.0,7.0
Aurelion Sol,6,6,66,18,84,100.0,8.33,11.0,3.0,14.0
Smolder,4,0,0,16,16,0.0,1.0,0.0,4.0,4.0
Lux,2,0,4,2,6,0.0,5.0,2.0,1.0,3.0
Mel,2,2,6,12,36,100.0,3.5,3.0,6.0,18.0
Karthus,4,0,4,8,4,0.0,1.0,1.0,2.0,1.0
Kayle,2,2,6,2,14,100.0,10.0,3.0,1.0,7.0
Xayah,2,2,18,0,34,100.0,52.0,9.0,0.0,17.0
Corki,4,4,12,12,36,100.0,4.0,3.0,3.0,9.0
