opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Aurora,28,14,80,110,230,50.0,2.82,2.86,3.93,8.21
Lux,34,6,52,86,148,17.65,2.33,1.53,2.53,4.35
Zoe,30,26,128,88,308,86.67,4.95,4.27,2.93,10.27
Diana,6,0,40,38,30,0.0,1.84,6.67,6.33,5.0
Talon,20,18,72,94,414,90.0,5.17,3.6,4.7,20.7
Syndra,40,22,160,128,296,55.0,3.56,4.0,3.2,7.4
Taliyah,14,8,54,72,140,57.14,2.69,3.86,5.14,10.0
Twisted Fate,22,20,112,74,192,90.91,4.11,5.09,3.36,8.73
Azir,36,12,152,152,420,33.33,3.76,4.22,4.22,11.67
Lucian,2,2,4,8,38,100.0,5.25,2.0,4.0,19.0
Yasuo,20,18,180,50,218,90.0,7.96,9.0,2.5,10.9
Yone,14,6,44,40,136,42.86,4.5,3.14,2.86,9.71
Smolder,14,8,96,68,138,57.14,3.44,6.86,4.86,9.86
Ekko,18,8,62,118,252,44.44,2.66,3.44,6.56,14.0
Veigar,18,10,48,30,130,55.56,5.93,2.67,1.67,7.22
Neeko,14,2,48,58,84,14.29,2.28,3.43,4.14,6.0
Akali,8,4,30,48,58,50.0,1.83,3.75,6.0,7.25
Kennen,4,4,18,4,16,100.0,8.5,4.5,1.0,4.0
Ryze,26,0,152,126,326,0.0,3.79,5.85,4.85,12.54
Karthus,2,2,8,4,10,100.0,4.5,4.0,2.0,5.0
Lissandra,12,10,42,42,128,83.33,4.05,3.5,3.5,10.67
Viktor,4,4,28,4,64,100.0,23.0,7.0,1.0,16.0
Vladimir,30,16,56,124,232,53.33,2.32,1.87,4.13,7.73
Swain,4,4,0,0,0,100.0,0.0,0.0,0.0,0.0
Chogath,10,0,22,66,52,0.0,1.12,2.2,6.6,5.2
Zed,22,8,124,194,202,36.36,1.68,5.64,8.82,9.18
Mel,10,6,40,36,64,60.0,2.89,4.0,3.6,6.4
Malzahar,8,8,48,24,112,100.0,6.67,6.0,3.0,14.0
Zac,2,2,6,12,24,100.0,2.5,3.0,6.0,12.0
Ezreal,4,4,4,16,28,100.0,2.0,1.0,4.0,7.0
Corki,2,2,8,10,50,100.0,5.8,4.0,5.0,25.0
Naafiri,6,0,12,42,26,0.0,0.9,2.0,7.0,4.33
Tryndamere,2,2,26,6,32,100.0,9.67,13.0,3.0,16.0
Irelia,2,2,26,8,24,100.0,6.25,13.0,4.0,12.0
Singed,8,8,60,22,100,100.0,7.27,7.5,2.75,12.5
Xerath,10,10,30,20,60,100.0,4.5,3.0,2.0,6.0
Orianna,44,26,154,222,334,59.09,2.2,3.5,5.05,7.59
Kayle,24,14,112,70,146,58.33,3.69,4.67,2.92,6.08
Ahri,14,8,88,70,108,57.14,2.8,6.29,5.0,7.71
Annie,16,6,58,62,168,37.5,3.65,3.62,3.88,10.5
Seraphine,2,2,14,4,20,100.0,8.5,7.0,2.0,10.0
Hwei,22,16,110,80,224,72.73,4.17,5.0,3.64,10.18
Kassadin,2,2,12,8,34,100.0,5.75,6.0,4.0,17.0
Anivia,20,10,82,68,186,50.0,3.94,4.1,3.4,9.3
Sylas,18,16,114,82,258,88.89,4.54,6.33,4.56,14.33
Katarina,10,4,60,52,106,40.0,3.19,6.0,5.2,10.6
Karma,2,2,10,8,36,100.0,5.75,5.0,4.0,18.0
Kaisa,2,0,10,12,16,0.0,2.17,5.0,6.0,8.0
Galio,16,14,60,46,198,87.5,5.61,3.75,2.88,12.38
Fizz,10,2,20,52,46,20.0,1.27,2.0,5.2,4.6
Akshan,4,4,8,4,24,100.0,8.0,2.0,1.0,6.0
Sion,2,2,20,8,38,100.0,7.25,10.0,4.0,19.0
LeBlanc,8,4,32,20,28,50.0,3.0,4.0,2.5,3.5
Tristana,2,2,2,6,6,100.0,1.33,1.0,3.0,3.0
Sett,2,2,12,10,18,100.0,3.0,6.0,5.0,9.0
Ambessa,2,0,4,10,18,0.0,2.2,2.0,5.0,9.0
Qiyana,6,4,26,12,56,66.67,6.83,4.33,2.0,9.33
Jayce,2,0,6,16,22,0.0,1.75,3.0,8.0,11.0
Vex,6,0,36,62,82,0.0,1.9,6.0,10.33,13.67
Aurelion Sol,6,6,54,12,22,100.0,6.33,9.0,2.0,3.67
Twitch,2,0,14,12,2,0.0,1.33,7.0,6.0,1.0
Gragas,4,4,20,16,60,100.0,5.0,5.0,4.0,15.0
Varus,2,0,2,2,2,0.0,2.0,1.0,1.0,1.0
Garen,2,2,8,4,36,100.0,11.0,4.0,2.0,18.0
