opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Pyke,72,36,180,530,1126,50.0,2.46,2.5,7.36,15.64
Nautilus,266,152,476,1434,3662,57.14,2.89,1.79,5.39,13.77
Dr. Mundo,14,0,28,70,308,0.0,4.8,2.0,5.0,22.0
Nunu & Willump,6,6,18,24,108,100.0,5.25,3.0,4.0,18.0
Trundle,10,0,22,86,96,0.0,1.37,2.2,8.6,9.6
Alistar,160,96,302,848,2242,60.0,3.0,1.89,5.3,14.01
Bard,136,78,384,692,2010,57.35,3.46,2.82,5.09,14.78
Neeko,62,36,102,260,740,58.06,3.24,1.65,4.19,11.94
Zilean,28,10,50,198,386,35.71,2.2,1.79,7.07,13.79
Leona,100,46,290,632,1464,46.0,2.78,2.9,6.32,14.64
Sona,66,24,84,360,856,36.36,2.61,1.27,5.45,12.97
Rakan,82,32,218,472,1294,39.02,3.2,2.66,5.76,15.78
Ashe,2,2,8,6,36,100.0,7.33,4.0,3.0,18.0
Braum,120,40,328,726,1462,33.33,2.47,2.73,6.05,12.18
Thresh,212,86,472,1302,3156,40.57,2.79,2.23,6.14,14.89
Nidalee,4,0,4,4,8,0.0,3.0,1.0,1.0,2.0
Lulu,126,66,250,774,1684,52.38,2.5,1.98,6.14,13.37
Blitzcrank,44,20,86,288,836,45.45,3.2,1.95,6.55,19.0
Pantheon,20,10,48,96,328,50.0,3.92,2.4,4.8,16.4
Karma,162,70,284,944,1642,43.21,2.04,1.75,5.83,10.14
Zoe,14,10,46,50,196,71.43,4.84,3.29,3.57,14.0
Rell,88,22,216,536,1048,25.0,2.36,2.45,6.09,11.91
Tahm Kench,24,10,62,216,502,41.67,2.61,2.58,9.0,20.92
Elise,28,14,114,166,334,50.0,2.7,4.07,5.93,11.93
Nami,150,70,374,874,2160,46.67,2.9,2.49,5.83,14.4
Yuumi,38,8,76,260,560,21.05,2.45,2.0,6.84,14.74
Sylas,8,0,8,48,36,0.0,0.92,1.0,6.0,4.5
Soraka,100,56,174,460,1302,56.0,3.21,1.74,4.6,13.02
Seraphine,30,12,94,310,614,40.0,2.28,3.13,10.33,20.47
Maokai,30,14,42,162,546,46.67,3.63,1.4,5.4,18.2
Milio,86,48,106,544,1024,55.81,2.08,1.23,6.33,11.91
Poppy,18,8,58,152,266,44.44,2.13,3.22,8.44,14.78
Janna,56,34,66,288,642,60.71,2.46,1.18,5.14,11.46
Fiddlesticks,8,8,14,32,84,100.0,3.06,1.75,4.0,10.5
Vi,2,2,4,2,44,100.0,24.0,2.0,1.0,22.0
Xerath,8,2,16,44,98,25.0,2.59,2.0,5.5,12.25
VelKoz,22,12,54,128,310,54.55,2.84,2.45,5.82,14.09
Swain,4,0,8,42,64,0.0,1.71,2.0,10.5,16.0
Mel,30,6,54,212,358,20.0,1.94,1.8,7.07,11.93
Senna,44,24,78,222,494,54.55,2.58,1.77,5.05,11.23
Taric,24,8,38,196,378,33.33,2.12,1.58,8.17,15.75
Qiyana,4,4,0,8,48,100.0,6.0,0.0,2.0,12.0
Ezreal,2,0,0,20,26,0.0,1.3,0.0,10.0,13.0
Annie,2,0,2,14,2,0.0,0.29,1.0,7.0,1.0
Azir,10,10,0,20,210,100.0,10.5,0.0,2.0,21.0
Lux,28,16,66,122,290,57.14,2.92,2.36,4.36,10.36
Shen,2,0,0,10,16,0.0,1.6,0.0,5.0,8.0
Gragas,6,6,6,54,108,100.0,2.11,1.0,9.0,18.0
Shaco,8,2,28,24,32,25.0,2.5,3.5,3.0,4.0
Briar,2,2,2,12,58,100.0,5.0,1.0,6.0,29.0
Zyra,4,0,2,20,44,0.0,2.3,0.5,5.0,11.0
Sett,8,8,16,40,144,100.0,4.0,2.0,5.0,18.0
Renata,12,12,48,144,204,100.0,1.75,4.0,12.0,17.0
Twisted Fate,6,0,16,40,34,0.0,1.25,2.67,6.67,5.67
