opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Nidalee,24,6,20,100,66,25.0,0.86,0.83,4.17,2.75
Riven,50,20,138,278,254,40.0,1.41,2.76,5.56,5.08
Vayne,4,4,12,16,52,100.0,4.0,3.0,4.0,13.0
Heimerdinger,12,12,144,72,84,100.0,3.17,12.0,6.0,7.0
Yorick,16,6,42,82,72,37.5,1.39,2.62,5.12,4.5
Jayce,44,18,112,232,252,40.91,1.57,2.55,5.27,5.73
Chogath,26,24,142,66,216,92.31,5.42,5.46,2.54,8.31
Anivia,8,2,36,44,74,25.0,2.5,4.5,5.5,9.25
Renekton,28,24,74,124,180,85.71,2.05,2.64,4.43,6.43
Mordekaiser,20,16,64,56,84,80.0,2.64,3.2,2.8,4.2
Irelia,32,0,78,210,98,0.0,0.84,2.44,6.56,3.06
Fiora,14,2,40,84,106,14.29,1.74,2.86,6.0,7.57
Teemo,22,20,108,30,46,90.91,5.13,4.91,1.36,2.09
Jax,14,2,52,58,64,14.29,2.0,3.71,4.14,4.57
Nasus,22,16,76,100,184,72.73,2.6,3.45,4.55,8.36
Poppy,8,8,20,12,16,100.0,3.0,2.5,1.5,2.0
Shen,8,2,12,52,8,25.0,0.38,1.5,6.5,1.0
Dr. Mundo,28,12,104,116,120,42.86,1.93,3.71,4.14,4.29
Orianna,10,8,16,28,112,80.0,4.57,1.6,2.8,11.2
Zac,14,8,76,48,40,57.14,2.42,5.43,3.43,2.86
Gragas,32,8,84,176,124,25.0,1.18,2.62,5.5,3.88
Ambessa,30,26,198,160,236,86.67,2.71,6.6,5.33,7.87
Azir,4,0,8,28,12,0.0,0.71,2.0,7.0,3.0
Sion,10,2,24,24,38,20.0,2.58,2.4,2.4,3.8
Tryndamere,42,40,184,186,198,95.24,2.05,4.38,4.43,4.71
Rengar,4,0,12,20,8,0.0,1.0,3.0,5.0,2.0
Sett,22,12,116,92,62,54.55,1.93,5.27,4.18,2.82
Zoe,4,0,12,20,20,0.0,1.6,3.0,5.0,5.0
Darius,16,8,70,106,120,50.0,1.79,4.38,6.62,7.5
Yasuo,20,6,68,118,170,30.0,2.02,3.4,5.9,8.5
Urgot,14,0,32,44,30,0.0,1.41,2.29,3.14,2.14
Rumble,6,6,42,30,18,100.0,2.0,7.0,5.0,3.0
Zilean,4,0,12,24,20,0.0,1.33,3.0,6.0,5.0
Warwick,2,2,10,8,24,100.0,4.25,5.0,4.0,12.0
Kennen,8,6,22,84,74,75.0,1.14,2.75,10.5,9.25
KSante,24,14,72,104,54,58.33,1.21,3.0,4.33,2.25
Quinn,22,4,40,120,4,18.18,0.37,1.82,5.45,0.18
Aatrox,14,10,44,50,78,71.43,2.44,3.14,3.57,5.57
Olaf,6,2,28,40,60,33.33,2.2,4.67,6.67,10.0
Sejuani,4,0,0,12,8,0.0,0.67,0.0,3.0,2.0
Yone,26,8,160,132,104,30.77,2.0,6.15,5.08,4.0
Malphite,8,4,10,30,34,50.0,1.47,1.25,3.75,4.25
Vladimir,10,10,34,22,46,100.0,3.64,3.4,2.2,4.6
Lissandra,2,2,14,10,14,100.0,2.8,7.0,5.0,7.0
Aurora,2,2,14,10,20,100.0,3.4,7.0,5.0,10.0
Volibear,2,2,6,6,4,100.0,1.67,3.0,3.0,2.0
Akali,2,0,8,18,16,0.0,1.33,4.0,9.0,8.0
Singed,16,0,106,126,42,0.0,1.17,6.62,7.88,2.62
Gnar,24,22,146,106,272,91.67,3.94,6.08,4.42,11.33
Maokai,10,0,20,90,20,0.0,0.44,2.0,9.0,2.0
Kled,12,12,108,60,96,100.0,3.4,9.0,5.0,8.0
Ornn,20,6,86,118,60,30.0,1.24,4.3,5.9,3.0
Kayle,12,12,60,0,0,100.0,60.0,5.0,0.0,0.0
Gwen,14,14,70,28,28,100.0,3.5,5.0,2.0,2.0
Trundle,4,4,32,4,24,100.0,14.0,8.0,1.0,6.0
Garen,12,12,72,66,84,100.0,2.36,6.0,5.5,7.0
Gangplank,8,0,8,40,8,0.0,0.4,1.0,5.0,1.0
Akshan,4,0,12,16,0,0.0,0.75,3.0,4.0,0.0
Camille,6,0,36,30,24,0.0,2.0,6.0,5.0,4.0
Jhin,2,2,6,10,24,100.0,3.0,3.0,5.0,12.0
