opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sylas,4,4,12,12,28,100.0,3.33,3.0,3.0,7.0
Aurora,2,0,2,14,4,0.0,0.43,1.0,7.0,2.0
Kassadin,8,8,48,16,88,100.0,8.5,6.0,2.0,11.0
Katarina,10,8,52,30,80,80.0,4.4,5.2,3.0,8.0
Orianna,12,0,36,36,48,0.0,2.33,3.0,3.0,4.0
Yone,2,2,20,10,8,100.0,2.8,10.0,5.0,4.0
Ahri,2,0,0,12,2,0.0,0.17,0.0,6.0,1.0
Viktor,2,0,20,18,4,0.0,1.33,10.0,9.0,2.0
Twisted Fate,2,2,2,2,8,100.0,5.0,1.0,1.0,4.0
Yasuo,4,4,24,8,4,100.0,3.5,6.0,2.0,1.0
