opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rumble,190,90,494,882,1398,47.37,2.15,2.6,4.64,7.36
Vladimir,186,116,410,720,1086,62.37,2.08,2.2,3.87,5.84
Jax,232,102,506,978,1646,43.97,2.2,2.18,4.22,7.09
Irelia,128,66,532,636,1346,51.56,2.95,4.16,4.97,10.52
Garen,80,62,252,296,736,77.5,3.34,3.15,3.7,9.2
Renekton,326,206,1050,1400,2944,63.19,2.85,3.22,4.29,9.03
Riven,192,90,452,680,1604,46.88,3.02,2.35,3.54,8.35
Nocturne,18,12,48,86,156,66.67,2.37,2.67,4.78,8.67
Sett,154,90,634,638,1330,58.44,3.08,4.12,4.14,8.64
Mordekaiser,110,56,270,402,686,50.91,2.38,2.45,3.65,6.24
Jayce,198,102,520,874,1358,51.52,2.15,2.63,4.41,6.86
Ambessa,442,200,1136,2034,3442,45.25,2.25,2.57,4.6,7.79
Urgot,160,90,394,664,1452,56.25,2.78,2.46,4.15,9.07
Quinn,110,38,292,502,754,34.55,2.08,2.65,4.56,6.85
Aatrox,400,192,1200,1676,2896,48.0,2.44,3.0,4.19,7.24
Poppy,78,12,146,324,320,15.38,1.44,1.87,4.15,4.1
Singed,84,34,244,298,544,40.48,2.64,2.9,3.55,6.48
Volibear,78,28,158,262,520,35.9,2.59,2.03,3.36,6.67
Gragas,238,98,684,1086,2066,41.18,2.53,2.87,4.56,8.68
Yorick,88,46,194,322,532,52.27,2.25,2.2,3.66,6.05
Vayne,50,30,172,246,532,60.0,2.86,3.44,4.92,10.64
Kennen,144,102,544,562,1210,70.83,3.12,3.78,3.9,8.4
Heimerdinger,58,38,112,250,510,65.52,2.49,1.93,4.31,8.79
Dr. Mundo,234,114,770,766,1710,48.72,3.24,3.29,3.27,7.31
Kayle,108,44,330,458,936,40.74,2.76,3.06,4.24,8.67
Chogath,102,52,370,432,968,50.98,3.1,3.63,4.24,9.49
Azir,28,16,114,110,306,57.14,3.82,4.07,3.93,10.93
Kled,84,30,218,384,596,35.71,2.12,2.6,4.57,7.1
Camille,180,64,390,724,1294,35.56,2.33,2.17,4.02,7.19
Fiora,206,86,490,978,1364,41.75,1.9,2.38,4.75,6.62
Yunara,24,10,62,160,230,41.67,1.82,2.58,6.67,9.58
KSante,226,118,560,1104,1828,52.21,2.16,2.48,4.88,8.09
Teemo,130,78,322,580,910,60.0,2.12,2.48,4.46,7.0
Sion,144,78,450,578,956,54.17,2.43,3.12,4.01,6.64
Yasuo,100,50,350,476,994,50.0,2.82,3.5,4.76,9.94
Gwen,390,170,1144,1868,3022,43.59,2.23,2.93,4.79,7.75
Corki,4,0,4,20,16,0.0,1.0,1.0,5.0,4.0
Lissandra,6,0,18,30,30,0.0,1.6,3.0,5.0,5.0
Naafiri,4,0,0,24,12,0.0,0.5,0.0,6.0,3.0
Viego,4,0,4,24,12,0.0,0.67,1.0,6.0,3.0
Yone,106,26,254,464,834,24.53,2.34,2.4,4.38,7.87
Aurora,94,36,214,404,652,38.3,2.14,2.28,4.3,6.94
Gangplank,72,44,266,286,612,61.11,3.07,3.69,3.97,8.5
Briar,6,0,20,30,32,0.0,1.73,3.33,5.0,5.33
